,18-Dec-2025
The Nifty witnessed an intraday movement of about 176.05 points.The closing index was 0.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87865.32
, Traded Quantity (in Lakhs), 43797.69
, Number of Trades, 29913405
, Total Market Capitalisation (Rs. Crores), 46350554.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     14566.60,     14557.85,     14568.30,     14442.65,     14552.30,-14.30
,NIFTY CONSR DURBL,     36866.30,     36778.80,     37189.20,     36674.95,     37001.35,135.05
,NIFTY OIL AND GAS,     11884.65,     11852.20,     11906.55,     11792.65,     11845.95,-38.70
,NIFTY500 MULTICAP,     16183.20,     16172.60,     16216.50,     16075.45,     16181.95,-1.25
,NIFTY LARGEMID250,     16582.50,     16572.60,     16631.85,     16480.20,     16594.45,11.95
,NIFTY MID SELECT,     13652.30,     13672.50,     13760.35,     13574.05,     13745.15,92.85
,NIFTY TOTAL MKT,     13181.95,     13167.45,     13211.95,     13104.40,     13177.95,-4.00
,NIFTY MICROCAP250,     22135.30,     22122.35,     22123.05,     21857.20,     22065.35,-69.95
,NIFTY IND DIGITAL,      9432.65,      9443.65,      9521.05,      9414.85,      9512.45,79.80
,Nifty Tata 25 Cap,     14886.40,     14885.05,     14972.70,     14819.85,     14945.75,59.35
,Nifty MidSml Hlth,     43050.90,     43057.00,     43147.95,     42579.30,     43089.70,38.80
,Nifty Multi Mfg,     15631.60,     15606.75,     15629.25,     15469.50,     15595.00,-36.60
,Nifty Multi Infra,     14212.00,     14196.65,     14216.85,     14088.15,     14170.65,-41.35
,BHARATBOND-APR30,      1562.22,      1562.53,      1562.53,      1562.49,      1562.49,0.27
,BHARATBOND-APR31,      1423.43,      1423.69,      1423.70,      1423.36,      1423.41,-0.02
,BHARATBOND-APR32,      1294.30,      1294.54,      1294.54,      1294.54,      1294.54,0.24
,BHARATBOND-APR33,      1255.13,      1255.38,      1255.38,      1255.37,      1255.37,0.24
,Nifty Ind Defence,      7379.80,      7375.90,      7401.30,      7285.70,      7374.10,-5.70
,Nifty Ind Tourism,      8359.65,      8364.60,      8418.05,      8292.80,      8405.85,46.20
,Nifty Capital Mkt,      4528.65,      4568.70,      4652.25,      4568.40,      4645.75,117.10
,Nifty500Momentm50,     52330.70,     52387.55,     52682.30,     52040.40,     52562.85,232.15
,NiftyMS400 MQ 100,     47157.05,     47233.60,     47390.00,     46874.95,     47325.30,168.25
,NiftySml250MQ 100,     43184.60,     43212.80,     43282.70,     42838.50,     43195.00,10.40
,Nifty Top 10 EW,      9961.05,      9947.10,     10020.45,      9947.10,      9981.10,20.05
,Nifty AQL 30,     22639.30,     22640.80,     22643.30,     22460.60,     22586.45,-52.85
,Nifty AQLV 30,     21250.95,     21261.90,     21277.25,     21144.85,     21254.50,3.55
,Nifty EV,      3079.80,      3075.45,      3077.35,      3034.60,      3064.70,-15.10
,Nifty HighBeta 50,      3804.70,      3806.45,      3829.00,      3768.20,      3803.65,-1.05
,Nifty New Consump,     11683.00,     11684.90,     11742.45,     11605.15,     11726.35,43.35
,Nifty Corp MAATR,     38265.10,     38216.45,     38380.70,     37977.30,     38285.35,20.25
,Nifty Low Vol 50,     25422.45,     25419.10,     25444.30,     25286.20,     25402.90,-19.55
,Nifty Mobility,     22723.55,     22701.70,     22719.90,     22438.35,     22702.95,-20.60
,Nifty Qlty LV 30,     17534.30,     17528.35,     17532.95,     17404.85,     17498.70,-35.60
,Nifty Sml250 Q50,     25295.25,     25311.40,     25355.50,     25129.15,     25275.05,-20.20
,Nifty Top 15 EW,     10949.90,     10940.60,     10996.05,     10915.85,     10955.80,5.90
,Nifty100 Alpha 30,     17826.70,     17796.85,     17875.30,     17711.95,     17809.45,-17.25
,Nifty100 Enh ESG,      5160.25,      5157.25,      5178.50,      5138.30,      5166.10,5.85
,Nifty200 Value 30,     14104.20,     14103.55,     14139.40,     13998.80,     14088.55,-15.65
