GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,INTERGLOBE AVIATION LTD,      5115.50,      4980.50,2.71
G,TATA CONSULTANCY SERV LT,      3280.80,      3217.80,1.96
G,MAX HEALTHCARE INS LTD,      1048.50,      1031.10,1.69
G,TECH MAHINDRA LIMITED,      1605.60,      1579.40,1.66
G,INFOSYS LIMITED,      1626.80,      1602.00,1.55
G,WIPRO LTD,       263.85,       261.14,1.04
G,HINDALCO  INDUSTRIES  LTD,       856.70,       848.80,0.93
G,ADANI PORT & SEZ LTD,      1495.70,      1486.30,0.63
G,DR. REDDY S LABORATORIES,      1280.00,      1272.00,0.63
G,SHRIRAM FINANCE LIMITED,       869.45,       864.20,0.61
G,HDFC LIFE INS CO LTD,       757.00,       753.50,0.46
G,AXIS BANK LIMITED,      1229.80,      1224.70,0.42
G,HCL TECHNOLOGIES LTD,      1661.40,      1655.00,0.39
G,ICICI BANK LTD.,      1356.80,      1352.40,0.33
G,TITAN COMPANY LIMITED,      3919.30,      3907.90,0.29
G,JSW STEEL LIMITED,      1082.20,      1079.30,0.27
G,BAJAJ FINSERV LTD.,      2026.30,      2021.20,0.25
G,SBI LIFE INSURANCE CO LTD,      2014.40,      2010.20,0.21
G,STATE BANK OF INDIA,       977.55,       975.85,0.17
G,ITC LTD,       400.40,       399.80,0.15
G,COAL INDIA LTD,       385.30,       384.75,0.14
G,CIPLA LTD,      1498.90,      1496.90,0.13
G,ETERNAL LIMITED,       284.75,       284.45,0.11
G,BAJAJ FINANCE LIMITED,      1000.30,       999.60,0.07
G,GRASIM INDUSTRIES LTD,      2807.60,      2806.60,0.04
 , , , , 
L,SUN PHARMACEUTICAL IND L,      1745.90,      1792.90,-2.62
L,TATA STEEL LIMITED,       168.12,       170.34,-1.30
L,POWER GRID CORP. LTD.,       257.95,       261.10,-1.21
L,ASIAN PAINTS LIMITED,      2759.70,      2785.70,-0.93
L,NTPC LTD,       318.50,       321.25,-0.86
L,LARSEN & TOUBRO LTD.,      4031.10,      4062.40,-0.77
L,BHARTI AIRTEL LIMITED,      2092.00,      2108.00,-0.76
L,MAHINDRA & MAHINDRA LTD,      3586.60,      3612.80,-0.73
L,BAJAJ AUTO LIMITED,      8831.00,      8895.00,-0.72
L,TATA CONSUMER PRODUCT LTD,      1171.50,      1179.80,-0.70
L,ULTRATECH CEMENT LIMITED,     11461.00,     11540.00,-0.68
L,BHARAT ELECTRONICS LTD,       383.45,       385.60,-0.56
L,HINDUSTAN UNILEVER LTD.,      2265.50,      2275.60,-0.44
L,HDFC BANK LTD,       979.70,       984.00,-0.44
L,MARUTI SUZUKI INDIA LTD.,     16329.00,     16398.00,-0.42
L,KOTAK MAHINDRA BANK LTD,      2164.60,      2173.20,-0.40
L,EICHER MOTORS LTD,      7106.50,      7134.50,-0.39
L,OIL AND NATURAL GAS CORP.,       232.00,       232.91,-0.39
L,TRENT LTD,      4030.00,      4045.20,-0.38
L,JIO FIN SERVICES LTD,       292.30,       293.15,-0.29
L,TATA MOTORS PASS VEH LTD,       345.80,       346.35,-0.16
L,ADANI ENTERPRISES LIMITED,      2229.30,      2232.50,-0.14
L,NESTLE INDIA LIMITED,      1233.50,      1234.60,-0.09
L,APOLLO HOSPITALS ENTER. L,      6918.50,      6921.50,-0.04
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,HINDUSTAN ZINC LIMITED,       592.15,       578.30,2.39
G,VEDANTA LIMITED,       579.15,       569.80,1.64
G,DIVI S LABORATORIES LTD,      6380.00,      6293.00,1.38
G,THE INDIAN HOTELS CO. LTD,       722.00,       713.20,1.23
G,REC LIMITED,       337.00,       333.95,0.91
G,HINDUSTAN AERONAUTICS LTD,      4259.50,      4228.40,0.74
G,GODREJ CONSUMER PRODUCTS,      1186.80,      1179.70,0.60
G,VARUN BEVERAGES LIMITED,       473.60,       470.85,0.58
G,LODHA DEVELOPERS LIMITED,      1069.10,      1063.80,0.50
G,BAJAJ HOUSING FINANCE LTD,        95.04,        94.59,0.48
G,LIFE INSURA CORP OF INDIA,       847.40,       844.55,0.34
G,CHOLAMANDALAM IN & FIN CO,      1679.00,      1673.50,0.33
G,HAVELLS INDIA LIMITED,      1401.20,      1397.00,0.30
G,BANK OF BARODA,       288.10,       287.60,0.17
G,ICICI LOMBARD GIC LIMITED,      1949.80,      1947.00,0.14
G,HYUNDAI MOTOR INDIA LTD,      2289.20,      2286.40,0.12
G,PIDILITE INDUSTRIES LTD,      1451.60,      1450.70,0.06
G,MAZAGON DOCK SHIPBUIL LTD,      2358.00,      2356.60,0.06
 , , , , 
