MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         8.00,         8.30,         8.30,         8.30,         8.30,                    66400.00,8000, ,         8.30,         6.80
N,ST,AARADHYA,AARADHYA DISPOSAL INDUS L,       136.00,       129.60,       129.60,       129.60,       129.60,                   155520.00,1200, ,       182.00,        97.50
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        24.55,        24.00,        25.00,        24.00,        24.20,                   487000.00,20000, ,        27.00,        14.50
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       198.10,       198.00,       198.50,       192.05,       192.90,                  6637075.00,34000, ,       259.00,        92.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       344.50,       344.00,       344.00,       333.05,       338.50,                  3901700.00,11500, ,       362.00,       180.00
N,ST,ACCPL,ACCRETION PHARMA LIMITED,        90.00,        90.90,        91.10,        86.25,        87.70,                  1291200.00,14400, ,       102.50,        53.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       171.00,       171.00,       171.00,       171.00,       171.00,                  2257200.00,13200, ,       190.00,       147.05
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,       108.50,       108.50,       108.50,       108.00,       108.00,                   108250.00,1000, ,       391.00,       104.20
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        25.85,        26.10,        26.10,        25.00,        25.00,                   102200.00,4000, ,        54.50,        23.65
N,SM,AERON,AERON COMPOSITE LIMITED,        96.00,        95.95,        97.00,        95.95,        96.05,                   675000.00,7000, ,       202.20,        89.05
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        95.00,        96.00,        97.00,        96.00,        96.75,                   386000.00,4000, ,       155.60,        60.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       125.80,       120.30,       120.30,       115.20,       117.60,                 10933560.00,92400, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        24.95,        24.95,        24.95,        24.85,        24.85,                   124500.00,5000, ,        48.25,        17.90
N,ST,AIMTRON,AIMTRON ELECTRONICS LTD,       796.75,       794.00,       805.00,       791.10,       796.00,                 10839520.00,13600, ,      1040.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        70.10,        72.00,        72.00,        70.00,        70.20,                   772450.00,11000, ,       168.85,        70.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       259.50,       259.50,       269.50,       259.50,       269.50,                   630800.00,2400, ,       299.30,        62.00
N,SM,ALCODIS,ALCOKRAFT DISTILLERIE LTD,       108.00,       106.00,       106.00,       106.00,       106.00,                   132500.00,1250, ,       265.00,       101.15
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       215.05,       215.05,       215.10,       200.00,       206.20,                  8057960.00,38400, ,       592.00,       200.00
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       805.45,       792.20,       815.00,       762.30,       809.10,                 93340565.00,118700, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        72.00,        72.00,        72.00,        72.00,        72.00,                   756000.00,10500, ,        95.80,        48.00
N,SM,AMBEY,AMBEY LABORATORIES LTD,        39.20,        39.20,        39.50,        39.20,        39.50,                   157400.00,4000, ,        71.80,        31.05
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        99.95,        99.70,        99.70,        99.70,        99.70,                    99700.00,1000, ,       127.25,        91.90
