"Security Name","Symbol Name","Trade Date","Quantity"
"BSE LIMITED","BSE","17-Dec-2025","196"
"HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED","HFCL","17-Dec-2025","7692"
"NATIONAL ALUMINIUM CO LTD","NATIONALUM","17-Dec-2025","854"
"NCC LIMITED","NCC","17-Dec-2025","2169"
"HINDUSTAN ZINC LIMITED","HINDZINC","17-Dec-2025","135"
"MARUTI SUZUKI INDIA LTD.","MARUTI","17-Dec-2025","1"
"EQUINOX INDIA DEV LTD","EMBDL","17-Dec-2025","31"
"STATE BANK OF INDIA","SBIN","17-Dec-2025","64"
"RURAL ELEC CORP. LTD.","RECLTD","17-Dec-2025","250"
"BANK OF INDIA","BANKINDIA","17-Dec-2025","420"
"TORRENT POWER LTD","TORNTPOWER","17-Dec-2025","138"
"NTPC GREEN ENERGY LIMITED","NTPCGREEN","17-Dec-2025","2000"
"TATA CONSUMER PRODUCT","TATACONSUM","17-Dec-2025","775"
"HDFCAMC - HDFCPVTBAN","HDFCPVTBAN","17-Dec-2025","41"
"INFOSYS TECHNOLOGIES LTD","INFY","17-Dec-2025","25"
"COMPUTER AGE MGMT SER LTD","CAMS","17-Dec-2025","312"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","17-Dec-2025","1523"
"IRFC","IRFC","17-Dec-2025","358"
"NATIONAL BUILDINGS LTD   ","NBCC","17-Dec-2025","3627"
"BHARTI AIRTEL LIMITED","BHARTIARTL","17-Dec-2025","866"
"MAHABANK","MAHABANK","17-Dec-2025","20"
"AVENUE SUPERMARTS LIMITED","DMART","17-Dec-2025","19"
"LLOYDS ENTERPRISES LTD","LLOYDSENT","17-Dec-2025","1000"
"ADANI ENERGY SOLUTION LTD","ADANIENSOL","17-Dec-2025","40"
"BANDHAN BANK LIMITED","BANDHANBNK","17-Dec-2025","939"
"CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED","CDSL","17-Dec-2025","390"
"HINDUSTAN AERONAUTICS LTD","HAL","17-Dec-2025","61"
"IDEA CELLULAR LIMITED","IDEA","17-Dec-2025","15926"
"TATA TECHNOLOGIES LIMITED","TATATECH","17-Dec-2025","1177"
"SEPC LIMITED","SEPC","17-Dec-2025","5"
"ADANI POWER LTD","ADANIPOWER","17-Dec-2025","1000"
"ASIAN PAINTS LIMITED","ASIANPAINT","17-Dec-2025","1250"
"IDFC FIRST BANK LIMI","IDFCFIRSTB","17-Dec-2025","2833"
"PIRAMAL PHARMA LIMITED","PPLPHARMA","17-Dec-2025","3761"
"SAMMAAN CAPITAL LIMITED","SAMMAANCAP","17-Dec-2025","1500"
"LUPIN LIMITED","LUPIN","17-Dec-2025","11"
"YES BANK LIMITED","YESBANK","17-Dec-2025","10014"
"SBI CARDS & PAY SER LTD","SBICARD","17-Dec-2025","20"
"KAYNES TECHNOLOGY IND LTD","KAYNES","17-Dec-2025","617"
"ABB POWER PRO N SYS IND L","POWERINDIA","17-Dec-2025","20"
"ANGEL ONE LTD","ANGELONE","17-Dec-2025","44"
"LIFE INSURA CORP OF INDIA","LICI","17-Dec-2025","306"
"MAZAGON DOCK SHIPBUIL LTD","MAZDOCK","17-Dec-2025","434"
"TITAGARH RAIL SYSTEMS","TITAGARH","17-Dec-2025","325"
"BAJAJ AUTO LIMITED","BAJAJ-AUTO","17-Dec-2025","5"
"CANARA BANK","CANBK","17-Dec-2025","16"
"CENTRAL BANK OF INDIA","CENTRALBK","17-Dec-2025","123"
"VEDANTA LIMITED","VEDL","17-Dec-2025","140"
"ACTION CONST EQUIP LTD","ACE","17-Dec-2025","10"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","17-Dec-2025","36300"
"MOIL LIMITED     ","MOIL","17-Dec-2025","1"
"ADANI GREEN ENERGY LTD","ADANIGREEN","17-Dec-2025","247"
"NHPC LTD","NHPC","17-Dec-2025","528"
"SUZLON ENERGY LIMITED","SUZLON","17-Dec-2025","197"
"INDRAPRASTHA MEDICAL CORP","INDRAMEDCO","17-Dec-2025","50"
"PATEL ENGINEERING LTD.","PATELENG","17-Dec-2025","5000"
"WIPRO LTD","WIPRO","17-Dec-2025","1207"
"BAJAJ FINANCE LIMITED","BAJFINANCE","17-Dec-2025","1"
"SHRIRAM FINANCE LIMITED","SHRIRAMFIN","17-Dec-2025","31"
"INDIAN RENEWABLE ENERGY","IREDA","17-Dec-2025","3718"
"STEEL AUTHORITY OF INDIA","SAIL","17-Dec-2025","1539"
"SUN PHARMACEUTICALS IND.","SUNPHARMA","17-Dec-2025","1"
"THE SOUTH INDIAN BANK LTD","SOUTHBANK","17-Dec-2025","35"
"TATA CONSULTANCY SERV LT","TCS","17-Dec-2025","40"
"ICICI BANK LTD.","ICICIBANK","17-Dec-2025","1"
