MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       110.89,       110.78,       111.29,       110.78,       110.78,                    30023.93,271,4,       113.03,       102.76,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        60.21,        60.14,        60.43,        60.00,        60.13,                   420524.37,6976,203,        62.22,        47.55,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.01,      1000.01,      1000.01,       999.99,      1000.01,                  1616003.98,1616,7,      1030.00,       999.99,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        71.42,        71.20,        71.20,        70.57,        71.14,                   996449.50,14080,269,        76.11,        58.37,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,         9.77,         9.76,         9.77,         9.66,         9.73,                   993762.51,102382,578,        10.90,         8.00,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        47.58,        48.09,        48.09,        46.31,        47.75,                 27446152.49,576936,2511,        57.18,        39.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        24.75,        24.13,        24.97,        24.13,        24.84,                  7904806.54,318846,886,        27.43,        19.61,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.71,        27.72,        27.78,        27.60,        27.72,                  6294418.65,227142,1024,        29.69,        24.00,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        12.42,        12.42,        12.53,        12.38,        12.41,                  5877281.20,472989,1988,        13.50,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1038.81,      1038.98,      1038.98,      1038.96,      1038.97,                 33440210.56,32186,608,      1060.00,       908.58,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,        10.56,        10.61,        10.63,        10.54,        10.57,                  1527943.80,144441,1423,        12.00,         9.47,NIFTY 50 INDEX
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,         9.61,         9.71,         9.71,         9.51,         9.59,                   743680.07,77908,336,        10.50,         9.51,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        11.84,        11.84,        11.90,        11.80,        11.84,                  3448741.07,291106,2084,        12.49,         9.63,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       282.01,       283.21,       283.21,       277.68,       280.54,                 68182390.72,243950,3675,       293.00,       197.07,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        28.31,        28.57,        28.57,        27.81,        28.10,                 23002905.67,821544,2529,        29.06,        19.72,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       606.01,       606.01,       608.54,       606.01,       606.12,                  2184566.27,3592,18,       623.45,       485.00,NIFTY BANK
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        13.05,        13.12,        13.25,        13.03,        13.04,                   169627.79,12992,272,        14.50,        12.00,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,       124.79,       126.66,       126.66,       123.75,       124.25,                   198596.34,1600,33,       131.85,       101.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,       110.93,       113.70,       113.70,       110.70,       110.93,                115430675.35,1039492,3777,       113.70,        63.00,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       148.04,       147.80,       148.94,       147.00,       148.11,                   618384.57,4194,62,       156.13,       127.43,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,       199.01,       203.98,       203.98,       199.57,       200.92,                221087614.40,1098986,4914,       203.98,        85.51,AXIS SILVER ETF
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       283.77,       285.18,       285.50,       282.58,       283.64,                   926724.51,3266,151,       296.36,       236.80,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       414.53,       417.86,       420.39,       416.64,       420.07,                  4263272.57,10194,48,       490.10,       341.00,NIFTY IT INDEX
N,EQ,AXISVALUE,AXISAMC - AXISVALUE,        30.33,        30.68,        30.68,        30.20,        30.40,                   251293.34,8286,105,        32.10,        22.84,NIFTY500 VALUE 50 TRI
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        87.25,        87.05,        87.22,        86.77,        87.22,                    27332.55,314,36,        91.35,        74.00,AXIS S&P BSE SENSEX ETF
N,EQ,BANKADD,DSPAMC - DSPBANK,        60.06,        60.96,        60.96,        59.98,        60.03,                    76380.08,1269,60,        61.84,        46.50,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       607.87,       607.98,       610.45,       606.05,       607.63,                185412781.57,304730,7971,       624.70,       490.00,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        59.65,        59.75,        59.94,        59.52,        59.64,                   234719.78,3927,174,        65.00,        47.00,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       597.30,       597.30,       600.62,       595.43,       598.27,                  1362364.62,2276,61,       610.16,       481.38,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        60.23,        58.72,        60.54,        58.72,        60.24,                 23220289.31,384760,1017,        62.88,        47.53,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,       609.41,       608.10,       612.13,       607.55,       608.67,                  3079370.79,5048,368,       651.60,       490.15,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        83.52,        83.93,        83.93,        82.95,        83.57,                  1502779.76,17961,93,        88.74,        55.29,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1308.42,      1306.02,      1308.53,      1305.32,      1307.67,                  5056443.94,3866,33,      1323.24,      1205.00,NIFTY BHARAT BOND INDEX - APRIL 2032
