SYMBOL,SYMBOL P/E,ADJUSTED P/E
SNOWMAN,103.70,103.70
SHARDACROP,19.69,19.69
SUPERHOUSE,108.02,108.02
CIGNITITEC,19.37,19.37
PDSL,21.60,21.60
INTELLECT,39.97,39.99
MONTECARLO,18.60,18.60
GOODLUCK,20.58,20.58
FCL,26.34,26.34
CAMLINFINE,,44.77
GULPOLY,29.67,29.67
APOLSINHOT,30.75,30.75
CCHHL,51.39,51.39
LAMBODHARA,18.04,18.04
GRPLTD,33.01,33.01
GENUSPAPER,121.97,121.97
MOLDTKPAC,28.48,28.75
GREENLAM,199.27,199.27
VISHNU,27.05,27.05
GANECOS,26.83,26.83
LINC,18.02,18.02
MENONBE,21.48,21.48
HESTERBIO,39.62,39.62
JMA,6.77,6.77
MANAKALUCO,22.16,22.16
MANAKSTEEL,25.73,25.32
MANAKCOAT,52.89,54.66
ZENTEC,45.02,45.02
IMAGICAA,48.28,48.53
INOXWIND,44.44,43.25
LFIC,20.74,20.74
BYKE,59.12,59.12
AVANTIFEED,19.26,19.26
VRLLOG,21.16,21.16
PRIVISCL,55.90,55.90
BCG,2.86,2.86
UFO,17.61,17.98
TPLPLASTEH,21.77,21.77
NILAINFRA,13.77,13.77
ARROWGREEN,14.55,14.55
PNCINFRA,9.52,15.85
SKIPPER,30.89,30.89
ALANKIT,14.30,12.41
ORICONENT,46.92,69.40
ADANIENSOL,44.75,44.75
SYNGENE,51.36,51.36
AYMSYNTEX,166.56,166.56
EMKAYTOOLS,2.74,2.74
RAMASTEEL,76.32,76.32
PKTEA,48.07,48.07
MUTHOOTCAP,14.78,14.78
SATIN,12.25,12.25
ARVSMART,21.77,21.77
POWERMECH,19.76,19.76
SHARDAMOTR,16.10,17.00
SHREEPUSHK,17.91,17.91
GUJGASLTD,23.27,23.27
SADBHIN,17.03,1.67
IDFCFIRSTB,55.45,55.45
INDIGO,28.71,28.71
SHK,12.29,17.37
PERFECT,8.10,8.10
BALAXI,8.43,8.43
LUXIND,21.81,21.81
TTKHLTCARE,23.42,21.89
SALZERELEC,17.05,17.05
PILANIINVS,46.51,46.51
KRIDHANINF,0.57,75.04
LINCOLN,11.06,11.06
LALPATHLAB,45.51,45.51
ALKEM,28.83,28.96
NH,48.86,48.42
PRECAM,23.15,43.75
TEAMLEASE,23.21,23.21
HITECH,24.64,24.64
VIDHIING,35.10,35.10
BHAGERIA,17.63,17.63
NECCLTD,22.27,22.27
KELLTONTEC,11.42,11.42
SEQUENT,131.70,129.85
GOKULAGRO,21.27,21.27
SIMBHALS,1.95,1.95
KDDL,19.65,19.62
PDMJEPAPER,8.74,8.74
HCG,251.17,251.17
HECPROJECT,13.82,13.82
WEALTH,29.22,28.33
BHARATWIRE,17.15,17.15
INFIBEAM,20.85,21.25
THYROCARE,55.51,55.51
CROMPTON,29.95,29.95
SAGARDEEP,21.50,21.50
PARAGMILK,32.02,32.02
SHRIPISTON,25.08,25.08
UNITEDPOLY,35.92,35.92
ARMANFIN,267.39,267.39
ALBERTDAVD,67.83,67.83
BLS,21.41,21.41
ASPINWALL,23.69,23.69
SALONA,58.66,58.66
PREMEXPLN,69.41,64.01
CONTROLPR,11.88,12.21
INCREDIBLE,13.13,13.13
DAMODARIND,9.03,9.03
MGL,10.31,10.31
MOLDTECH,60.18,60.18
POKARNA,14.46,14.46
COMPINFO,0.43,0.43
VIJIFIN,2638.89,2638.89
GPTINFRA,15.75,15.75
QUESS,22.77,9.67
GROBTEA,18.57,18.57
SOMICONVEY,24.39,24.39
LLOYDSENGG,60.96,60.96
LTIM,39.26,39.26
GATECH,8.33,8.33
MINDTECK,20.61,20.61
ADVENZYMES,24.36,24.36
DBL,7.82,12.54
SPAL,18.13,18.03
NDGL,16.18,15.83
RBLBANK,31.58,31.58
MBAPL,38.70,38.70
CUPID,242.06,242.06
LTTS,37.53,37.53
GNA,12.95,12.95
CROWN,14.04,14.15
ICICIPRULI,72.31,72.31
MARATHON,20.50,20.50
HPL,25.74,25.74
JAIPURKURT,16.52,16.52
MASKINVEST,17733.74,17733.74
GRETEX,193.07,193.07
SAKAR,47.29,47.17
ALCODIS,12.34,12.34
PANSARI,99.24,99.24
ARTNIRMAN,82.81,82.81
ENDURANCE,42.93,43.45
GICL,111.54,111.56
NIRAJISPAT,8.34,8.34
MAZDA,15.70,15.70
PNBHOUSING,11.45,11.45
VBL,55.22,55.22
KINGFA,46.01,46.01
AGROPHOS,7.88,7.88
PODDARMENT,14.96,14.96
NBIFIN,56.69,56.69
JETFREIGHT,18.33,18.33
SFL,114.12,114.09
HEADSUP,4.31,4.31
TCIEXP,27.02,27.02
LAURUSLABS,108.33,108.33
TERASOFT,53.67,52.30
ITDC,57.95,57.95
HISARMETAL,31.36,31.36
RHFL,6.00,50.29
LIBAS,,16.26
PROLIFE,6.66,6.66
SPCENET,25.99,25.99
MAHESHWARI,7.36,7.36
BHANDARI,12.18,12.18
BSE,71.17,71.17
MCL,29.40,29.40
PRICOLLTD,46.32,46.32
STEELCITY,8.55,8.55
KRISHANA,31.76,31.76
GLOBAL,19.46,19.46
NITIRAJ,30.92,30.92
SANGINITA,63.39,63.39
AKASH,58.21,58.21
DMART,91.99,91.99
TASTYBITE,54.96,54.96
INTENTECH,22.46,22.46
AIRAN,969.11,969.11
AKSHARCHEM,47.51,47.51
ARIHANTSUP,19.66,19.66
URJA,218.45,218.45
LAXMICOT,6.19,
EIFFL,107.65,107.65
NRAIL,26.58,26.58
SHANKARA,2.83,2.83
CNL,20.66,20.66
WIPL,43.45,43.45
FOCUS,61.49,61.49
DEVIT,15.15,15.15
SIKKO,48.04,48.04
MKPL,24.24,24.24
DOLLAR,21.25,21.56
PANACHE,82.07,82.07
INFOBEAN,33.70,33.17
SCHAND,11.66,11.66
BHAGYANGR,21.10,21.10
PSPPROJECT,143.01,143.01
STARCEMENT,37.87,37.87
GLOBE,13.43,13.43
TEJASNET,45.83,45.83
ERIS,52.01,52.01
CDSL,62.65,62.65
GTPL,27.79,27.88
AUBANK,33.85,33.85
DYNPRO,19.51,19.51
STEELXIND,29.53,29.53
SALASAR,61.98,74.32
UNIVASTU,14.04,14.04
AVADHSUGAR,11.12,11.12
MAGADSUGAR,7.19,7.19
GANGESSECU,24.76,24.76
THEINVEST,17.45,17.45
TOTAL,10.63,10.63
OPTIEMUS,73.76,73.76
WEWIN,28.98,28.98
SIS,332.34,332.34
COCHINSHIP,47.01,47.01
HALEOSLABS,24.48,24.48
VAISHALI,261.51,261.51
GEEKAYWIRE,9.94,9.94
SERVOTECH,53.29,53.29
ABCAPITAL,29.91,29.91
APEX,103.72,103.72
BRNL,1.19,1.19
MANAV,11.82,11.82
DIXON,59.40,84.27
DCAL,39.86,34.38
LASA,,14.87
MATRIMONY,27.92,27.92
CHOLAHLDNG,7.06,7.06
CAPACITE,12.21,12.21
ICICIGI,48.94,48.94
WORTHPERI,12.37,12.37
SBILIFE,81.01,81.01
DPWIRES,15.92,15.92
AARVI,15.84,15.84
AIROLAM,83.13,83.13
RKEC,7.60,7.60
GATECHDVR,1.30,1.30
JASH,33.18,33.12
RELIABLE,14.16,14.16
TIRUPATIFL,58.97,58.97
OMFURN,16.95,16.95
GODREJAGRO,29.78,29.78
TCPLPACK,20.02,20.02
MASFIN,17.43,17.43
IEX,28.70,28.70
DPABHUSHAN,26.04,26.04
GICRE,8.65,8.65
TIINDIA,48.59,48.33
NAM-INDIA,40.84,40.84
NIACL,23.11,23.11
IFGLEXPOR,50.20,50.20
KHADIM,31.13,31.13
5PAISA,16.07,16.07
HDFCLIFE,86.38,86.38
AISL,10.42,10.42
VERTOZ,23.92,23.92
PULZ,,477.05
SILVERTUC,46.22,46.22
ZODIAC,22.61,22.61
FELIX,28.38,28.38
ICEMAKE,68.72,68.72
DNAMEDIA,4.97,4.97
SHRADHA,14.14,14.14
INNOVANA,25.03,25.03
TOUCHWOOD,18.43,18.43
ONEPOINT,39.76,39.76
SMVD,0.71,
SHIVATEX,18.03,18.03
AJOONI,20.32,20.32
MOKSH,15.58,15.58
BCONCEPTS,161.72,161.72
APOLLO,114.37,114.37
NEWGEN,37.44,37.44
AMBER,73.79,73.79
GALAXYSURF,23.12,23.12
AMJUMBO,49.94,49.94
SINTERCOM,333.82,333.82
MHHL,11.71,11.71
SOUTHWEST,35.63,36.18
ARVEE,168.80,168.80
ASTERDM,84.93,76.39
GMMPFAUDLR,119.43,52.16
HGINFRA,11.11,11.38
HINDCON,37.01,37.01
SARVESHWAR,17.31,17.31
MACPOWER,37.20,36.40
TARACHAND,21.88,21.88
BDL,86.57,86.57
TSFINV,135.16,135.16
BANDHANBNK,11.60,11.60
HAL,34.21,34.23
URAVIDEF,99.74,99.74
MITTAL,40.80,40.80
SANDHAR,23.44,25.00
GIRIRAJ,25.62,25.62
KAPSTON,29.19,29.19
MIDHANI,46.38,46.38
CONTI,14.86,50.51
LEMONTREE,46.22,46.22
AVG,13.93,13.93
MMP,39.98,19.09
NARMADA,19.63,19.63
PIGL,18.43,18.43
CHEMFAB,,108.29
BSHSL,38.85,38.85
MAHICKRA,50.33,50.33
AAKASH,76.25,76.25
AURIGROW,17.13,17.13
SOFTTECH,235.63,235.63
ORIENTELEC,44.28,44.28
E2E,117.39,117.39
INDOSTAR,80.09,80.09
SIRCA,51.41,51.41
SVLL,254.25,254.25
SONAMLTD,25.42,25.42
ADANIGREEN,92.63,81.31
OSWALSEEDS,9.05,9.05
PRITI,21.73,21.73
ACCURACY,32.24,32.24
SOLARA,86.58,86.58
GAYAHWS,2.20,2.20
FINEORG,31.67,32.08
RITES,25.99,26.04
VARROC,68.43,41.35
GANGAFORGE,483.15,300.17
REPL,16.17,16.17
AVROIND,44.10,42.70
HDFCAMC,41.78,41.78
TEMBO,16.32,16.42
CREDITACC,105.46,105.46
AARON,50.73,50.73
SIGIND,10.14,9.14
SUMIT,23.64,23.64
LAGNAM,9.33,9.33
RPPL,8.54,8.54
AKG,60.16,60.16
IRCON,23.78,23.78
AHLADA,26.75,26.75
AAVAS,19.85,19.85
GRSE,45.69,45.69
KRITIKA,20.65,20.65
SILGO,39.31,39.31
VINNY,11.28,11.28
MARINE,65.65,65.65
IRISDOREME,49.53,49.53
ATGL,102.56,102.56
TECHNOE,28.78,28.78
SHUBHLAXMI,42.21,42.21
DRSDILIP,16.16,16.16
UNIPARTS,22.59,22.59
SHRIRAMPPS,25.71,25.71
TREJHARA,184.38,184.38
NILASPACES,34.56,34.56
AWHCL,12.08,15.18
DALBHARAT,40.99,41.68
RPSGVENT,31.43,7.52
SURANI,192.59,28.64
CHALET,66.51,66.51
MSTCLTD,7.93,14.71
OSIAHYPER,13.71,13.71
ANUP,36.17,36.17
ARVINDFASN,148.03,148.03
PAR,8.62,8.62
KHFM,40.76,40.76
RVNL,58.85,58.85
POLYCAB,47.50,47.50
METROPOLIS,64.18,64.18
KPITTECH,39.61,39.61
SWSOLAR,40.01,40.01
NEOGEN,85.45,143.65
EMAMIPAP,27.29,27.29
VCL,34.17,34.17
CONFIPET,12.16,12.26
PPL,8.45,8.45
DGCONTENT,8.71,8.71
INDIAMART,20.93,20.93
ATMASTCO,18.13,18.13
ABINFRA,58.48,57.02
OAL,41.79,41.79
DCMNVL,21.31,206.64
SATIA,6.66,6.66
WEL,115.13,115.13
AFFLE,58.85,58.85
CHEMCON,28.46,28.46
WESTLIFE,819.94,819.94
DOLATALGO,8.01,8.01
HNDFDS,55.18,55.18
UJJIVANSFB,19.94,19.94
MAZDOCK,46.81,46.81
IRCTC,39.83,40.74
SAFARI,73.21,73.21
DCI,25.67,25.67
360ONE,43.19,43.19
IIFLCAPS,13.73,13.73
HPIL,106.57,106.57
SAMHI,37.67,31.71
FLUOROCHEM,62.47,62.47
GREENPANEL,131.31,131.31
KUANTUM,8.94,8.94
APOLLOPIPE,44.81,44.81
CHEMBOND,6.41,6.64
MGEL,20.76,18.90
ROUTE,13.76,13.20
SBICARD,42.28,42.28
HOMEFIRST,29.17,29.17
SIGMA,25.29,25.29
CSBBANK,11.35,11.35
ASCOM,27.27,27.22
EASEMYTRIP,36.65,36.65
ROSSARI,23.50,23.50
HINDWAREAP,,321.08
PRINCEPIPE,117.69,117.69
LIKHITHA,10.84,10.84
PARKHOTELS,28.73,28.57
ARTEMISMED,50.63,50.63
PATANJALI,48.56,48.56
SUMICHEM,40.15,40.15
LGHL,120.56,120.44
ATALREAL,70.19,70.19
ASALCBR,20.66,20.66
MAHEPC,32.04,32.04
UNIVPHOTO,7.33,7.33
COHANCE,80.32,78.51
POWERINDIA,168.97,168.97
STOVEKRAFT,47.34,47.34
BHARTIHEXA,64.12,61.31
KSOLVES,21.01,21.01
RAJRATAN,39.60,39.60
HAPPSTMNDS,38.62,37.16
AARTISURF,22.15,31.85
GLAND,35.35,35.35
BOROLTD,43.52,43.52
NDRAUTO,42.67,42.67
MAXHEALTH,87.40,83.62
PAVNAIND,87.38,51.03
AAATECH,36.14,36.14
KALYANKJIL,61.24,61.24
BTML,21.19,21.19
SHAREINDIA,12.38,12.38
UNIDT,30.30,30.30
SIGACHI,,16.71
ANGELONE,22.89,22.89
ADL,332.23,
NIRAJ,14.37,14.50
VALIANTORG,137.22,137.22
CAMS,38.99,38.99
SURYODAY,17.92,17.92
ROML,15.09,15.09
UTIAMC,18.05,18.05
RAILTEL,33.27,33.10
BECTORFOOD,55.49,55.49
KHAICHEM,19.50,19.50
ORCHPHARMA,50.43,50.43
INDIGOPNTS,40.35,40.35
LXCHEM,47.72,47.72
MTARTECH,120.37,120.37
FAIRCHEMOR,94.82,94.82
ANURAS,76.80,76.80
KANPRPLA,22.94,22.08
ISGEC,21.21,21.21
RUBFILA,13.67,13.67
STYLAMIND,30.87,30.87
PAKKA,10.74,10.74
CLSEL,12.86,12.86
PARTYCRUS,47.00,47.00
CARYSIL,35.05,35.05
MANCREDIT,29.23,28.71
SHAILY,93.68,93.68
MODISONLTD,15.64,16.34
FIBERWEB,5.94,5.94
BCLIND,8.29,8.29
BHAGCHEM,243.74,243.74
SBCL,44.01,44.01
AADHARHFC,21.82,21.82
SMCGLOBAL,14.42,14.42
QMSMEDI,12.75,12.75
ARIHANTCAP,19.55,20.39
SIDDHIKA,15.92,15.92
NAZARA,77.54,77.54
IPL,19.37,19.37
GENCON,20.98,20.98
LODHA,35.81,35.81
HLEGLAS,42.33,42.33
BESTAGRO,13.74,13.74
VMARCIND,44.45,44.45
SONACOMS,52.54,50.62
DRCSYSTEMS,16.07,16.07
PARAS,82.15,82.15
CRAFTSMAN,79.70,72.37
DODLA,28.45,28.45
EXXARO,71.70,93.78
JUBLINGREA,39.68,39.66
ROLEXRINGS,20.24,19.00
WALPAR,14.98,14.98
SHYAMMETL,24.31,24.31
KIMS,63.86,65.14
JSFB,10.48,10.48
TATVA,454.96,454.96
CLEAN,35.27,35.27
AILIMITED,23.48,23.48
ALIVUS,21.97,21.97
ABSLAMC,22.96,22.96
DEEPINDS,,14.45
ETERNAL,918.07,918.07
BEWLTD,13.18,13.18
PIXTRANS,17.48,17.48
MEDIASSIST,35.24,35.24
WINDLAS,24.26,24.26
CARTRADE,76.93,76.93
KRSNAA,29.13,29.13
EQUIPPP,229.81,229.81
APTUS,17.86,17.86
SUPRIYA,33.26,33.26
ANMOL,9.02,9.02
BMETRICS,12.18,12.18
VIJAYA,66.60,66.24
ACUTAAS,71.71,71.71
MOL,84.11,84.11
SUYOG,17.97,17.97
SANSERA,45.22,45.22
BAJAJHCARE,26.91,26.91
PRITIKAUTO,8.60,8.60
NIVABUPA,98.08,98.08
AAREYDRUGS,46.42,46.42
GRINFRA,9.13,9.39
INTLCONV,5.14,5.14
DUGLOBAL,67.16,67.16
PAYTM,274.84,
STEELCAS,26.40,26.40
HPAL,23.01,23.01
UGROCAP,13.52,13.52
STARHEALTH,46.09,46.09
KPIGREEN,22.21,22.14
YUKEN,52.45,52.45
SGIL,47.57,47.57
ANANDRATHI,77.26,77.26
SJS,42.00,42.00
FINOPB,25.30,25.30
POLICYBZR,217.04,217.04
NYKAA,835.63,835.63
AWL,28.97,28.97
MONARCH,14.62,14.62
SAPPHIRE,1081.93,686.52
QUADPRO,19.13,19.13
PRUDENT,52.84,52.84
EPIGRAL,14.02,14.02
NUVOCO,83.54,83.54
GOCOLORS,28.34,28.34
IXIGO,148.25,149.94
CMSINFO,15.18,15.18
COASTCORP,42.88,42.88
TARSONS,44.16,44.16
MEDPLUS,53.86,53.86
TEGA,65.50,65.50
RATEGAIN,37.06,37.06
MANORG,17.86,17.86
LATENTVIEW,54.26,54.26
METROBRAND,83.84,83.84
MICEL,110.61,110.61
EMCURE,34.28,33.88
PASUPTAC,18.52,18.52
FOODSIN,12.16,12.16
PARADEEP,15.77,15.77
MAPMYINDIA,54.86,54.86
3IINFOLTD,4.67,4.67
TMB,6.67,6.67
DYNAMIC,6.66,6.67
DESTINY,74.67,74.67
MANYAVAR,36.02,36.02
GANESHBE,14.22,7.72
DMCC,23.14,23.14
KOTYARK,17.99,17.99
MEDICAMEQ,73.54,73.54
EMIL,37.37,35.69
SHIVALIK,29.47,29.47
PRECISION,36.14,36.14
WAAREEENER,36.00,35.95
DATAPATTNS,64.40,64.40
COOLCAPS,73.79,73.77
MEDANTA,57.51,55.40
AFSL,8.70,8.70
MALLCOM,11.92,11.92
NIDAN,13.92,13.92
IRIS,58.45,58.45
ASIANENE,31.74,31.74
SMLT,33.84,33.84
NRL,26.15,26.15
RADIANTCMS,13.32,13.32
GPTHEALTH,24.06,24.06
CHOICEIN,88.67,88.67
HARIOMPIPE,15.89,15.89
GRWRHITECH,25.29,25.29
CAPITALSFB,8.90,8.90
DELHIVERY,150.97,150.97
DCMSRIND,16.86,16.86
RAJRILTD,73.90,73.90
EMUDHRA,52.78,52.78
DYCL,22.28,22.28
FIVESTAR,15.98,15.98
STARTECK,22.17,20.45
SBC,81.79,81.79
DHRUV,12.39,12.39
ELDEHSG,58.32,58.32
RICHA,17.98,17.98
ELIN,24.73,24.73
ANUHPHR,24.97,24.97
SHIGAN,10.84,10.84
MADHAVBAUG,45.09,38.18
SEJALLTD,60.62,60.62
MHLXMIRU,12.91,12.91
RELCHEMQ,22.25,22.25
GATEWAY,7.68,10.28
SYRMA,64.64,64.09
ZIMLAB,36.84,36.84
JTLIND,27.69,27.69
CAMPUS,67.74,67.74
RAINBOW,51.70,51.70
TBOTEK,78.78,85.26
VENUSPIPES,27.70,27.70
AETHER,65.17,61.87
ROTO,38.67,38.67
SPRL,13.48,13.48
MEGASTAR,55.05,55.05
SANATHAN,24.71,24.71
INDOBORAX,22.31,22.31
LANDMARK,100.40,
RACE,31.36,31.53
AVONMORE,17.15,17.15
ETHOSLTD,82.33,82.33
DREAMFOLKS,8.51,8.51
MSUMI,49.90,49.90
DHARMAJ,16.05,16.05
HARSHA,37.44,38.25
OBCL,36.67,36.67
GMRP&UI,19.03,
LICI,10.97,10.97
INDOAMIN,13.20,13.20
KRISHNADEF,46.21,46.21
TVSSCS,86.56,
SWARAJ,16.64,16.64
INOXGREEN,178.96,178.96
FEDFINA,22.92,22.92
ACI,38.98,32.90
BIKAJI,95.49,95.49
RITCO,18.21,18.21
SADHNANIQ,48.11,48.11
SURAJEST,13.03,13.03
VEEKAYEM,15.57,15.57
SKP,92.11,92.11
RILINFRA,16.10,16.10
HARDWYN,60.31,60.31
CHEVIOT,10.35,10.35
MUKKA,16.92,16.92
HMAAGRO,16.64,16.64
MEDICO,39.54,39.54
CMRSL,12.53,12.53
KFINTECH,51.98,51.98
YATHARTH,45.48,45.48
DCXINDIA,43.54,43.54
YATRA,56.04,56.04
ARISTO,21.09,21.09
KAYNES,86.43,86.43
NGLFINE,39.25,39.25
JFLLIFE,9.71,9.71
SWASTIK,16.45,16.45
PLAZACABLE,52.91,52.91
SENCO,24.53,24.53
USASEEDS,18.88,18.88
QVCEL,5.27,5.27
RADHIKAJWE,13.59,13.59
SPLPETRO,34.30,34.30
RAMRAT,40.25,40.25
VIVIANA,35.99,35.97
CSLFINANCE,9.49,9.49
AGNI,77.77,77.77
GOYALALUM,83.52,83.52
RUSTOMJEE,35.55,35.55
GENSOL,1.38,1.38
SPORTKING,9.94,9.94
ALLETEC,14.40,14.40
AIIL,11.52,11.52
ABDL,71.37,71.37
MANORAMA,55.99,55.99
ISHAN,75.47,73.55
ARABIAN,8.99,8.31
INNOVACAP,30.62,30.62
GRMOVER,46.31,46.31
SYNCOMF,23.93,23.94
CEWATER,14.74,14.74
DJML,30.30,30.30
BAHETI,35.89,35.89
SULA,31.04,31.04
SIGNATURE,123.30,123.30
ANNAPURNA,22.31,24.39
KRITINUT,10.42,10.42
MEGAFLEX,37.11,37.11
KALAMANDIR,20.13,20.13
VITAL,32.66,32.66
RAMAPHO,19.05,19.05
PPLPHARMA,770.39,23308.58
AVALON,70.97,70.97
RITEZONE,9.52,9.52
CONCORDBIO,38.98,38.98
GODIGIT,69.50,69.50
GRCL,76.57,76.57
BAIDFIN,11.62,11.62
PHANTOMFX,18.25,18.25
QUICKTOUCH,10.08,10.08
AMIABLE,15.78,15.78
IPSL,35.37,35.37
KAMOPAINTS,34.56,34.56
DOLLEX,18.69,18.69
BLUEJET,25.69,25.69
MVGJL,8.78,8.78
JIWANRAM,6.50,5.22
UYFINCORP,21.27,21.27
SCPL,32.86,32.86
SUKHJITS,14.56,14.56
ARHAM,33.07,33.07
FROG,10.58,10.57
MANKIND,45.74,45.74
SKYGOLD,31.98,31.98
AEROENTER,11.65,11.64
DIVGIITTS,66.71,66.71
EIEL,18.41,18.06
PRITIKA,44.18,44.18
ANLON,38.94,38.94
MOTISONS,34.78,34.78
VERTEXPLUS,74.43,74.43
CMNL,28.98,28.98
SRIVASAVI,9.48,9.48
DIACABS,194.16,194.16
IKIO,60.07,60.07
MANOMAY,20.78,20.78
FAZE3Q,23.54,23.54
UMA,15.00,15.00
RBMINFRA,14.21,14.21
LLOYDSME,44.97,44.97
AARTIPHARM,24.68,24.68
RHL,20.12,20.12
SAHYADRI,15.97,15.97
SAHANA,21.90,21.90
NINSYS,26.36,26.36
DUCOL,76.29,76.29
HOMESFY,38.71,38.71
SBFC,30.80,30.80
SBGLP,55.36,55.36
ASMS,280.80,785.11
HYBRIDFIN,16.96,16.01
SHERA,13.13,13.13
VIAZ,27.71,27.71
LRRPL,45.87,45.87
INDGN,29.30,29.30
ZAGGLE,49.41,49.41
GANDHAR,18.10,18.10
AGARWALFT,9.45,9.45
MCON,19.34,19.34
HONASA,113.49,113.49
RISHABH,39.35,39.36
IRMENERGY,26.92,26.92
AERONEU,263.81,263.81
DENEERS,14.86,14.86
JGCHEM,20.46,20.46
QFIL,11.74,11.74
CYIENTDLM,51.39,51.39
AGUL,24.89,24.89
NIRMAN,2.14,2.14
AKI,49.85,52.58
MASTER,21.24,21.24
YCCL,14.29,14.29
RPTECH,10.49,10.59
LORDSCHLO,29.73,29.73
SYSTANGO,21.63,21.63
RATNAVEER,22.03,22.03
PATTECH,89.74,89.74
MOS,43.64,43.64
SECMARK,37.33,37.33
AUROIMPEX,10.80,10.80
SPECTSTM,28.39,28.39
ATAM,14.31,14.31
AFIL,8.34,8.34
INFOLLION,29.62,29.62
LAL,32.50,32.50
URBAN,12.26,12.26
INFINIUM,44.24,44.24
AARTECH,66.67,66.67
POCL,55.07,55.07
KRISHCA,21.20,21.20
ESFL,97.13,97.13
AATMAJ,156.51,156.51
DOLPHIN,32.80,32.80
TATATECH,38.50,38.50
REMUS,21.43,21.43
NOVAAGRI,13.58,13.58
REDTAPE,38.40,38.40
ASHOKAMET,5.52,5.52
PENTAGON,20.62,20.62
CELLPOINT,13.76,
SEL,28.47,28.47
GREENCHEF,21.53,21.53
PROV,58.68,58.68
PTCIL,426.62,421.35
KDL,7.99,7.99
NETWEB,140.17,140.17
PYRAMID,21.54,21.54
VILINBIO,123.90,123.90
AEROFLEX,49.81,49.81
EMSLIMITED,13.39,13.39
EFACTOR,21.08,21.08
GHCLTEXTIL,12.20,12.20
VPRPL,17.71,17.71
UDS,9.49,9.49
DENTALKART,58.65,58.65
CLSL,13.77,13.77
SSFL,12.26,12.26
KIRLPNU,32.87,32.43
ATL,30.22,28.22
BALUFORGE,31.53,31.53
RRKABEL,48.18,48.31
COMMITTED,31.85,31.85
JSWINFRA,35.03,35.03
JLHL,47.52,47.52
NUVAMA,25.50,25.50
DRONE,162.36,162.36
GLOBALPET,33.64,33.64
YASHO,140.68,140.68
KEL,12.94,12.94
PRAMARA,82.17,82.17
NIITMTS,29.65,28.19
VINSYS,19.10,19.10
VALIANTLAB,2779.72,2779.72
ZEAL,9.26,9.26
RACLGEAR,57.80,57.80
WCIL,21.49,21.49
ARVINDPORT,8.50,8.50
MARINETRAN,68.09,68.09
SINDHUTRAD,67.18,67.18
UNIHEALTH,33.39,33.39
ORIANA,27.38,27.38
ASKAUTOLTD,36.92,36.92
CHAVDA,13.12,13.12
ONDOOR,8.69,8.69
BAWEJA,8.69,8.69
TRANSTEEL,23.91,23.91
SANDUMA,20.05,20.05
VLEGOV,,151.90
PLADAINFO,7.49,7.49
LLOYDSENT,23.39,23.39
OLIL,83.24,83.24
RBZJEWEL,15.21,15.21
MASTERTR,11.90,11.90
KODYTECH,67.08,67.08
KARNIKA,40.44,40.44
AKANKSHA,166.66,166.66
SCML,21.01,21.01
SAAKSHI,65.03,65.03
MUFIN,106.97,106.97
MAL,9.24,9.25
HIGREEN,29.56,29.56
PLATIND,30.12,30.12
MUFTI,9.72,9.72
FLAIR,25.20,25.20
BASILIC,17.60,16.17
CELLECOR,21.39,21.39
SRGHFL,16.65,16.65
JIOFIN,147.55,150.31
MCLOUD,19.83,19.83
CPS,1416.38,1416.38
MADHUSUDAN,12.76,16.04
GOYALSALT,21.35,21.35
TICL,7.12,3.97
WOMANCART,27.58,27.58
BLSE,29.56,29.56
HOLMARC,28.74,28.74
TREL,12.19,22.42
MARCO,30.24,30.24
DIAMINESQ,132.65,132.65
VISHNUINFR,14.44,14.44
KONTOR,9.97,9.97
RKSWAMY,29.20,29.20
EPACK,50.45,50.45
HAPPYFORGE,38.03,38.03
INDIASHLTR,22.24,22.24
CELLO,34.10,34.10
CANARYS,21.08,21.08
DIGIDRIVE,15.57,15.57
DOMS,70.33,70.33
MAITREYA,80.14,80.14
LANCORHOL,98.31,98.31
AMNPLST,30.59,30.59
SARTELE,24.14,24.14
VINYAS,76.13,76.13
SAIFL,7.82,7.82
JNKINDIA,49.34,49.34
PARAGON,14.18,14.18
ARKADE,16.08,16.12
INOXINDIA,43.26,44.28
GRAPHISAD,9.28,8.98
SHEETAL,18.33,18.33
ROXHITECH,3.39,3.39
JYOTICNC,63.24,63.24
STANLEY,38.35,38.35
BAJEL,145.66,145.66
EFORCE,62.87,62.87
DEEM,13.11,13.11
APS,19.03,19.03
ENTERO,36.55,36.55
TECHLABS,46.01,46.01
SIGNPOST,31.16,31.16
ROCKINGDCE,23.85,23.85
BABAFP,12.01,12.01
SHREEOSFM,11.89,11.89
PRESSTONIC,53.52,53.52
HRHNEXT,11.24,11.28
INDOFARM,34.18,34.18
DEEDEV,27.85,27.85
MEGATHERM,19.36,19.36
OWAIS,11.11,10.33
SSDL,9.96,10.20
BRACEPORT,13.80,13.80
VR,50.79,50.39
KLL,7.03,7.03
ZENITHDRUG,11.94,11.94
SJLOGISTIC,10.43,10.43
PURVFLEXI,12.57,12.57
SRM,20.04,20.04
AZAD,103.27,103.27
PRATHAM,19.72,19.72
KONSTELEC,13.69,13.69
JUNIPER,83.83,67.07
KRYSTAL,11.35,11.35
VSTL,20.74,20.74
FONEBOX,20.55,20.55
DURLAX,8.97,8.97
INM,29.86,29.86
ITALIANE,14.74,14.74
SUPREMEPWR,25.65,25.65
KCEIL,10.64,10.64
