MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1046.00,      1046.61,      1046.61,      1046.60,      1046.60,                    61749.49,59, ,3,      1198.79,      1029.00
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,      1063.99,      1065.71,      1065.71,      1065.71,      1065.71,                     9591.39,9, ,1,      1087.99,       895.20
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       254.01,       255.00,       255.00,       255.00,       255.00,                    21165.00,83, ,1,       260.90,       207.00
N,N3,0MOFSL27,SEC RE NCD SR IV,      1150.00,      1150.00,      1150.00,      1150.00,      1150.00,                    49450.00,43, ,2,      1150.00,       911.00
N,N3,10ISFL26,SEC RE NCD 10% SR 4,       976.00,       976.55,       976.55,       976.55,       976.55,                    39062.00,40, ,2,      1085.00,       950.40
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       252.50,       252.53,       252.53,       252.52,       252.52,                    20959.62,83, ,2,       269.00,       211.00
N,N3,M&MFIN,UNSECURED NCD,      2267.99,      2267.99,      2268.00,      2253.53,      2268.00,                    33947.60,15, ,3,      2296.80,      1791.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,      1004.00,      1008.50,      1011.90,       991.00,      1010.00,                   102670.13,102, ,7,      1199.00,       945.00
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,      1020.00,      1020.00,      1020.00,      1020.00,      1020.00,                   147900.00,145, ,3,      1084.10,       912.00
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1040.50,      1042.00,      1042.92,      1042.00,      1042.92,                   229424.00,220, ,3,      1130.09,       984.70
N,N5,830PFCL27,8.30% TAX FREE NCD,      1042.22,      1043.75,      1046.00,      1043.75,      1046.00,                    53233.50,51, ,2,      1119.90,      1029.21
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,       990.00,       976.00,       980.00,       976.00,       976.03,                    98580.00,101, ,2,      1029.59,       890.00
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       995.49,       995.00,       998.00,       993.41,       995.25,                  3763509.94,3775, ,52,       999.21,       931.00
N,N5,AEL120924A,SEC RE NCD SR V,      1111.00,      1110.00,      1110.00,      1110.00,      1110.00,                     1110.00,1, ,1,      1296.00,       860.00
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,      1014.99,      1019.98,      1025.00,      1019.98,      1025.00,                   286113.00,280, ,5,      1161.00,       950.00
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,      1030.00,      1029.50,      1039.50,      1029.50,      1039.50,                    45499.00,44, ,6,      1083.00,       973.20
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1190.00,      1191.00,      1191.16,      1191.00,      1191.09,                   845666.80,710, ,5,      1298.00,      1113.50
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1228.88,      1228.50,      1228.50,      1220.00,      1224.41,                   441231.59,361, ,14,      1338.00,      1208.60
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1520.00,      1312.00,      1312.00,      1310.00,      1310.00,                   367000.00,280, ,2,      1520.00,      1210.00
N,N6,893NHB29,NHB 8.93 NCD TR II SR 2 B,      5825.00,      5825.00,      5825.00,      5825.00,      5825.00,                    11650.00,2, ,1,      6340.00,      5445.01
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6633.00,      6634.00,      6700.00,      6602.00,      6630.17,                  3692697.30,557, ,36,      7390.00,      6170.00
N,N6,93MOFSL34,SEC RE NCD 9.30% SR VII,      1060.00,      1089.00,      1090.00,      1059.20,      1059.20,                    65052.00,60, ,3,      1090.00,       999.11
N,N6,956AEL29,SEC RE NCD 9.56% SR VI,      1030.05,      1030.00,      1030.00,      1030.00,      1030.00,                   206000.00,200, ,6,      1133.10,      1000.00
N,N6,SCL01825,SCL 0% 2027 SR III,      1001.00,      1001.00,      1001.00,       975.00,      1001.00,                    75660.00,76, ,4,      1001.00,       911.62
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,      1001.00,      1013.00,      1013.00,      1013.00,      1013.00,                     8104.00,8, ,2,      1200.00,       901.00
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1080.90,      1095.00,      1095.00,      1075.00,      1079.69,                    21671.00,20, ,6,      1182.00,      1030.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1062.00,      1062.00,      1065.00,      1062.00,      1064.06,                   644432.00,606, ,8,      1165.00,      1000.00
N,N7,NIDOZC26,SEC RED NCD SR. VII,      2400.20,      2400.00,      2400.00,      2400.00,      2400.00,                    24000.00,10, ,1,      2442.60,      1920.21
N,N8,1102NFL26,SEC RE NCD 11.02% SR.V,      1032.21,      1032.21,      1032.21,      1032.21,      1032.21,                     2064.42,2, ,1,      1220.00,       981.20
N,N8,739NHAI26,TAX FREE7.39% SR.IB,      1052.50,      1054.90,      1054.90,      1052.57,      1053.00,                   206429.46,196, ,16,      1080.00,      1000.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1160.00,      1160.00,      1160.00,      1160.00,      1160.00,                   116000.00,100, ,1,      1179.99,      1081.20
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1033.00,      1033.00,      1033.00,      1033.00,      1033.00,                     2066.00,2, ,1,      1107.50,      1001.00
N,N8,892PFCL33,8.92% TAX FREE NCD,      1234.61,      1235.00,      1235.00,      1230.00,      1234.13,                  2423918.94,1967, ,69,      1343.00,      1219.99
N,N9,769HUDCO31,7.69% TAX FREETRII SR2B,      1096.00,      1096.00,      1096.00,      1096.00,      1096.00,                     9864.00,9, ,1,      1173.00,      1083.01
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1084.36,      1088.00,      1090.00,      1085.00,      1086.28,                  2295630.90,2113, ,18,      1179.99,      1075.00
N,N9,885SCL26,SEC RED NCD 8.85% SR. VI,       999.55,      1010.00,      1010.00,      1010.00,      1010.00,                     6060.00,6, ,1,      1076.25,       925.21
N,N9,895AEL27,AEL 8.95% 2027 SR I,      1026.00,      1026.00,      1040.01,      1026.00,      1040.01,                   108048.96,104, ,2,      1094.00,       935.10
N,NA,1040NFL26,SEC RE NCD 10.40% SR.II,       994.00,       994.00,       994.00,       990.05,       990.09,                    96235.41,97, ,9,      1040.00,       850.20
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1143.00,      1140.50,      1146.97,      1140.50,      1144.50,                  1958650.22,1714, ,22,      1180.00,      1086.00
N,NA,850IIFL27,SEC RE NCD 8.50% SR.IV,      1048.00,      1059.00,      1059.00,      1059.00,      1059.00,                     3177.00,3, ,1,      1059.00,       935.00
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1149.00,      1149.00,      1149.00,      1140.12,      1143.76,                   253967.12,222, ,5,      1389.90,      1090.00
N,NA,910TCAP28,UNSERENCD9.1%SRIIICIII&IV,      1055.00,      1055.00,      1055.00,      1050.03,      1050.03,                   569110.60,540, ,6,      1157.00,      1032.00
N,NA,9PCHFL31A,SEC RE NCD 9% SR.V,      1035.09,      1039.98,      1039.98,      1031.10,      1034.19,                  1303864.79,1260, ,62,      1089.80,       985.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,      1016.00,      1016.00,      1016.00,      1016.00,      1016.00,                     5080.00,5, ,1,      1064.75,       950.00
N,NA,AEL17725,AEL 0% 2027 SR II,      1016.01,      1016.51,      1016.51,      1016.51,      1016.51,                    22363.22,22, ,2,      1050.00,      1000.00
N,NB,96SFIL24A,SERENCD8.84%SRVICIII&IV,       985.75,       998.95,       998.95,       998.95,       998.95,                    49947.50,50, ,1,      1122.84,       821.00
N,NB,IIFLHFZC27,SEC RE NCD 0% SR.V,      1337.01,      1370.00,      1370.00,      1370.00,      1370.00,                    93160.00,68, ,1,      1370.00,       985.00
N,NB,TCHF30,UN SE RE NCD 8.55% SR.VI,      1105.60,      1107.00,      1107.00,      1105.65,      1105.65,                   331830.00,300, ,3,      1131.25,      1000.00
N,NC,1003IIFL29,SEC RE NCD 10.03% SR V,       993.13,       999.99,       999.99,       997.00,       997.00,                    31951.84,32, ,3,      1098.00,       838.20
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,      1004.02,      1001.00,      1005.00,      1000.00,      1005.00,                   192076.31,192, ,14,      1200.00,       950.01
N,NC,729NHAI26,TAX FREE 7.29% SR. IB,      1024.49,      1024.00,      1024.00,      1024.00,      1024.00,                   184320.00,180, ,8,      1085.00,       983.55
N,NC,885TCAPS29,UNSERENCD8.85%SRIVCIII&IV,      1151.50,      1190.00,      1190.00,      1180.00,      1180.00,                   481900.00,405, ,2,      1190.00,      1005.00
N,NC,915AEL28,AEL 9.15% 2028 SR IV,      1053.99,      1050.00,      1050.00,      1048.00,      1048.00,                   262201.00,250, ,3,      1054.00,       990.60
N,ND,1050IIFL29,SEC RE NCD 10.50% SR VI,      1041.00,      1041.00,      1041.00,      1041.00,      1041.00,                     6246.00,6, ,1,      1066.37,       852.30
N,ND,1119NFL27,SEC RE NCD 11.19% SR.V,      1080.00,      1085.00,      1085.00,      1085.00,      1085.00,                    27125.00,25, ,1,      1244.00,       915.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1091.14,      1091.55,      1091.55,      1091.55,      1091.55,                     2183.10,2, ,2,      1270.00,      1072.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1028.00,      1028.00,      1028.00,      1028.00,      1028.00,                   102800.00,100, ,1,      1123.00,       992.08
N,ND,AEL170725,AEL 0% 2028 SR V,      1030.00,      1055.00,      1055.00,      1025.00,      1030.00,                   351250.00,341, ,11,      1055.00,       995.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,      1058.88,      1055.01,      1058.75,      1055.01,      1058.75,                   420129.27,397, ,3,      1111.00,       934.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1111.00,      1113.80,      1113.90,      1112.00,      1113.80,                  1374509.47,1234, ,13,      1210.00,      1089.11
N,NE,888IRFC29,BOND 8.88% PA TF TII-SIIB,      1171.54,      1171.00,      1171.00,      1166.00,      1166.02,                  1988568.70,1705, ,13,      1354.90,      1105.00
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1334.00,      1334.75,      1334.75,      1334.70,      1334.70,                    86756.25,65, ,4,      1350.05,      1211.00
