Confirmed list of securities to be auctioned in A 2025240 to be held on Dec 18 2025.

Sr No,Symbol,Series,Total Qty
1,AARTECH,EQ,2
2,ACE,EQ,10
3,ADANIENPP,E1,4
4,ADANIPOWER,EQ,1100
5,AGRITECH,EQ,200
6,APARINDS,EQ,35
7,ARVEE,EQ,4849
8,ASAHISONG,EQ,5
9,AURIGROW,EQ,600
10,BAJFINANCE,EQ,1
11,BANDHANBNK,EQ,1
12,BANSWRAS,EQ,22
13,BBOX,EQ,1
14,BDL,EQ,100
15,BLSE,EQ,29
16,BOROLTD,EQ,500
17,BTML,EQ,3744
18,CALSOFT,EQ,100
19,CAMLINFINE,EQ,41
20,CANBK,EQ,1
21,CANFINHOME,EQ,1
22,CENTRALBK,EQ,123
23,CHEMFAB,EQ,83
24,CONFIPET,EQ,78
25,CONTROLPR,EQ,7
26,CORONA,EQ,124
27,CSLFINANCE,EQ,89
28,DCAL,EQ,1
29,DCBBANK,EQ,500
30,EPACKPEB,EQ,1
31,FCL,EQ,500
32,FCSSOFT,EQ,98
33,FINCABLES,EQ,1
34,GANGAFORGE,EQ,13779
35,GMDCLTD,EQ,2700
36,GMRP&UI,EQ,1
37,GOCLCORP,EQ,200
38,GROWW,EQ,14300
39,GULFPETRO,EQ,82
40,HAL,EQ,5
41,HDFCPVTBAN,EQ,41
42,HINDALCO,EQ,40
43,HLVLTD,EQ,23
44,ICICIBANK,EQ,25
45,IDEA,EQ,2
46,IDFCFIRSTB,EQ,159627
47,INDIACEM,EQ,1
48,INDIANCARD,EQ,1
49,INDIANHUME,EQ,500
50,INDOAMIN,EQ,1
51,INDOUS,EQ,25
52,INDRAMEDCO,EQ,50
53,INFY,EQ,26
54,IOB,EQ,300000
55,KAMATHOTEL,EQ,1
56,KAYNES,EQ,17
57,KCPSUGIND,EQ,3
58,KOTHARIPRO,EQ,5
59,LEXUS,EQ,2
60,LIQUIDBEES,EQ,14
61,LLOYDPP,E1,1614
62,LLOYDSENT,EQ,75
63,MAHABANK,EQ,5
64,MAHAPEXLTD,EQ,8
65,MANGLMCEM,EQ,25
66,MASPTOP50,EQ,12
67,MAZDOCK,EQ,10
68,MBLINFRA,EQ,1
69,MCLOUD,EQ,1002
70,MEESHO,EQ,11380534
71,MIRCELECTR,EQ,2
72,NATCOPHARM,EQ,10
73,NATIONALUM,EQ,4
74,NCLIND,EQ,1
75,NEPHROPLUS,EQ,40
76,NUVOCO,EQ,1
77,OLAELEC,EQ,100
78,PARKHOSPS,EQ,184
79,PKTEA,EQ,101
80,PWL,EQ,129
81,RECLTD,EQ,250
82,SAMMAANCAP,EQ,10
83,SBICARD,EQ,20
84,SBIN,EQ,14
85,SENCO,EQ,100
86,SEPC,EQ,5
87,SHAH,EQ,2000
88,SILVERBEES,EQ,200
89,SMLMAH,EQ,1
90,SONACOMS,EQ,86
91,STEELCAS,EQ,15
92,SURAJLTD,EQ,1
93,SUVIDHAA,EQ,787
94,SUZLON,EQ,194
95,TARIL,EQ,1
96,TATACONSUM,EQ,10
97,TATAGOLD,EQ,11438
98,TATATECH,EQ,50
99,TCIFINANCE,EQ,2356
100,TFL,EQ,762
101,TI,EQ,1
102,TVVISION,EQ,23595
103,UNIDT,EQ,4
104,VAISHALI,EQ,385
105,VBL,EQ,1
106,VETO,EQ,1
107,VIDYAWIRES,EQ,250
108,VSSL,EQ,50
109,WAAREEENER,EQ,1
110,WALCHANNAG,EQ,104
111,WIPRO,EQ,1457
112,WOCKPHARMA,EQ,4
113,ZOTA,EQ,10
