SECURITY,NEW,PREVIOUS,NEW_STATUS
SUKHJIT STARCH & CHEM LTD     ,143.61,144.10,L
SULA VINEYARDS LIMITED        ,206.98,210.80,L
SURAJ ESTATE DEVELOPERS L     ,226.00,246.50,L
TATA MOTORS PASS VEH LTD      ,337.70,341.40,L
TENNECO CLEAN AIR INDIA L     ,438.05,440.50,L
TIGER LOGISTICS (INDIA) L     ,35.31,36.00,L
TRACXN TECHNOLOGIES LTD       ,39.05,39.40,L
VAKRANGEE LIMITED             ,7.60,7.62,L
VEDANT FASHIONS LIMITED       ,575.05,579.40,L
VIKRAN ENGINEERING LTD        ,84.20,85.40,L
VISHNU PRAKASH R PUNGLI L     ,66.10,70.98,L
VRAJ IRON AND STEEL LTD       ,121.00,121.01,L
