CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKLTIM30-DEC-2025,6316.0000000,6310.0000000,6324.0000000,6251.5000000,6298.5000000,6298.5000000,-0.2700000,13742.0000000,227250.0000000,1515.0000000,1430056800.0000000
FUTSTKPAGEIND30-DEC-2025,36920.0000000,36990.0000000,36990.0000000,36655.0000000,36875.0000000,36875.0000000,-0.1200000,16547.0000000,12930.0000000,862.0000000,476044425.0000000
FUTSTKPAGEIND27-JAN-2026,36850.0000000,36805.0000000,36940.0000000,36600.0000000,36845.0000000,36845.0000000,-0.0100000,900.0000000,2385.0000000,159.0000000,87626175.0000000
FUTSTKPAGEIND24-FEB-2026,36845.0000000,36635.0000000,36885.0000000,36615.0000000,36880.0000000,36880.0000000,0.0900000,174.0000000,360.0000000,24.0000000,13228725.0000000
FUTSTKPHOENIXLTD30-DEC-2025,1778.1000000,1778.5000000,1803.2000000,1752.3000000,1797.0000000,1797.0000000,1.0600000,9512.0000000,1685950.0000000,4817.0000000,3009404930.0000000
FUTSTKPHOENIXLTD24-FEB-2026,1799.0000000,1798.3000000,1822.5000000,1794.9000000,1820.0000000,1808.6000000,0.5300000,17.0000000,6650.0000000,19.0000000,11988620.0000000
FUTSTKPHOENIXLTD27-JAN-2026,1786.7000000,1772.4000000,1812.0000000,1762.8000000,1805.9000000,1805.9000000,1.0700000,177.0000000,420700.0000000,1202.0000000,755045095.0000000
FUTSTKADANIGREEN27-JAN-2026,1051.0000000,1051.0000000,1066.0000000,1048.4000000,1056.7000000,1056.7000000,0.5400000,1584.0000000,184200.0000000,307.0000000,195027360.0000000
FUTSTKADANIGREEN30-DEC-2025,1045.0000000,1047.0000000,1061.0000000,1041.2000000,1050.4000000,1050.4000000,0.5100000,40298.0000000,2596800.0000000,4328.0000000,2732647020.0000000
FUTSTKADANIGREEN24-FEB-2026,1055.5000000,1056.0000000,1070.6000000,1056.0000000,1062.6000000,1058.8000000,0.3100000,335.0000000,30000.0000000,50.0000000,31942620.0000000
FUTSTKAPLAPOLLO30-DEC-2025,1746.6000000,1734.2000000,1753.0000000,1730.7000000,1747.3000000,1747.3000000,0.0400000,21373.0000000,611100.0000000,1746.0000000,1063565790.0000000
FUTSTKAPLAPOLLO27-JAN-2026,1758.2000000,1748.2000000,1762.4000000,1740.1000000,1758.0000000,1758.0000000,-0.0100000,575.0000000,126700.0000000,362.0000000,221545030.0000000
FUTSTKAPLAPOLLO24-FEB-2026,1757.4000000,1763.4000000,1763.4000000,1755.0000000,1761.1000000,1757.8000000,0.0200000,117.0000000,1400.0000000,4.0000000,2463720.0000000
FUTSTKAPOLLOHOSP27-JAN-2026,7168.0000000,7105.5000000,7157.5000000,7067.0000000,7149.0000000,7149.0000000,-0.2600000,1220.0000000,66250.0000000,530.0000000,471417812.5000000
FUTSTKAPOLLOHOSP30-DEC-2025,7125.0000000,7119.0000000,7119.0000000,7036.0000000,7106.0000000,7106.0000000,-0.2600000,25357.0000000,302375.0000000,2419.0000000,2140177875.0000000
FUTSTKAPOLLOHOSP24-FEB-2026,7198.5000000,7135.0000000,7188.5000000,7128.5000000,7184.0000000,7163.0000000,-0.4900000,101.0000000,1875.0000000,15.0000000,13425187.5000000
FUTSTKASHOKLEY30-DEC-2025,163.5800000,164.4000000,166.1000000,162.0500000,165.7200000,165.7200000,1.3000000,28055.0000000,21705000.0000000,4341.0000000,3575168350.0000000
FUTSTKASHOKLEY27-JAN-2026,162.9500000,163.0000000,165.3000000,161.4600000,164.9000000,164.9000000,1.1900000,2430.0000000,5070000.0000000,1014.0000000,831053450.0000000
FUTSTKASHOKLEY24-FEB-2026,162.3300000,163.0000000,164.5000000,161.4100000,164.1300000,164.1300000,1.1000000,133.0000000,340000.0000000,68.0000000,55539150.0000000
FUTSTKBHARATFORG27-JAN-2026,1438.8000000,1431.6000000,1431.9000000,1406.5000000,1420.9000000,1420.9000000,-1.2400000,858.0000000,180000.0000000,360.0000000,255374800.0000000
FUTSTKBHARATFORG30-DEC-2025,1434.0000000,1428.0000000,1429.0000000,1403.1000000,1417.8000000,1417.8000000,-1.1200000,14756.0000000,1372000.0000000,2744.0000000,1939346450.0000000
FUTSTKBHARATFORG24-FEB-2026,1440.0000000,1435.0000000,1435.0000000,1410.0000000,1416.2000000,1429.2000000,-0.7500000,49.0000000,7000.0000000,14.0000000,9904550.0000000
FUTSTKCDSL24-FEB-2026,1550.1000000,1534.9000000,1542.9000000,1527.0000000,1537.8000000,1537.8000000,-0.7900000,233.0000000,14725.0000000,31.0000000,22587865.0000000
FUTSTKCDSL27-JAN-2026,1542.0000000,1525.0000000,1534.0000000,1517.7000000,1530.8000000,1530.8000000,-0.7200000,1942.0000000,139175.0000000,293.0000000,212397200.0000000
FUTSTKCDSL30-DEC-2025,1533.7000000,1521.0000000,1527.1000000,1509.7000000,1523.7000000,1523.7000000,-0.6500000,18208.0000000,838850.0000000,1766.0000000,1274392082.5000000
FUTSTKDELHIVERY27-JAN-2026,416.5000000,415.0500000,419.2500000,410.7000000,411.3500000,411.3500000,-1.2300000,322.0000000,190900.0000000,92.0000000,78984045.0000000
FUTSTKDELHIVERY30-DEC-2025,414.2000000,416.0000000,417.0000000,408.4500000,409.1500000,409.1500000,-1.2100000,7125.0000000,1786575.0000000,861.0000000,735722893.7500000
FUTSTKDELHIVERY24-FEB-2026,416.9000000,415.7000000,420.3000000,414.2000000,414.2000000,414.2000000,-0.6400000,44.0000000,10375.0000000,5.0000000,4334156.2500000
FUTSTKGLENMARK27-JAN-2026,1994.0000000,1994.0000000,2012.9000000,1971.1000000,2006.2000000,2006.2000000,0.6100000,521.0000000,78750.0000000,210.0000000,156810075.0000000
FUTSTKGLENMARK30-DEC-2025,1983.2000000,1981.0000000,1998.7000000,1957.1000000,1992.6000000,1992.6000000,0.4700000,37696.0000000,1572750.0000000,4194.0000000,3114376500.0000000
FUTSTKGLENMARK24-FEB-2026,2007.1000000,2001.0000000,2019.0000000,1983.0000000,2013.1000000,2013.1000000,0.2900000,52.0000000,7875.0000000,21.0000000,15761512.5000000
FUTSTKHDFCAMC24-FEB-2026,2704.7000000,2690.0000000,2690.0000000,2645.0000000,2649.4000000,2649.4000000,-2.0400000,56.0000000,6900.0000000,23.0000000,18366960.0000000
FUTSTKHDFCAMC27-JAN-2026,2703.2000000,2683.8000000,2693.2000000,2623.9000000,2633.1000000,2633.1000000,-2.5900000,859.0000000,173100.0000000,577.0000000,457398210.0000000
FUTSTKHDFCAMC30-DEC-2025,2687.5000000,2667.0000000,2681.2000000,2608.0000000,2617.9000000,2617.9000000,-2.5800000,13977.0000000,818700.0000000,2729.0000000,2154963900.0000000
FUTSTKLUPIN24-FEB-2026,2141.8000000,2142.0000000,2142.0000000,2111.2000000,2122.0000000,2122.0000000,-0.9200000,44.0000000,35700.0000000,84.0000000,75651105.0000000
FUTSTKLUPIN30-DEC-2025,2118.0000000,2117.7000000,2117.7000000,2090.0000000,2096.9000000,2096.9000000,-0.9900000,17195.0000000,714000.0000000,1680.0000000,1497751892.5000000
FUTSTKLUPIN27-JAN-2026,2130.6000000,2125.8000000,2129.2000000,2100.6000000,2109.3000000,2109.3000000,-0.9900000,470.0000000,86700.0000000,204.0000000,182949027.5000000
FUTSTKMFSL30-DEC-2025,1727.6000000,1707.4000000,1717.7000000,1684.4000000,1705.3000000,1705.3000000,-1.2900000,19457.0000000,618400.0000000,1546.0000000,1051388920.0000000
FUTSTKMFSL24-FEB-2026,1747.0000000,1717.5000000,1717.5000000,1706.4000000,1714.7000000,1716.6000000,-1.7400000,22.0000000,4400.0000000,11.0000000,7538680.0000000
FUTSTKMFSL27-JAN-2026,1737.9000000,1723.0000000,1724.9000000,1695.6000000,1714.8000000,1714.8000000,-1.3200000,202.0000000,56400.0000000,141.0000000,96239280.0000000
FUTSTKPOLICYBZR30-DEC-2025,1931.1000000,1907.0000000,1936.8000000,1879.0000000,1933.4000000,1933.4000000,0.1100000,17176.0000000,1127350.0000000,3221.0000000,2153221700.0000000
FUTSTKPOLICYBZR27-JAN-2026,1937.0000000,1907.8000000,1942.1000000,1895.0000000,1939.9000000,1939.9000000,0.1400000,1355.0000000,44450.0000000,127.0000000,85234765.0000000
FUTSTKPOLICYBZR24-FEB-2026,1948.0000000,1923.0000000,1950.0000000,1914.7000000,1950.0000000,1950.0000000,0.1000000,28.0000000,3500.0000000,10.0000000,6760880.0000000
FUTSTKRECLTD24-FEB-2026,346.7000000,349.7500000,349.7500000,339.1000000,344.7500000,344.7500000,-0.5600000,941.0000000,302400.0000000,216.0000000,103428150.0000000
FUTSTKRECLTD30-DEC-2025,345.6500000,343.0000000,343.9000000,337.3000000,343.1500000,343.1500000,-0.7200000,71899.0000000,8288775.0000000,6501.0000000,2824219286.2500000
FUTSTKRECLTD27-JAN-2026,347.4500000,349.9500000,349.9500000,339.4000000,345.0000000,345.0000000,-0.7000000,5742.0000000,2469600.0000000,1764.0000000,845714800.0000000
FUTSTKSBICARD27-JAN-2026,874.8500000,870.9500000,872.0000000,862.1000000,871.2000000,871.2000000,-0.4100000,1278.0000000,366400.0000000,458.0000000,317596800.0000000
FUTSTKSBICARD24-FEB-2026,884.4000000,868.0000000,869.4000000,862.1000000,869.1500000,869.1500000,-1.7200000,67.0000000,40800.0000000,51.0000000,35359280.0000000
FUTSTKSBICARD30-DEC-2025,876.1000000,869.0000000,873.3000000,865.0000000,871.7500000,871.7500000,-0.4900000,18944.0000000,1400000.0000000,1750.0000000,1216220600.0000000
FUTSTKSHRIRAMFIN24-FEB-2026,858.8000000,867.3500000,881.5500000,860.7000000,866.4000000,866.4000000,0.8800000,265.0000000,82500.0000000,100.0000000,71926346.2500000
FUTSTKSHRIRAMFIN30-DEC-2025,852.1500000,855.0000000,874.4000000,850.0000000,859.4000000,859.4000000,0.8500000,77652.0000000,12912900.0000000,15652.0000000,11159348516.2500000
FUTSTKSHRIRAMFIN27-JAN-2026,857.5500000,858.2000000,879.9500000,855.1000000,863.8500000,863.8500000,0.7300000,3117.0000000,2102925.0000000,2549.0000000,1826194631.2500000
