Date, ISIN, Scrip Name, NSE Symbol, MWPL, NCL Open Interest ,NCL FutEq OI
15-DEC-2025,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,54776702,20697500,12019432.27180625
15-DEC-2025,INE07Y701011,HITACHI ENERGY INDIA LTD,POWERINDIA,1917916,990250,294638.497678
15-DEC-2025,INE584A01023,NMDC LTD.,NMDC,517037525,500310000,285133765.055895
15-DEC-2025,INE522F01014,COAL INDIA LTD,COALINDIA,227199238,92909700,54196011.019557
15-DEC-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,52357280,24808750,11983214.302965
15-DEC-2025,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,338654719,149495000,69400959.45605
15-DEC-2025,INE136B01020,CYIENT LIMITED,CYIENT,12039544,5313350,3218270.73874775
15-DEC-2025,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,176136372,105109200,73789329.364086
15-DEC-2025,INE205A01025,VEDANTA LIMITED,VEDL,255091106,183429600,107372315.95337
15-DEC-2025,INE066A01021,EICHER MOTORS LTD,EICHERMOT,20353850,7774625,3348110.4489685
15-DEC-2025,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,22585180,21148500,12380698.3436325
15-DEC-2025,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,12698950,4299735.821385
15-DEC-2025,INE018E01016,SBI CARDS & PAY SER LTD,SBICARD,39583537,25024800,14820038.509232
15-DEC-2025,INE457L01029,PG ELECTROPLAST LTD,PGEL,23897684,24119400,7998135.701529
15-DEC-2025,INE615H01020,TITAGARH RAIL SYSTEMS LTD,TITAGARH,12028036,10291375,5116752.44903075
15-DEC-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,13082978,4366375,2792010.047065
15-DEC-2025,INE195A01028,SUPREME INDUSTRIES LTD,SUPREMEIND,7242074,4106200,1892589.39766925
15-DEC-2025,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,34712157,10523200,7914604.508656
15-DEC-2025,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,111956321,40508000,25745886.34747
15-DEC-2025,INE010B01027,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,32617803,17855100,10369946.245851
15-DEC-2025,INE733E01010,NTPC LTD,NTPC,572782298,147795000,93968140.868385
15-DEC-2025,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,145993539,28122150,17967803.9110605
15-DEC-2025,INE417T01026,PB FINTECH LIMITED,POLICYBZR,51720057,10637900,6390781.1940315
15-DEC-2025,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,446457456,260589150,148762152.672487
15-DEC-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,409181558,270495000,138627317.5347
15-DEC-2025,INE211B01039,THE PHOENIX MILLS LTD,PHOENIXLTD,28283155,5358150,3086319.7151325
15-DEC-2025,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,16915220,3912300,2432577.9121875
15-DEC-2025,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,955549,422055,242128.4965362
15-DEC-2025,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,488832949,133471200,78381036.005842
15-DEC-2025,INE134E01011,POWER FIN CORP LTD.,PFC,203602113,157991600,78493918.783319
15-DEC-2025,INE548A01028,HFCL LIMITED,HFCL,147979599,213856200,92616028.88025
15-DEC-2025,INE04I401011,KPIT TECHNOLOGIES LIMITED,KPITTECH,24568295,7134575,3350004.099758
15-DEC-2025,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,8350688,3077375,1931276.85784375
15-DEC-2025,INE044A01036,SUN PHARMACEUTICAL IND L,SUNPHARMA,109220043,23464700,15742525.9713225
15-DEC-2025,INE813H01021,TORRENT POWER LTD,TORNTPOWER,24646022,4623850,2668000.7739125
15-DEC-2025,INE002A01018,RELIANCE INDUSTRIES LTD,RELIANCE,662701060,173878000,105717793.3218
15-DEC-2025,INE070A01015,SHREE CEMENT LIMITED,SHREECEM,1548028,445175,291819.29124325
15-DEC-2025,INE160A01022,PUNJAB NATIONAL BANK,PNB,447910372,506912000,228236608.49984
15-DEC-2025,INE040H01021,SUZLON ENERGY LIMITED,SUZLON,1813533848,546243475,248751116.31685025
15-DEC-2025,INE142M01025,TATA TECHNOLOGIES LIMITED,TATATECH,27246569,21791200,10189290.438696
15-DEC-2025,INE376G01013,BIOCON LIMITED.,BIOCON,90981174,95095000,43688683.541125
15-DEC-2025,INE117A01022,ABB INDIA LIMITED,ABB,7946564,4033250,2301233.58430875
15-DEC-2025,INE271C01023,DLF LIMITED,DLF,83667734,84211050,47989710.114951
