target_date,as_of,mode,ticker,ret_oc,exp_oh,dd_ol,buy_win,sell_win,opt_style,atr_points,atr_pct,buy_thr,sell_thr,buy_soft,sell_soft,direction_score,strength
2025-12-12,2025-12-12,aggressive,NIFTY,0.0029166924238643557,0.0033267770924733783,-0.001261012236060167,0,0,both,206.0107421875,0.007932276844527448,0.0035695245800373516,0.0035695245800373516,0.41421975490062685,0.15700967177190386,0.25721008312872295,0.41421975490062685
2025-12-12,2025-12-12,aggressive,BANKNIFTY,-0.00019445268637997357,0.0024275349738642964,-0.0029738043231231533,0,0,both,521.3286830357143,0.008776355530343751,0.003949359988654688,0.003949359988654688,0.27318462635159646,0.33465949269597434,-0.061474866344377876,0.33465949269597434
2025-12-12,2025-12-12,aggressive,ADANIENT.NS,0.0020634637013786116,0.008385695247709433,-0.0032927954343333304,0,0,both,63.88572474888393,0.028048349702960117,0.012621757366332052,0.012621757366332052,0.2952818341754984,0.11594777137652826,0.17933406279897016,0.2952818341754984
2025-12-12,2025-12-12,aggressive,ADANIPORTS.NS,0.007142889436590609,0.010185201332051919,-0.0016534391534391533,1,0,both,26.864292689732142,0.01776738934506094,0.007995325205277423,0.007995325205277423,0.5661753626469983,0.09191143913544648,0.47426392351155183,0.5661753626469983
2025-12-12,2025-12-12,aggressive,APOLLOHOSP.NS,0.01225944404846757,0.01639344262295082,-0.00270848182466144,1,0,both,96.21428571428571,0.01371550758578556,0.006171978413603503,0.006171978413603503,1.0,0.19503789857662662,0.8049621014233734,1.0
2025-12-12,2025-12-12,aggressive,ASIANPAINT.NS,-0.010804991474731664,0.0007155635062611807,-0.017531305903398926,0,1,both,53.092843191964285,0.01899565051590851,0.008548042732158829,0.008548042732158829,0.0372048005572675,0.9115176136530536,-0.8743128130957861,0.9115176136530536
2025-12-12,2025-12-12,aggressive,AXISBANK.NS,0.006338009065678795,0.010172143974960876,-7.822815801056338e-05,1,0,both,18.485726492745535,0.014464574720458164,0.0065090586242061745,0.0065090586242061745,0.6945632446676191,0.005341489796638185,0.6892217548709809,0.6945632446676191
2025-12-12,2025-12-12,aggressive,BAJAJ-AUTO.NS,-0.005515719801434087,0.002702702702702703,-0.011583011583011582,0,1,both,146.10714285714286,0.016117721219762036,0.007252974548892917,0.007252974548892917,0.16561497535994396,0.7097784658283313,-0.5441634904683873,0.7097784658283313
2025-12-12,2025-12-12,aggressive,BAJAJFINSV.NS,0.0035167398865060145,0.008285938321268026,-0.003179544031698057,0,0,both,38.73567417689732,0.018660599896779657,0.008397269953550847,0.008397269953550847,0.43855196680198066,0.16828453635185794,0.2702674304501227,0.43855196680198066
2025-12-12,2025-12-12,aggressive,BAJFINANCE.NS,0.01729998779296875,0.02079998779296875,0.0,1,0,both,20.992871965680802,0.020992871965680802,0.009446792384556361,0.009446792384556361,0.9785796747486537,0.0,0.9785796747486537,0.9785796747486537
2025-12-12,2025-12-12,aggressive,BHARTIARTL.NS,0.014758074738825075,0.016560322625678726,-0.0012176707812999064,1,0,both,33.457101004464285,0.016295893728054362,0.007333152177624463,0.007333152177624463,1.0,0.07380005225616144,0.9261999477438385,1.0
2025-12-12,2025-12-12,aggressive,BPCL.NS,0.03560280224955674,0.04014182665669326,0.0,1,0,both,8.232145036969866,0.023353602941758485,0.010509121323791318,0.010509121323791318,1.0,0.0,1.0,1.0
2025-12-12,2025-12-12,aggressive,BRITANNIA.NS,0.011542407660738715,0.013252393980848154,-0.0030779753761969904,1,0,both,95.92857142857143,0.016403654485049834,0.0073816445182724255,0.0073816445182724255,0.7979187924583804,0.18532307437743029,0.61259571808095,0.7979187924583804
2025-12-12,2025-12-12,aggressive,CIPLA.NS,-0.00171051025390625,0.0030920731393914475,-0.006447400544819079,0,1,both,19.407156808035715,0.012767866321076128,0.005745539844484258,0.005745539844484258,0.23918635425315365,0.49873666022938246,-0.2595503059762288,0.49873666022938246
2025-12-12,2025-12-12,aggressive,COALINDIA.NS,-0.0031204829737224242,0.0031205623329191314,-0.005980985219032176,0,1,both,4.935716901506696,0.012835046309152276,0.005775770839118524,0.005775770839118524,0.24012666552057466,0.4602356511271968,-0.22010898560662212,0.4602356511271968
2025-12-12,2025-12-12,aggressive,DIVISLAB.NS,-0.0005443234836702955,0.013841368584758942,-0.003110419906687403,0,0,both,121.28571428571429,0.01886247500555432,0.008488113752499445,0.008488113752499445,0.7247451613372304,0.16286408119937762,0.5618810801378529,0.7247451613372304
2025-12-12,2025-12-12,aggressive,DRREDDY.NS,0.0033725873161764707,0.0042353132659313725,-0.006039177389705883,0,0,both,18.664306640625,0.014638671875,0.00658740234375,0.00658740234375,0.2857517050421252,0.4074563385999769,-0.12170463355785166,0.4074563385999769
2025-12-12,2025-12-12,aggressive,EICHERMOT.NS,-0.00082930200414651,0.005459571527297858,-0.006496199032480996,0,0,both,128.78571428571428,0.017800375160430447,0.008010168822193702,0.008010168822193702,0.3029244811459639,0.3604417876926658,-0.05751730654670195,0.3604417876926658
2025-12-12,2025-12-12,aggressive,GRASIM.NS,0.008066791461220682,0.011087402690787136,-0.006183334166222459,1,0,both,40.657156808035715,0.014448172284305514,0.006501677527937481,0.006501677527937481,0.7579174002500776,0.42268299319866215,0.33523440705141544,0.7579174002500776
2025-12-12,2025-12-12,aggressive,HCLTECH.NS,-0.0025039186723838517,0.00029808035812724904,-0.010373211017533253,0,1,both,24.950003487723215,0.014874211949793296,0.006693395377406984,0.006693395377406984,0.019792668996492027,0.6887858475168382,-0.6689931785203462,0.6887858475168382
