,16-Dec-2025
The Nifty witnessed an intraday movement of about 146.4 points.The closing index was 0.64 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 83984.54
, Traded Quantity (in Lakhs), 39374.81
, Number of Trades, 28265852
, Total Market Capitalisation (Rs. Crores), 46532655.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty MNC,     30271.40,     30255.15,     30373.65,     30157.55,     30293.95,22.55
,Nifty Pharma,     22719.40,     22700.75,     22712.20,     22558.35,     22591.50,-127.90
,Nifty PSE,      9567.30,      9554.25,      9559.40,      9450.65,      9482.75,-84.55
,Nifty PSU Bank,      8285.75,      8276.30,      8289.15,      8191.65,      8212.00,-73.75
,Nifty Serv Sector,     33757.90,     33672.30,     33704.80,     33487.40,     33521.15,-236.75
,Nifty Auto,     27568.10,     27500.30,     27605.30,     27447.80,     27542.20,-25.90
,Nifty Metal,     10553.15,     10527.10,     10532.30,     10380.70,     10464.35,-88.80
,Nifty Media,      1435.15,      1437.75,      1438.75,      1425.75,      1435.60,0.45
,NIFTY SMLCAP 100,     17425.85,     17399.60,     17400.60,     17240.55,     17265.15,-160.70
,Nifty 200,     14461.90,     14429.90,     14438.10,     14350.85,     14368.35,-93.55
,Nifty Div Opps 50,      6268.10,      6256.90,      6261.70,      6215.90,      6229.40,-38.70
,Nifty Commodities,      9277.40,      9256.00,      9259.90,      9157.80,      9195.85,-81.55
,Nifty Consumption,     12205.05,     12194.50,     12248.40,     12163.45,     12192.95,-12.10
,Nifty Fin Service,     27603.15,     27516.25,     27538.00,     27352.75,     27385.55,-217.60
,Nifty50 Div Point,       249.14,       249.14,       249.14,       249.14,       249.14,0.00
,Nifty100 Liq 15,      7462.80,      7448.55,      7459.00,      7409.60,      7418.80,-44.00
,Nifty CPSE,      6223.30,      6208.35,      6213.50,      6146.05,      6165.45,-57.85
,Nifty GrowSect 15,     12399.80,     12362.20,     12392.60,     12327.60,     12360.25,-39.55
,Nifty50 PR 2x Lev,     14622.65,     14535.45,     14556.25,     14404.35,     14432.75,-189.90
,Nifty50 PR 1x Inv,       200.40,       201.00,       201.90,       200.85,       201.70,1.30
,Nifty50 TR 2x Lev,     21880.75,     21750.20,     21781.35,     21554.05,     21596.55,-284.20
,Nifty50 TR 1x Inv,       163.95,       164.45,       165.20,       164.35,       165.05,1.10
,Nifty50 Value 20,     13228.95,     13197.90,     13203.50,     13095.15,     13110.40,-118.55
,Nifty Mid Liq 15,     16344.10,     16329.00,     16329.10,     16110.05,     16160.55,-183.55
,Nifty Pvt Bank,     28818.25,     28724.55,     28739.45,     28436.35,     28465.05,-353.20
,NIFTY100 Qualty30,      5825.45,      5819.25,      5830.30,      5795.30,      5803.50,-21.95
,Nifty GS 8 13Yr,      2962.63,      2963.16,      2967.12,      2962.28,      2966.02,3.39
,Nifty GS 10Yr,      2608.01,      2608.48,      2611.99,      2607.12,      2610.63,2.62
,Nifty GS 10Yr Cln,       892.53,       892.53,       893.75,       892.06,       893.28,0.75
,Nifty GS 4 8Yr,      3213.53,      3214.11,      3218.63,      3213.49,      3214.88,1.35
,Nifty GS 11 15Yr,      3226.21,      3226.82,      3230.01,      3225.01,      3230.01,3.80
,Nifty GS 15YrPlus,      3459.95,      3460.64,      3466.19,      3459.45,      3464.62,4.67
,Nifty GS Compsite,      3041.62,      3042.18,      3046.54,      3041.46,      3045.01,3.39
,NIFTY HEALTHCARE,     14711.20,     14709.70,     14714.75,     14603.75,     14625.30,-85.90
,NIFTY CONSR DURBL,     37021.75,     36902.05,     37308.35,     36761.80,     37223.65,201.90
,NIFTY OIL AND GAS,     11948.65,     11911.85,     11932.50,     11817.85,     11856.80,-91.85
,NIFTY500 MULTICAP,     16362.15,     16334.00,     16339.15,     16228.90,     16249.70,-112.45
,NIFTY LARGEMID250,     16759.65,     16730.90,     16736.30,     16617.95,     16644.25,-115.40
,NIFTY MID SELECT,     13862.60,     13852.35,     13852.35,     13704.30,     13748.00,-114.60
,NIFTY TOTAL MKT,     13313.15,     13286.55,     13292.30,     13211.05,     13226.30,-86.85
,NIFTY MICROCAP250,     22475.75,     22455.65,     22459.50,     22308.80,     22335.35,-140.40
,NIFTY IND DIGITAL,      9589.70,      9567.10,      9576.10,      9441.85,      9457.15,-132.55
,Nifty Tata 25 Cap,     14948.30,     14916.30,     14954.35,     14854.50,     14910.60,-37.70
,Nifty MidSml Hlth,     43329.25,     43329.75,     43346.10,     43027.95,     43092.35,-236.90
,Nifty Multi Mfg,     15765.50,     15730.80,     15739.60,     15656.60,     15680.10,-85.40
,Nifty Multi Infra,     14332.00,     14313.45,     14326.50,     14232.95,     14258.30,-73.70
,BHARATBOND-APR30,      1563.48,      1563.79,      1563.83,      1563.18,      1563.18,-0.30
,BHARATBOND-APR31,      1424.47,      1424.73,      1425.57,      1424.73,      1424.99,0.52
,BHARATBOND-APR32,      1295.02,      1295.26,      1295.26,      1295.26,      1295.26,0.24
,BHARATBOND-APR33,      1255.42,      1255.66,      1255.66,      1255.66,      1255.66,0.24
,Nifty Ind Defence,      7559.60,      7554.60,      7555.15,      7436.20,      7462.60,-97.00
,Nifty Ind Tourism,      8513.90,      8515.30,      8524.50,      8430.55,      8448.50,-65.40
,Nifty Capital Mkt,      4598.15,      4593.85,      4593.85,      4534.60,      4556.05,-42.10
,Nifty500Momentm50,     53212.00,     53206.45,     53211.25,     52677.65,     52794.15,-417.85
,NiftyMS400 MQ 100,     47940.70,     47872.50,     47876.55,     47410.20,     47533.85,-406.85
,NiftySml250MQ 100,     43991.15,     43919.50,     43922.35,     43540.30,     43606.85,-384.30
,Nifty Top 10 EW,     10043.70,     10009.95,     10024.40,      9963.75,      9971.35,-72.35
,Nifty AQL 30,     22860.05,     22852.55,     22887.55,     22705.65,     22741.65,-118.40
,Nifty AQLV 30,     21389.75,     21370.15,     21398.45,     21284.95,     21308.05,-81.70
,Nifty EV,      3106.75,      3100.80,      3104.95,      3084.50,      3091.60,-15.15
,Nifty HighBeta 50,      3859.00,      3852.55,      3853.30,      3807.05,      3820.25,-38.75
,Nifty New Consump,     11830.50,     11821.00,     11828.10,     11739.50,     11756.95,-73.55
,Nifty Corp MAATR,     38540.55,     38403.85,     38464.80,     38260.25,     38303.25,-237.30
,Nifty Low Vol 50,     25632.05,     25611.40,     25670.85,     25489.35,     25521.30,-110.75
,Nifty Mobility,     22930.65,     22902.40,     22919.60,     22730.05,     22765.40,-165.25
,Nifty Qlty LV 30,     17671.25,     17652.60,     17701.95,     17591.95,     17613.05,-58.20
,Nifty Sml250 Q50,     25594.90,     25553.65,     25557.25,     25384.45,     25419.75,-175.15
,Nifty Top 15 EW,     11018.20,     10982.50,     10997.20,     10936.55,     10946.10,-72.10
,Nifty100 Alpha 30,     18057.00,     18032.15,     18051.30,     17893.00,     17916.30,-140.70
,Nifty100 Enh ESG,      5209.55,      5199.35,      5203.80,      5164.85,      5171.35,-38.20
,Nifty200 Value 30,     14121.55,     14109.50,     14118.80,     13949.90,     14026.30,-95.25
,Nifty500 EW,     14095.60,     14083.15,     14083.80,     13978.30,     13998.35,-97.25
,Nifty Multi MQ 50,     41541.30,     41490.55,     41503.30,     41130.10,     41236.00,-305.30
,Nifty500 Value 50,     15005.20,     14989.05,     14999.85,     14820.00,     14898.40,-106.80
,Nifty Top 20 EW,      9692.90,      9663.25,      9674.40,      9609.80,      9617.00,-75.90
,Nifty CoreHousing,     15630.15,     15619.45,     15619.45,     15468.35,     15508.55,-121.60
,Nifty FinSerExBnk,     31731.45,     31693.30,     31704.15,     31227.75,     31303.00,-428.45
,Nifty Housing,     11723.20,     11700.80,     11704.40,     11594.95,     11615.90,-107.30
,Nifty IPO,      2029.75,      2027.95,      2028.30,      2011.80,      2016.20,-13.55
,Nifty MS Fin Serv,     20585.00,     20564.70,     20565.35,     20255.55,     20305.55,-279.45
,Nifty MS Ind Cons,     19107.55,     19097.05,     19102.65,     18940.95,     18982.30,-125.25
,Nifty MS IT Telcm,     10339.65,     10319.85,     10331.50,     10238.40,     10284.90,-54.75
,Nifty NonCyc Cons,     15959.60,     15951.85,     16023.00,     15896.65,     15920.55,-39.05
,Nifty Rural,     15971.50,     15953.10,     16007.45,     15905.85,     15930.35,-41.15
,Nifty Shariah 25,      8460.40,      8448.30,      8457.90,      8399.95,      8415.10,-45.30
,Nifty Trans Logis,     25675.70,     25636.80,     25663.90,     25434.55,     25472.70,-203.00
,Nifty50 Shariah,      4798.80,      4788.30,      4790.15,      4757.05,      4763.05,-35.75
,Nifty500 LMS Eql,     17937.40,     17911.20,     17914.90,     17783.90,     17809.10,-128.30
,Nifty500 Shariah,      7142.10,      7132.25,      7133.65,      7089.50,      7100.25,-41.85
,Nifty500 Qlty50,     18967.55,     18951.30,     18954.30,     18817.30,     18860.35,-107.20
,Nifty500 LowVol50,     23038.35,     23030.30,     23061.90,     22890.30,     22931.20,-107.15
,Nifty500 MQVLv50,     31662.90,     31657.65,     31659.60,     31371.30,     31433.40,-229.50
,Nifty500 Flexicap,     10712.40,     10691.10,     10698.80,     10618.95,     10639.10,-73.30
,Nifty TMMQ 50,     41827.80,     41795.55,     41811.30,     41444.85,     41558.80,-269.00
,Nifty FPI 150,      1610.20,      1606.65,      1607.55,      1597.80,      1600.30,-9.90
,Nifty SME Emerge,     14510.10,     14514.40,     14524.05,     14409.25,     14416.35,-93.75
,Nifty Internet,      1437.30,      1433.75,      1434.90,      1395.15,      1398.90,-38.40
,Nifty Chemicals,     28684.75,     28673.20,     28705.50,     28391.75,     28461.05,-223.70
,Nifty Waves,      2038.90,      2044.10,      2051.35,      2031.45,      2047.80,8.90
,Nifty InfraLog,     11253.30,     11243.85,     11249.05,     11152.00,     11175.35,-77.95
,Nifty500 Health,     18782.30,     18782.85,     18788.95,     18642.50,     18666.80,-115.50
,India VIX,10.2500,10.2500,10.4275,9.6625,10.0625,-0.1875

,ADVANCES,1131
,DECLINES,2175
,UNCHANGED,86

,Total securities that have hit their price bands today,134

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,MEESHO,EQ,       170.76,       180.29,5.58,3179.01
,SHAKTIPUMP,EQ,       752.20,       780.45,3.76,2137.52
,HDFCBANK,EQ,       996.10,       994.30,-0.18,1994.37
,VEDL,EQ,       549.40,       569.50,3.66,1907.51
,RELIANCE,EQ,      1556.20,      1542.30,-0.89,1811.75
,ICICIBANK,EQ,      1365.20,      1366.00,0.06,1685.49
,ETERNAL,EQ,       298.45,       284.45,-4.69,1682.36
,AXISBANK,EQ,      1284.80,      1219.60,-5.07,1422.63
,BSE,EQ,      2648.90,      2605.90,-1.62,1363.48
,BHARTIARTL,EQ,      2069.70,      2102.00,1.56,1207.57
,INDIGO,EQ,      4965.50,      4974.00,0.17,1189.90
,EPACK,EQ,       259.60,       300.80,15.87,1039.80
,SWIGGY,EQ,       413.40,       396.25,-4.15,980.36
,KAYNES,EQ,      4197.50,      4186.50,-0.26,975.74
,LT,EQ,      4092.30,      4063.80,-0.70,893.64
,INFY,EQ,      1606.80,      1592.90,-0.87,875.35
,SILVERBEES,EQ,       184.87,       184.69,-0.10,833.41
,IDEA,EQ,        11.35,        11.25,-0.88,804.72
,REFEX,EQ,       299.40,       305.70,2.10,759.09
,PRAJIND,EQ,       334.35,       345.20,3.25,735.39
,TTML,EQ,        48.69,        51.36,5.48,709.47
,TITAN,EQ,      3866.20,      3929.50,1.64,609.47
,KIRLOSENG,EQ,      1136.10,      1227.10,8.01,580.98
,TCS,EQ,      3230.20,      3205.10,-0.78,555.89
,POLICYBZR,EQ,      1926.40,      1820.50,-5.50,553.88

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TITAN,EQ,      3929.50,      3866.20,1.64
,BHARTIARTL,EQ,      2102.00,      2069.70,1.56
,TATACONSUM,EQ,      1169.90,      1157.40,1.08
,BAJAJ-AUTO,EQ,      9008.00,      8940.00,0.76
,ASIANPAINT,EQ,      2790.90,      2780.20,0.38

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,      1219.60,      1284.80,-5.07
,ETERNAL,EQ,       284.45,       298.45,-4.69
,JSWSTEEL,EQ,      1082.60,      1114.80,-2.89
,HCLTECH,EQ,      1651.70,      1684.00,-1.92
,TATASTEEL,EQ,       169.83,       172.87,-1.76

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,0MOFSL26,N1,      1144.90,                   103040.90,90
,0MOFSL27,N3,      1131.01,                    16985.10,15
,1003ISFL28,N4,      1010.00,                    61610.00,61
,1003SCL30A,NV,       769.99,                      769.99,1
,1015ECL29,NR,      1019.00,                  1120900.00,1100
,1015UCL26,N1,      1038.88,                    19738.72,19
,1015UCL27,NF,       997.00,                    24925.00,25
,1018GS2026,GS,       106.94,                    47375.62,449
,1025SCL34,Z8,       995.00,                    49750.00,50
,1025SCL34B,N1,      1000.00,                   700000.00,700
,1025SCL35A,N1,       999.90,                      999.90,1
,1025UCL26A,N1,       980.14,                    11975.74,12
,1040NFL26,NA,       994.00,                    24955.00,25
,1040UCL27B,N1,       996.00,                    34680.00,35
,1050ISFL28,N5,      1010.00,                    99990.00,99
,1060ECL29,NS,      1093.90,                    72810.20,68
,1065NFL27,NC,      1010.00,                    50500.00,50
,1075WCA28,N0,      9257.62,                    18515.24,2
,10IFSL26,N7,      1083.80,                    10838.00,10
,10IIFL28,N4,      1028.98,                   274630.84,267
,10IIFL28A,NE,      1058.00,                  6464380.29,6119
,10IIFL29,N6,      1014.99,                   634371.98,625
,10NIDO26,N6,      1034.80,                     1034.80,1
,1119NFL27,ND,      1099.00,                     2198.00,2
,118VCCL27B,N0,    100323.29,                   200646.58,2
,11UCL26,NC,      1070.20,                     1070.20,1
,12AFIL27,N0,      9841.88,                    49209.40,5
,12AFIL27A,N0,      9749.02,                   116988.24,12
,12AFIL28,N0,      9899.00,                    89086.00,9
,12VCCL27A,N0,     97000.00,                  1164000.00,12
,20MICRONS,EQ,       195.92,                 12757220.43,65384
,21STCENMGM,EQ,        46.68,                   354243.86,7638
,360ONE,EQ,      1133.40,                313811285.00,276111
,364D100426,TB,        98.00,                   499800.00,5100
,364D280826,TB,        95.78,                     9578.00,100
,3IINFOLTD,EQ,        16.09,                  3197576.78,197862
,3MINDIA,EQ,     35370.00,                 66181825.00,1870
,3PLAND,EQ,        37.47,                   142129.38,3723
,563GS2026,GS,       100.68,                      906.12,9
,574GS2026,GS,       100.30,                     2006.00,20
,5PAISA,EQ,       310.40,                 14298602.95,45765
,601GS2030,GS,       100.30,                    20060.00,200
,610GS2031,GS,       101.00,                      101.00,1
,63MOONS,EQ,       758.15,                 42602053.30,56013
,648GS2035,GS,       100.60,                   234232.79,2343
,654GS2032,GS,       102.35,                   511850.00,5000
,664GS2027,GS,       100.81,                    10081.00,100
,667GS2035,GS,        99.10,                   314741.60,3176
,667GS2050,GS,        94.05,                   138729.70,1466
,668GS2040,GS,       101.05,                  2194668.02,21712
,676GS2061,GS,        94.14,                   139970.67,1484
,679GS2029,GS,       103.01,                     1035.80,10
,679GS2034,GS,       101.00,                    10100.00,100
,68GS2060,GS,        94.05,                    63404.87,670
,690GS2065,GS,        94.98,                  1975684.24,20801
,692GS2039,GS,       100.15,                   285297.50,2850
,695GS2061,GS,        94.20,                  3390589.66,36059
,698GR2054,GS,        96.00,                    23950.00,250
,699GS2026,GS,       102.00,                      102.00,1
,699GS2051,GS,        97.00,                   103022.02,1062
,702GS2027,GS,       103.00,                   202762.11,1991
,706GS2028,GS,       104.15,                      104.15,1
,709GS2054,GS,       100.49,                  1278357.68,12734
,709GS2074,GS,        95.99,                  2453613.52,25519
,710GS2029,GS,       104.00,                   249579.25,2400
,717GS2030,GS,       104.40,                   724222.80,6937
,718GS2033,GS,       104.94,                    10494.00,100
,718GS2037,GS,       105.50,                   110775.70,1050
,71MH33,SG,        90.50,                     9050.00,100
,724GS2055,GS,       101.25,                    10125.25,100
,725GS2063,GS,        98.39,                  1610877.23,16376
,726GS2033,GS,       106.20,                    21240.00,200
,729IRFC26,NN,      1020.00,                    84660.00,83
,729NHAI26,NC,      1025.00,                   113775.00,111
,734GS2064,GS,       100.15,                  5260127.34,52598
,737GS2028,GS,       103.99,                    10603.98,102
,738GS2027,GS,       105.96,                  5567074.20,52594
,738REC27TF,N2,      1034.06,                    41362.75,40
,739NHAI26,N8,      1052.52,                   210588.52,200
,73GS2053,GS,       103.30,                   113571.39,1100
,740IIFCL33,N1,      1183.00,                  3622821.00,3100
,741GS2036,GS,       107.86,                    15996.60,148
,742GJ31,SG,        94.64,                     9464.00,100
,744TS48,SG,        95.00,                     9500.00,100
,746GS2073,GS,       100.50,                   110655.75,1100
,74GS2062,GS,       101.09,                   416794.08,4104
,750IRFC35,NK,      1205.00,                    14448.00,12
,753IRFC30,NJ,      1093.00,                    71045.00,65
,754GS2036,GS,       106.08,                 19650047.97,185291
,760PFCL35,N3,      1161.10,                    32705.40,28
,764HUDCO31,N8,      1162.00,                   233562.00,201
,764IRFC31,NO,      1108.00,                   331725.00,300
,769HUDCO31,N9,      1096.00,                   770686.49,703
,769NHAI31,NE,      1114.00,                  2095386.40,1883
,76NHAI31,NA,      1141.75,                  1827477.01,1600
,772GS2049,GS,       105.04,                     1260.48,12
,773RJ38,SG,       101.00,                    10100.00,100
,774IREDA31,N7,      1170.00,                   351000.00,300
,77PN40,SG,       100.00,                    10000.00,100
,79IGT28,NF,      1035.00,                   206500.00,200
,79NHIT35,N1,       310.00,                     1244.41,4
,79NHIT47,N3,       420.44,                   214413.00,510
,810IRFC27,N2,      1041.37,                  2580178.52,2478
,812REC27,NI,      1066.87,                    37338.75,35
,813GS2045,GS,       111.46,                    22292.50,200
,81TCHF28,N8,      1033.00,                   487576.00,472
,828GS2027,GS,       105.99,                    84792.00,800
,828GS2032,GS,       109.55,                      109.55,1
,829PFL29,N6,       965.25,                   126198.25,112
,82HUDCO27,N2,      1094.90,                   804606.10,735
,82IGT31,NJ,      1066.00,                     1066.00,1
,830NHAI27,N2,      1044.25,                   794374.65,760
,842IIFL26,NL,       988.01,                    29720.05,30
,84TCHF28,NA,      1082.00,                   368352.00,340
,850CIFCL26,NE,      1006.99,                    87607.14,87
,860CIFCL28,NG,      1005.55,                     7038.85,7
,865IHFL27,N1,       980.00,                   441000.00,450
,865IIFL28,NS,       986.00,                    19690.55,20
,865IRFC29,NA,      1150.00,                     1150.00,1
,865LTF26,NN,      1007.00,                    65607.25,65
,865SCL26,N8,      1000.00,                    27000.00,27
,867PFCL33,N7,      1196.50,                  4771100.00,4000
,871REC28,N9,      1083.36,                  1963498.75,1812
,873NTPC28,N5,      1100.00,                    25300.00,23
,875IHFL29,ND,      1035.01,                   310299.80,300
,875NHAI29,N6,      1195.00,                   857653.85,723
,876HUDCO28,ND,      1097.90,                   175490.00,160
,880IREDA34,N6,      1300.00,                   377000.00,290
,885SCL26,N9,       999.55,                   124950.50,125
,888ECL28,N1,       970.08,                   170729.80,176
,888IRFC29,NE,      1176.00,                    11760.00,10
,888SCL28,NA,       984.90,                    39396.00,40
,889SCFL27,YC,       930.40,                   124566.80,129
,890NHB34,N7,      6500.00,                    26000.00,4
,890SFIL23A,NZ,       660.00,                     6600.00,10
,891IIFCL34,N4,      1324.90,                   961139.90,731
,891NTPC33,N6,      1225.72,                   140168.70,114
,892NHPC33,N6,      1520.00,                   308226.50,225
,892PFCL33,N8,      1236.00,                   448649.04,363
,893NHB29,N6,      5770.00,                   819355.00,142
,895AEL27,N9,      1005.02,                    10050.20,10
,897GS2030,GS,       111.80,                   645027.10,5765
,897MOFSL29,N4,      1014.00,                   427908.00,422
,898LTF29,N7,      1089.88,                   111168.65,102
,901HUDCO34,NE,      1328.00,                    59795.09,45
,901NHB34,N6,      6675.00,                   338669.91,51
,903SFL28,YI,      1048.00,                     2096.00,2
,905LTF27,NF,      1088.99,                    21789.90,20
,910TCAP28,NA,      1049.20,                   118643.60,113
,915AEL28,NC,      1048.00,                    45064.00,43
,91D060226,TB,        99.00,                    49490.00,500
,91D080126,TB,        99.28,                    69516.00,700
,91D120226,TB,        98.80,                     9880.00,100
,91D150126,TB,        99.48,                    99480.00,1000
,91D230126,TB,        99.10,                    49556.00,500
,91D260226,TB,        98.80,                     9880.00,100
,91D290126,TB,        99.02,                    19804.00,200
,92GS2030,GS,       114.28,                   325866.78,2851
,930APMD27,N0,    101277.58,                   202555.16,2
,930APMD31,N0,    103363.00,                  2067260.00,20
,930APMD34,N0,    104787.18,                  1571807.70,15
,935LTF29,N5,      1113.10,                   111310.00,100
,935TSI29,N0,    101988.30,                   101988.30,1
,935TSI30,N0,    102049.77,                  2245094.94,22
,935TSI31,N0,    102455.87,                  2049117.40,20
,935TSI32,N0,    102819.37,                  1542290.55,15
,943ECL28,NJ,       997.00,                   531699.00,533
,948SCL26D,AI,       400.00,                    10400.00,26
,948SCL27A,ZJ,       984.00,                   151302.38,158
,948SCL27D,N1,       934.20,                   294503.70,316
,94SFL28,YL,      1261.00,                     5044.00,4
,955SCL35,NO,      1020.00,                   220415.00,219
,956AEL29,N6,      1047.21,                    28139.21,27
,957ICCL25,YW,      1084.95,                    96551.00,89
,957IIFLS27,NA,       985.00,                    21670.00,22
,960IIFL30,Y2,      1010.00,                    11110.00,11
,965AEL27,N4,      1040.20,                   134323.30,129
,965SCL25F,NZ,       850.00,                    42500.00,50
,96IIFL28,N5,       998.00,                  3480248.63,3489
,96IIFL28A,NF,       996.99,                  2448116.53,2458
,96SFIL24A,NB,       997.95,                    62872.45,63
,970CAGL28,ND,      1028.00,                     1028.00,1
,975SCL35,N0,     90710.45,                    90710.45,1
,97SFL28,YS,      1079.99,                    97199.10,90
,980SCL33D,YG,       996.00,                     6972.00,7
,985ECL28,NK,      1016.50,                   101650.00,100
,990SCL26D,AH,       325.20,                    26666.40,82
,990SCL27B,N1,      1006.00,                   503000.00,500
,990SCL28,N1,      1011.20,                   101120.00,100
,9AEL30,NE,      1031.00,                    41407.50,40
,9IIFL28,Y0,      1030.00,                     5150.00,5
,9MMFSML,N2,      1050.00,                    84930.00,81
,9PCHFL31A,NA,      1038.52,                   270036.99,260
,9SCL26BA,NA,      1015.00,                   213965.00,211
,A2ZINFRA,EQ,        14.59,                  1061583.52,72152
,AAATECH,BE,       100.43,                  1988191.12,19776
,AADHARHFC,EQ,       490.95,                 85645602.40,174325
,AAKAAR,SM,        79.50,                   370080.00,4800
,AAKASH,EQ,         8.84,                   493022.91,56123
,AAREYDRUGS,EQ,        67.66,                 40524008.93,611003
,AARON,EQ,       179.76,                  1212776.20,6739
,AARTECH,EQ,        49.08,                  1306151.88,26506
,AARTIDRUGS,EQ,       387.65,                 28709713.10,73825
,AARTIIND,EQ,       372.50,                222929473.75,597731
,AARTIPHARM,EQ,       754.95,                 74864611.85,99189
,AARTISURF,P1,       143.10,                     5882.00,41
,AARTISURF,EQ,       404.15,                  1226926.50,3029
,AARVI,EQ,       121.07,                   907999.48,7450
,AATMAJ,SM,        22.45,                  1533800.00,70000
,AAVAS,EQ,      1487.00,                465087621.30,311486
,ABAN,BE,        27.49,                  2966253.51,107168
,ABBOTINDIA,EQ,     27805.00,                 67194635.00,2415
,ABCAPITAL,EQ,       348.05,               1252849150.95,3580090
,ABCOTS,EQ,       413.95,                  1187374.35,2870
,ABDL,EQ,       623.45,                 96418039.85,154626
,ABFRL,EQ,        74.16,                196909681.22,2648808
,ABGSEC,EQ,       111.24,                      222.48,2
,ABHAPOWER,SM,        33.00,                   213440.00,6400
,ABINFRA,EQ,        18.99,                  2727562.15,143677
,ABLBL,EQ,       126.90,                301131185.40,2365892
,ABMINTLLTD,EQ,        42.66,                     2985.88,70
,ABREL,EQ,      1700.40,                260899932.70,153360
,ABSLAMC,EQ,       769.75,                157583522.90,206430
,ABSLBANETF,EQ,        60.32,                  2602527.10,43138
,ABSLLIQUID,EQ,       999.99,                160487963.45,160488
,ABSLNN50ET,EQ,        71.45,                   817898.73,11423
,ABSLPSE,EQ,         9.76,                  2579329.02,264558
,ABSMARINE,SM,       202.05,                  6410200.00,31500
,ACC,EQ,      1771.40,                199037101.60,112332
,ACCELYA,EQ,      1311.70,                 10335760.30,7897
