,16-Dec-2025
The Nifty witnessed an intraday movement of about 146.4 points.The closing index was 0.64 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 83984.54
, Traded Quantity (in Lakhs), 39374.81
, Number of Trades, 28265852
, Total Market Capitalisation (Rs. Crores), 46532655.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     26027.30,     25951.50,     25980.75,     25834.35,     25860.10,-167.20
,NIFTY50 EQL Wgt,     32994.30,     32938.25,     32956.35,     32710.30,     32747.40,-246.90
,NIFTY100 EQL Wgt,     33631.20,     33595.10,     33608.85,     33354.35,     33412.60,-218.60
,NIFTY100 LowVol30,     21069.20,     21043.10,     21087.05,     20966.65,     20988.35,-80.85
,NIFTY Alpha 50,     50327.20,     50273.20,     50275.65,     49791.60,     49901.80,-425.40
,NIFTY MIDCAP 150,     22136.80,     22115.95,     22116.65,     21915.05,     21966.15,-170.65
,NIFTY SMLCAP 50,      8515.70,      8499.05,      8500.55,      8435.35,      8449.60,-66.10
,NIFTY SMLCAP 250,     16455.45,     16440.50,     16440.85,     16309.05,     16328.25,-127.20
,NIFTY MIDSML 400,     20038.80,     20020.15,     20020.15,     19846.75,     19884.20,-154.60
,NIFTY200 QUALTY30,     21270.95,     21250.85,     21264.25,     21122.90,     21166.85,-104.10
,Nifty FinSrv25 50,     30062.50,     29998.75,     30026.35,     29761.60,     29807.55,-254.95
,NIFTY AlphaLowVol,     27119.70,     27104.40,     27127.30,     26946.25,     26984.10,-135.60
,Nifty200Momentm30,     31375.85,     31358.85,     31371.80,     31097.30,     31155.35,-220.50
,Nifty100ESGSecLdr,      4338.20,      4326.75,      4331.70,      4310.85,      4315.95,-22.25
,NIFTY100 ESG,      5163.00,      5153.00,      5157.40,      5118.80,      5125.20,-37.80
,NIFTY M150 QLTY50,     24045.15,     24017.95,     24025.50,     23825.20,     23889.25,-155.90
,NIFTY INDIA MFG,     15211.25,     15185.50,     15195.80,     15098.25,     15139.30,-71.95
,Nifty200 Alpha 30,     25132.60,     25125.15,     25126.40,     24822.20,     24877.95,-254.65
,NiftyM150Momntm50,     62174.05,     62156.05,     62156.50,     61414.25,     61583.40,-590.65
,Nifty50 USD,      9939.50,      9939.45,      9943.10,      9836.35,      9844.85,-94.65
,Nifty IT,     38386.25,     38262.30,     38293.40,     37946.75,     38062.50,-323.75
,Nifty Next 50,     68622.45,     68602.10,     68613.00,     68069.00,     68337.20,-285.25
,Nifty Bank,     59461.80,     59288.75,     59335.25,     58966.35,     59034.60,-427.20
,NIFTY MIDCAP 100,     60212.80,     60155.20,     60157.20,     59565.90,     59710.80,-502.00
,Nifty 500,     23725.20,     23676.80,     23687.35,     23542.55,     23570.15,-155.05
,Nifty 100,     26555.35,     26489.25,     26509.30,     26365.50,     26394.50,-160.85
,Nifty Midcap 50,     17262.70,     17251.80,     17253.10,     17071.75,     17114.50,-148.20
,Nifty Realty,       886.15,       885.50,       885.50,       872.15,       874.75,-11.40
,Nifty Infra,      9549.35,      9528.85,      9550.60,      9493.80,      9508.90,-40.45
,Nifty Energy,     35028.15,     34944.05,     34954.80,     34678.40,     34769.25,-258.90
,Nifty FMCG,     54868.40,     54799.45,     55324.90,     54699.95,     54863.45,-4.95
