SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,51.52,51.52
WHEELS,19.32,19.32
RIIL,124.43,124.43
PREMIERPOL,16.83,16.83
RAYMOND,14.33,14.33
SHREDIGCEM,48.15,48.15
SESHAPAPER,18.79,18.79
SMLMAH,38.46,38.46
SUNDRMFAST,36.45,36.45
FACT,589.08,712.84
EXIDEIND,37.09,37.09
ELECON,21.29,24.55
CRISIL,44.84,44.84
LMW,159.78,158.77
NELCO,267.58,267.58
MASTEK,17.02,17.22
MAHSCOOTER,67.00,83.45
LUMAXIND,72.43,72.43
TRENT,95.61,95.61
KECL,309.79,
CUMMINSIND,67.06,67.40
KCP,8.18,7.55
JAYBARMARU,19.45,19.45
JBCHEPHARM,40.98,40.98
INFY,24.45,24.45
INDIAGLYCO,34.89,34.89
IONEXCHANG,26.59,26.59
IFBIND,52.48,52.48
IGPL,20.13,20.13
HIMATSEIDE,22.40,8.43
GNFC,13.26,13.26
BPCL,10.45,10.30
BHARATFORG,65.62,65.41
BASF,43.26,43.95
FORCEMOT,26.04,36.97
ATUL,33.82,33.82
ARVIND,22.23,22.23
ACC,13.83,14.32
TMPV,6.00,5.85
SCI,11.91,11.91
LINDEINDIA,118.60,118.60
HINDPETRO,9.16,9.16
ESCORTS,33.18,34.87
RELINFRA,0.66,0.76
BAJAJHLDNG,60.64,186.42
ASHOKLEY,28.36,28.49
VOLTAS,60.28,60.28
TITAN,92.47,92.47
TATASTEEL,52.83,49.10
SUNDARMFIN,29.27,29.27
SPIC,13.13,13.13
VEDL,10.80,11.95
SBIN,11.03,11.03
RELIANCE,22.40,22.40
PFIZER,28.38,33.95
NOCIL,28.04,28.04
BOSCHLTD,40.32,48.46
DRREDDY,18.66,18.66
BATAINDIA,59.11,56.27
DEEPAKFERT,15.97,15.97
CHAMBLFERT,10.82,10.82
CARBORUNIV,81.76,113.23
MAHSEAMLES,8.47,8.45
HINDOILEXP,13.65,17.41
DICIND,28.47,29.43
COROMANDEL,29.98,34.14
BALMLAWRIE,15.06,15.06
WILLAMAGOR,1.22,1.22
VINDHYATEL,21.80,21.80
MOTOGENFIN,121.67,121.67
ASIANPAINT,76.20,71.08
RAMCOCEM,79.06,219.70
INDIACEM,,558.79
PGHL,31.29,31.29
BEML,48.50,48.50
ADOR,50.81,42.73
CENTENKA,16.63,16.63
TATACHEM,55.27,40.05
TORNTPHARM,63.95,63.40
VTL,16.11,16.11
SUNDROP,,65.25
FEDERALBNK,15.90,15.90
EPL,17.83,17.69
VLSFINANCE,40.18,40.18
SUPREMEIND,53.14,53.14
SRF,62.17,62.17
BIRLACABLE,65.70,65.70
BALRAMCHIN,23.73,23.73
AEGISLOG,32.76,32.76
WEIZMANIND,18.47,18.47
UNICHEMLAB,24.99,24.99
BBOX,40.89,32.02
HONAUT,58.87,58.87
JTEKTINDIA,55.97,56.41
SAURASHCEM,68.84,177.03
RANEHOLDIN,9.11,55.92
PRECOT,11.43,11.43
TATAELXSI,42.20,42.20
SUNPHARMA,41.41,37.46
KOHINOOR,0.28,
SHREYANIND,4.51,4.51
SANDESH,9.44,9.52
HCC,13.70,
APOLLOHOSP,63.86,63.86
ARE&M,19.91,21.84
ADANIENT,63.83,75.42
IVP,17.06,17.06
BALKRISIND,31.67,31.67
INDBANK,20.03,20.03
GINNIFILA,17.24,14.04
EICHERMOT,47.00,47.00
GVT&D,101.06,101.06
NEULANDLAB,119.74,160.69
ONGC,7.39,7.37
ZENSARTECH,24.67,24.67
TAINWALCHM,25.88,25.88
BERGEPAINT,56.87,55.49
BANARISUG,39.82,39.82
JINDALPOLY,,39.10
ANIKINDS,66.01,66.01
KPIL,28.83,28.83
JYOTISTRUC,29.76,29.76
IGARASHI,75.76,75.76
BSL,26.84,26.84
BLUEDART,51.96,51.96
JAYNECOIND,30.65,30.65
MUNJALSHOW,19.50,19.50
APCOTEXIND,33.00,33.00
SOTL,19.86,19.86
HSCL,38.55,38.55
RCF,27.20,27.46
RANASUG,5.53,5.53
KARURVYSYA,11.82,11.82
DECCANCE,53.18,53.18
ARENTERP,195.02,195.02
UFLEX,11.28,8.76
TATAPOWER,28.93,28.01
ADVANIHOTR,21.18,21.18
THOMASCOOK,26.58,25.97
SUNFLAG,23.66,23.66
SUBROS,36.17,36.17
SPMLINFRA,28.63,28.63
SIMPLEXINF,87.18,202.30
SIEMENS,55.27,55.27
BHARATRAS,36.79,34.20
WIPRO,20.36,20.36
VSTIND,14.71,20.47
JUBLPHARMA,37.80,35.77
UNIVCABLES,48.79,48.79
TATACOMM,35.69,55.08
TOKYOPLAST,104.50,104.50
SOMANYCERA,32.41,31.68
MURUDCERA,20.81,20.81
IFCI,26.24,26.03
HLVLTD,29.03,30.19
SANOFI,26.67,27.13
M&M,33.96,33.96
LIBERTSHOE,38.81,34.68
KAJARIACER,50.40,50.40
KABRAEXTRU,35.42,51.55
HEIDELBERG,34.47,34.47
MODTHREAD,49.68,49.68
MANGLMCEM,34.38,34.38
PRSMJOHNSN,163.29,
POLYPLEX,12.96,12.96
PIDILITIND,68.27,67.70
PCBL,30.31,30.28
3PLAND,31.89,31.89
OSWALAGRO,6.62,6.62
EIHAHOTELS,23.08,22.06
HONDAPOWER,32.29,32.29
JINDALSAW,7.33,7.33
SAIL,21.17,21.04
RUBYMILLS,16.47,16.47
STYRENIX,15.98,15.98
ABB,62.27,62.27
IDBI,13.50,13.50
GRAPHITE,30.08,30.08
CANFINHOME,13.89,13.89
BRITANNIA,65.87,65.86
BBL,23.22,23.22
ELECTCAST,8.10,8.10
DHAMPURSUG,16.33,16.33
DCMSHRIRAM,31.64,31.64
DABUR,50.28,50.28
COSMOFIRST,12.85,12.85
CIPLA,22.53,22.53
HEROMOTOCO,26.34,26.34
HDFCBANK,21.25,20.98
HARRMALAYA,11.33,11.33
GMBREW,17.41,17.41
GIPCL,11.63,11.63
ITC,24.97,24.97
INDIANHUME,3.95,25.36
HINDCOMPOS,18.07,13.25
IOC,16.37,18.70
OSWALGREEN,83.35,83.35
HUHTAMAKI,21.42,22.10
RICOAUTO,49.77,47.99
KAMATHOTEL,13.64,13.62
IFBAGRO,36.68,36.68
BANCOINDIA,23.40,23.40
MANINDS,20.92,20.92
APOLLOTYRE,38.69,40.96
SIYSIL,15.56,15.56
SHANTIGEAR,37.21,37.21
PRECWIRE,45.82,45.82
ONWARDTEC,19.08,19.08
NILKAMAL,22.13,22.13
NCC,12.10,12.10
ICIL,27.29,27.29
SEAMECLTD,22.88,22.91
ELGIEQUIP,43.68,43.68
AUROPHARMA,20.16,20.16
BBTC,6.26,6.34
EIHOTEL,35.90,31.15
LICHSGFIN,5.32,5.32
GICHSGFIN,6.94,6.48
BEPL,13.00,13.00
BANARBEADS,27.39,27.39
MOREPENLAB,24.39,24.39
WSTCSTPAPR,9.86,9.86
EASTSILK,10.38,10.38
VENKEYS,35.07,35.07
GHCL,8.95,8.95
S&SPOWER,2279.07,224.99
PRUDMOULI,12.58,12.58
PRAJIND,43.87,43.87
BPL,,4.65
TRANSWORLD,16.65,10.93
KEEPLEARN,77.51,77.51
PGHH,50.18,50.18
VESUVIUS,38.37,38.37
TFCILTD,28.41,28.41
BOMDYEING,5.64,161.67
NAVNETEDUL,14.70,16.38
GUJALKALI,78.18,78.18
AGI,13.60,13.60
GLAXO,45.96,46.12
TATACONSUM,81.08,81.75
ZEEL,12.78,11.77
CHOLAFIN,32.87,32.87
INDHOTEL,50.86,58.14
FMGOETZE,14.60,14.60
KOTAKBANK,22.86,22.86
LYKALABS,36.01,36.01
ORIENTHOT,37.39,37.39
JAYSREETEA,3.34,6.89
GILLETTE,46.90,46.90
GOLDENTOBC,8.31,9.43
KANSAINER,16.64,30.81
FOSECOIND,47.17,47.17
ESABINDIA,56.03,56.03
3MINDIA,80.68,80.68
ANDHRAPAP,16.22,16.22
GABRIEL,55.63,55.63
SCHAEFFLER,59.27,59.27
AARTIIND,57.47,58.25
RALLIS,29.89,30.00
AMJLAND,10.16,10.16
