MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         7.45,         7.80,         7.80,         7.80,         7.80,                    62400.00,8000, ,         8.20,         6.80
N,SM,AGUL,A G UNIVERSAL LIMITED,        61.75,        58.70,        64.80,        58.70,        64.80,                  1554000.00,26000, ,        70.50,        37.30
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        76.00,        75.80,        79.50,        75.80,        79.50,                   370080.00,4800, ,       105.00,        62.00
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        19.35,        19.50,        23.20,        19.50,        22.45,                  1533800.00,70000, ,        27.00,        14.50
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        34.20,        33.50,        33.60,        33.00,        33.00,                   213440.00,6400, ,        60.90,        26.45
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       208.10,       205.10,       207.80,       201.30,       202.05,                  6410200.00,31500, ,       259.00,        92.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       342.95,       343.00,       348.70,       341.00,       344.65,                  5872625.00,17000, ,       362.00,       180.00
N,ST,ACCPL,ACCRETION PHARMA LIMITED,        90.85,        90.85,        92.65,        90.85,        90.85,                  1094520.00,12000, ,       102.50,        53.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       172.20,       171.00,       171.00,       171.00,       171.00,                   102600.00,600, ,       190.00,       147.05
N,SM,LAWSIKHO,ADDICTIVE LEARNING TECH L,       107.30,       110.00,       112.10,       110.00,       110.05,                  1211900.00,11000, ,       391.00,       104.20
N,SM,AERON,AERON COMPOSITE LIMITED,        96.00,        98.95,        99.00,        98.95,        99.00,                   197950.00,2000, ,       202.20,        89.05
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        39.90,        40.85,        41.70,        40.50,        40.50,                   367425.00,9000, ,        73.00,        38.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       129.35,       131.95,       131.95,       125.00,       126.05,                  5209680.00,40800, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        23.60,        23.60,        23.60,        23.30,        23.30,                   175500.00,7500, ,        48.25,        17.90
