MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty Consumption,     12205.05,     12194.50,     12248.40,     12163.45,     12192.95,0.00,0,Y, ,0,     12716.20,     10090.65
Y, , ,Nifty Fin Service,     27603.15,     27516.25,     27538.00,     27352.75,     27385.55,0.00,0,Y, ,0,     28065.50,     22320.85
Y, , ,Nifty50 Div Point,       249.14,       249.14,       249.14,       249.14,       249.14,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100 Liq 15,      7462.80,      7448.55,      7459.00,      7409.60,      7418.80,0.00,0,Y, ,0,      7617.60,      5985.30
Y, , ,Nifty CPSE,      6223.30,      6208.35,      6213.50,      6146.05,      6165.45,0.00,0,Y, ,0,      6681.80,      5284.25
Y, , ,Nifty GrowSect 15,     12399.80,     12362.20,     12392.60,     12327.60,     12360.25,0.00,0,Y, ,0,     12549.15,      9722.65
Y, , ,Nifty50 PR 2x Lev,     14622.65,     14535.45,     14556.25,     14404.35,     14432.75,0.00,0,Y, ,0,     14993.40,     10678.25
Y, , ,Nifty50 PR 1x Inv,       200.40,       201.00,       201.90,       200.85,       201.70,0.00,0,Y, ,0,       232.40,       197.80
Y, , ,Nifty50 TR 2x Lev,     21880.75,     21750.20,     21781.35,     21554.05,     21596.55,0.00,0,Y, ,0,     22435.45,     15663.75
Y, , ,Nifty50 TR 1x Inv,       163.95,       164.45,       165.20,       164.35,       165.05,0.00,0,Y, ,0,       192.05,       161.80
Y, , ,Nifty50 Value 20,     13228.95,     13197.90,     13203.50,     13095.15,     13110.40,0.00,0,Y, ,0,     13754.05,     11375.50
Y, , ,Nifty Mid Liq 15,     16344.10,     16329.00,     16329.10,     16110.05,     16160.55,0.00,0,Y, ,0,     16755.80,     11541.70
