Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
16 DEC 2025,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,16 DEC 2025,               5.00,          35286502,            195.90,     6913331471.85 
16 DEC 2025,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,16 DEC 2025,              10.00,          10500000,             46.70,      490140000.00
16 DEC 2025,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,16 DEC 2025,               1.00,         404688480,           1133.40,   458673923232.00    
16 DEC 2025,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,16 DEC 2025,              10.00,         207382685,             16.10,     3336787401.65 
16 DEC 2025,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,16 DEC 2025,              10.00,          11265070,          35370.00,   398445525900.00   
16 DEC 2025,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,16 DEC 2025,               2.00,          18000000,             37.45,      674460000.00    
16 DEC 2025,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,16 DEC 2025,              10.00,          31242338,            310.40,     9697621715.20    
16 DEC 2025,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,16 DEC 2025,               2.00,          46078537,            758.15,    34934442826.55   
16 DEC 2025,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,16 DEC 2025,              10.00,         176119858,             14.60,     2569588728.20  
16 DEC 2025,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,16 DEC 2025,              10.00,          12826800,            100.45,     1288195524.00   
16 DEC 2025,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,16 DEC 2025,              10.00,         433092732,            490.95,   212626876775.40 
16 DEC 2025,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,16 DEC 2025,              10.00,          14172816,             79.50,     1126738872.00    
16 DEC 2025,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,16 DEC 2025,               1.00,         101250000,              8.85,      895050000.00    
16 DEC 2025,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,15 DEC 2025,              10.00,          14138000,            130.15,     1840060700.00  
16 DEC 2025,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,16 DEC 2025,              10.00,          28354303,             67.65,     1918452141.00
16 DEC 2025,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,16 DEC 2025,              10.00,          20946478,            179.75,     3765338885.30     
16 DEC 2025,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,16 DEC 2025,               5.00,          31770376,             49.10,     1559290054.10   
16 DEC 2025,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,16 DEC 2025,              10.00,          91270000,            387.65,    35380815500.00
16 DEC 2025,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,16 DEC 2025,               5.00,         362593869,            372.50,   135066216202.50  
16 DEC 2025,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,16 DEC 2025,               5.00,          90641224,            754.95,    68429592058.80
16 DEC 2025,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,16 DEC 2025,              10.00,           8458495,            404.15,     3418500754.25 
16 DEC 2025,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,16 DEC 2025,              10.00,          14810700,            121.05,     1793131449.00     
16 DEC 2025,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,16 DEC 2025,               5.00,          22600000,             22.45,      507370000.00    
16 DEC 2025,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,16 DEC 2025,              10.00,          79161353,           1487.00,   117712931911.00     
16 DEC 2025,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,16 DEC 2025,               2.00,          58365323,             27.50,     1604462729.25      
16 DEC 2025,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,16 DEC 2025,               2.00,         211908375,           5242.00,  1110823701750.00       
16 DEC 2025,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,16 DEC 2025,              10.00,          21249302,          27805.00,   590836842110.00
16 DEC 2025,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,16 DEC 2025,              10.00,        2612436210,            348.05,   909258422890.50 
16 DEC 2025,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,16 DEC 2025,              10.00,          21963620,            413.95,     9091840499.00    
16 DEC 2025,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,16 DEC 2025,               2.00,         279710151,            623.45,   174385293640.95      
16 DEC 2025,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,16 DEC 2025,              10.00,        1220266696,             74.15,    90494978175.35     
