MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AH,990SCL26D,SEC RE NCD 9.90% SR.IV,       390.00,       325.20,       325.20,       325.20,       325.20,                    26666.40,82, ,2,       888.00,       305.40
N,AI,948SCL26D,SEC RE NCD 9.48% SR.V,       500.00,       400.00,       400.00,       400.00,       400.00,                    10400.00,26, ,2,       930.00,       380.00
N,AY,SCLZC26B,SEC RE NCD SR VI,      1211.00,      1213.65,      1213.65,      1213.65,      1213.65,                    12136.50,10, ,1,      1229.00,      1076.68
N,N0,1075WCA28,WCAPL 10.75% 2028,      9495.00,      9257.62,      9257.62,      9257.62,      9257.62,                    18515.24,2, ,1,      9800.00,      9256.73
N,N0,118VCCL27B,VCCL 11.8% 2027 SR B,    100290.96,    100323.29,    100323.29,    100323.29,    100323.29,                   200646.58,2, ,2,    100452.60,     99600.00
N,N0,12AFIL27,AFIL 12% 2027 SR 1,      9941.95,      9841.88,      9841.88,      9841.88,      9841.88,                    49209.40,5, ,3,     10000.00,      9301.00
N,N0,12AFIL27A,AFIL 12% 2027,      9999.00,      9749.02,      9749.02,      9749.02,      9749.02,                   116988.24,12, ,2,     10000.00,      9400.00
N,N0,12AFIL28,AFIL 12% 2028,      9780.00,      9898.00,      9899.00,      9898.00,      9899.00,                    89086.00,9, ,2,      9900.00,      9400.00
N,N0,12VCCL27A,VCCL 12% 2027 SR C,     97000.00,     97000.00,     97000.00,     97000.00,     97000.00,                  1164000.00,12, ,2,     99100.00,     97000.00
N,N0,930APMD27,APMD 9.30% 2027 STRPP A,    101500.00,    100904.68,    101650.48,    100904.68,    101277.58,                   202555.16,2, ,2,    102497.54,    100170.00
N,N0,930APMD31,APMD 9.30% 2031 STRPP E,    103620.00,    103363.00,    103363.00,    103363.00,    103363.00,                  2067260.00,20, ,1,    103620.00,    100100.00
N,N0,930APMD34,APMDC 9.30% 2034 STRPP H,    104573.22,    104787.18,    104787.18,    104787.18,    104787.18,                  1571807.70,15, ,1,    106868.00,    100663.00
N,N0,935TSI29,TSI 9.35% 29 SR I-C,    101968.30,    101988.30,    101988.30,    101988.30,    101988.30,                   101988.30,1, ,1,    104307.28,    101193.63
N,N0,935TSI30,TSI 9.35% 30 SR I-D,    102025.64,    102049.77,    102049.77,    102049.77,    102049.77,                  2245094.94,22, ,6,    112000.00,    101156.00
N,N0,935TSI31,TSI 9.35% 31 SR I-E,    104920.00,    102455.87,    102455.87,    102455.87,    102455.87,                  2049117.40,20, ,1,    105129.05,    101157.00
N,N0,935TSI32,TSI 9.35% 32 SR I-F,    102987.05,    102819.37,    102819.37,    102819.37,    102819.37,                  1542290.55,15, ,2,    105709.00,    101760.72
N,N0,975SCL35,SCL 9.75% 2035 SR II,     90500.00,     90710.45,     90710.45,     90710.45,     90710.45,                    90710.45,1, ,1,    103489.73,     90500.00
N,N1,0MOFSL26,SEC RE NCD SR II,      1128.20,      1144.90,      1144.90,      1144.80,      1144.90,                   103040.90,90, ,3,      1171.50,      1015.20
N,N1,1015UCL26,SEC RE NCD 10.15% SR I,      1029.00,      1038.88,      1038.88,      1038.88,      1038.88,                    19738.72,19, ,1,      1038.88,       855.00
N,N1,1025SCL34B,SEC RE NCD 10.25% SR XII,       995.00,      1000.00,      1000.00,      1000.00,      1000.00,                   700000.00,700, ,10,      1020.00,       781.00
N,N1,1025SCL35A,SCL 10.25% SR XII,      1000.00,       999.90,       999.90,       999.90,       999.90,                      999.90,1, ,1,      1020.00,       700.00
N,N1,1025UCL26A,SEC RE NCD 10.25% SR II,       999.60,       999.60,       999.60,       980.14,       980.14,                    11975.74,12, ,5,      1196.00,       963.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,       990.00,       982.00,       996.00,       982.00,       996.00,                    34680.00,35, ,7,      1048.00,       850.00
N,N1,740IIFCL33,7.40% TAX FREETRI SRIII,      1195.00,      1155.30,      1183.00,      1155.30,      1183.00,                  3622821.00,3100, ,5,      1600.00,      1094.10
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       309.50,       309.01,       313.00,       309.01,       310.00,                     1244.41,4, ,4,       342.10,       300.08
N,N1,865IHFL27,SEC RE NCD 8.65% SR III,       971.11,       980.00,       980.00,       980.00,       980.00,                   441000.00,450, ,1,      1001.65,       825.20
N,N1,888ECL28,ECL 8.88% 2028 SR V,       976.00,       970.01,       970.08,       970.01,       970.08,                   170729.80,176, ,4,       985.00,       935.00
N,N1,948SCL27D,SEC RE NCD 9.48% SR V,       940.00,       930.20,       934.20,       930.20,       934.20,                   294503.70,316, ,15,      1000.00,       901.20
N,N1,990SCL27B,SEC RE NCD 9.90% SR IV,       997.29,      1006.00,      1006.00,      1006.00,      1006.00,                   503000.00,500, ,1,      1006.25,       950.00
N,N1,990SCL28,SCL 9.90% SR IV,      1035.80,      1011.20,      1011.20,      1011.20,      1011.20,                   101120.00,100, ,1,      1051.00,       900.30
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1035.00,      1034.70,      1034.70,      1034.05,      1034.06,                    41362.75,40, ,14,      1109.90,      1024.30
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1041.50,      1040.90,      1041.50,      1040.81,      1041.37,                  2580178.52,2478, ,17,      1120.70,      1028.60
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1096.90,      1094.70,      1094.90,      1094.70,      1094.90,                   804606.10,735, ,5,      1149.00,      1040.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1045.16,      1045.16,      1049.00,      1043.92,      1044.25,                   794374.65,760, ,18,      1198.79,      1029.00
N,N2,9MMFSML,9.00% UNSECURED NCD,      1048.00,      1048.00,      1050.00,      1048.00,      1050.00,                    84930.00,81, ,3,      1099.00,       996.66
N,N2,AEL120924,SEC RE NCD SR II,      1100.00,      1101.01,      1101.01,      1101.00,      1101.00,                   550500.71,500, ,2,      1109.99,       851.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       257.00,       254.01,       254.01,       254.01,       254.01,                     5334.21,21, ,1,       260.90,       207.00
N,N3,0MOFSL27,SEC RE NCD SR IV,      1140.00,      1135.00,      1135.00,      1131.01,      1131.01,                    16985.10,15, ,2,      1150.00,       911.00
N,N3,760PFCL35,7.60% TAX FREE NCD,      1175.00,      1175.00,      1175.00,      1161.10,      1161.10,                    32705.40,28, ,2,      1264.00,      1126.21
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       420.00,       420.00,       420.70,       420.00,       420.44,                   214413.00,510, ,6,       483.86,       404.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       261.95,       252.50,       252.50,       252.50,       252.50,                     5302.50,21, ,1,       269.00,       211.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,      1013.99,      1010.00,      1010.00,      1010.00,      1010.00,                    61610.00,61, ,2,      1199.00,       945.00
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1018.02,      1028.00,      1028.98,      1028.00,      1028.98,                   274630.84,267, ,9,      1079.50,       948.10
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1330.00,      1320.00,      1324.90,      1308.00,      1324.90,                   961139.90,731, ,4,      1348.00,      1216.00
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,      1018.90,      1014.00,      1014.00,      1014.00,      1014.00,                   427908.00,422,XI,6,      1022.00,       912.00
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1036.49,      1041.00,      1041.99,      1040.10,      1040.20,                   134323.30,129, ,8,      1130.09,       984.70
N,N5,1050ISFL28,SEC RE NCD 10.50% SR 6,      1020.55,      1010.00,      1010.00,      1010.00,      1010.00,                    99990.00,99, ,3,      1099.00,       932.00
N,N5,873NTPC28,8.73%S-R-NCD SERIES 2B,      1071.71,      1100.00,      1100.00,      1100.00,      1100.00,                    25300.00,23, ,1,      1297.00,      1071.71
N,N5,935LTF29,SE RE NCD 9.35% SR.V OP2,      1124.95,      1113.10,      1113.10,      1113.10,      1113.10,                   111310.00,100, ,1,      1185.10,      1030.00
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       998.00,       995.00,       998.90,       994.90,       998.00,                  3480248.63,3489, ,27,       999.21,       931.00
