Symbol,Security,From Series,To Series,Change Date,Remarks
ALPSINDUS,ALPS INDUSTRIES LIMITED,EQ,BE,16-DEC-2025,"GSM STAGE - 0"
EMBDL,EMBASSY DEVELOPMENTS LIMITED,EQ,BE,16-DEC-2025,"-"
