Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
16-DEC-2025,20MICRONS,195.90,192.60,0.0170,0.0288,0.0288,0.5502
16-DEC-2025,21STCENMGM,46.68,45.77,0.0197,0.0174,0.0174,0.3324
16-DEC-2025,360ONE,1133.40,1144.70,-0.0099,0.0228,0.0228,0.4356
16-DEC-2025,3IINFOLTD,16.09,16.21,-0.0074,0.0270,0.0270,0.5158
16-DEC-2025,3MINDIA,35373.00,35563.20,-0.0054,0.0177,0.0177,0.3382
16-DEC-2025,3PLAND,37.47,36.91,0.0151,0.0300,0.0300,0.5731
16-DEC-2025,500009,29.16,29.09,0.0024,0.0290,0.0289,0.5521
16-DEC-2025,500012,49.21,49.88,-0.0135,0.0247,0.0246,0.4700
16-DEC-2025,500014,4.81,5.07,-0.0526,0.0266,0.0268,0.5120
16-DEC-2025,500016,8.71,8.88,-0.0193,0.0316,0.0315,0.6018
16-DEC-2025,500028,37.68,37.81,-0.0034,0.0307,0.0306,0.5846
16-DEC-2025,500058,11.17,11.33,-0.0142,0.0279,0.0279,0.5330
16-DEC-2025,500068,12236.55,12266.65,-0.0025,0.0154,0.0154,0.2942
16-DEC-2025,500069,301.35,303.10,-0.0058,0.0253,0.0252,0.4814
16-DEC-2025,500123,9752.50,9651.10,0.0105,0.0229,0.0229,0.4375
16-DEC-2025,500142,10.75,10.84,-0.0083,0.0371,0.0370,0.7069
16-DEC-2025,500143,197.60,196.75,0.0043,0.0337,0.0336,0.6419
16-DEC-2025,500147,4989.65,5099.50,-0.0218,0.0354,0.0354,0.6763
16-DEC-2025,500159,119.95,123.15,-0.0263,0.0230,0.0230,0.4394
16-DEC-2025,500166,175.30,173.50,0.0103,0.0235,0.0234,0.4471
16-DEC-2025,500168,843.70,844.60,-0.0011,0.0117,0.0117,0.2235
16-DEC-2025,500170,22.88,21.68,0.0539,0.0304,0.0305,0.5827
16-DEC-2025,500192,1.94,1.92,0.0104,0.0297,0.0296,0.5655
16-DEC-2025,500202,9.48,9.04,0.0475,0.0370,0.0371,0.7088
16-DEC-2025,500206,75.33,78.60,-0.0425,0.0303,0.0304,0.5808
16-DEC-2025,500213,384.95,386.75,-0.0047,0.0239,0.0239,0.4566
16-DEC-2025,500220,159.85,159.00,0.0053,0.0289,0.0288,0.5502
16-DEC-2025,500239,16.55,16.51,0.0024,0.0326,0.0326,0.6228
16-DEC-2025,500240,276.85,284.00,-0.0255,0.0299,0.0299,0.5712
16-DEC-2025,500245,457.20,457.05,0.0003,0.0209,0.0209,0.3993
16-DEC-2025,500246,73.99,70.50,0.0483,0.0426,0.0426,0.8139
16-DEC-2025,500248,5.79,5.52,0.0478,0.0291,0.0293,0.5598
16-DEC-2025,500264,153.45,154.80,-0.0088,0.0315,0.0314,0.5999
16-DEC-2025,500267,331.80,331.55,0.0008,0.0242,0.0242,0.4623
16-DEC-2025,500270,118.00,118.70,-0.0059,0.0234,0.0234,0.4471
16-DEC-2025,500277,7.98,8.09,-0.0137,0.0384,0.0383,0.7317
16-DEC-2025,500285,30.88,31.71,-0.0265,0.0333,0.0333,0.6362
16-DEC-2025,500298,760.00,773.95,-0.0182,0.0291,0.0291,0.5560
16-DEC-2025,500307,500.15,505.05,-0.0097,0.0136,0.0136,0.2598
16-DEC-2025,500319,78.98,78.76,0.0028,0.0281,0.0280,0.5349
16-DEC-2025,500322,131.90,123.90,0.0626,0.0321,0.0323,0.6171
16-DEC-2025,500346,62.17,65.18,-0.0473,0.0318,0.0319,0.6094
16-DEC-2025,500357,9.15,9.15,0.0000,0.0325,0.0324,0.6190
16-DEC-2025,500360,132.32,137.24,-0.0365,0.0377,0.0377,0.7203
16-DEC-2025,500365,35.01,35.29,-0.0080,0.0268,0.0267,0.5101
16-DEC-2025,500370,34.08,34.03,0.0015,0.0356,0.0355,0.6782
16-DEC-2025,500388,117.45,113.05,0.0382,0.0341,0.0341,0.6515
16-DEC-2025,500414,368.70,367.15,0.0042,0.0331,0.0330,0.6305
16-DEC-2025,500421,15.64,15.60,0.0026,0.0326,0.0325,0.6209
16-DEC-2025,500422,166.89,163.62,0.0198,0.0386,0.0386,0.7375
16-DEC-2025,500426,2.58,2.63,-0.0192,0.0395,0.0394,0.7527
16-DEC-2025,500449,31.51,30.98,0.0170,0.0299,0.0299,0.5712
16-DEC-2025,500450,450.00,460.00,-0.0220,0.0297,0.0297,0.5674
16-DEC-2025,500458,30.00,30.03,-0.0010,0.0335,0.0334,0.6381
16-DEC-2025,500500,17.16,16.97,0.0111,0.0331,0.0330,0.6305
16-DEC-2025,500672,772.05,790.65,-0.0238,0.0171,0.0172,0.3286
16-DEC-2025,501110,7.15,7.15,0.0000,0.0006,0.0006,0.0115
16-DEC-2025,501111,12.14,11.57,0.0481,0.0018,0.0038,0.0726
16-DEC-2025,501144,190.30,190.30,0.0000,0.0215,0.0214,0.4088
16-DEC-2025,501148,445.85,448.05,-0.0049,0.0153,0.0153,0.2923
16-DEC-2025,501270,1.34,1.34,0.0000,0.0009,0.0009,0.0172
16-DEC-2025,501298,5599.90,5643.15,-0.0077,0.0231,0.0231,0.4413
16-DEC-2025,501311,23.00,22.63,0.0162,0.0316,0.0315,0.6018
16-DEC-2025,501314,0.66,0.67,-0.0150,0.0332,0.0331,0.6324
16-DEC-2025,501351,101.90,102.00,-0.0010,0.0303,0.0302,0.5770
16-DEC-2025,501370,125.00,133.00,-0.0620,0.0343,0.0345,0.6591
16-DEC-2025,501386,14.35,14.35,0.0000,0.0143,0.0143,0.2732
16-DEC-2025,501391,648.65,638.85,0.0152,0.0340,0.0339,0.6477
16-DEC-2025,501421,7737.45,7369.00,0.0488,0.0331,0.0332,0.6343
16-DEC-2025,501430,1679.60,1724.90,-0.0266,0.0287,0.0287,0.5483
16-DEC-2025,501477,263.50,264.00,-0.0019,0.0316,0.0315,0.6018
16-DEC-2025,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
16-DEC-2025,501622,72.83,72.83,0.0000,0.0267,0.0266,0.5082
16-DEC-2025,501630,24.48,24.48,0.0000,0.0021,0.0021,0.0401
16-DEC-2025,501700,6.71,6.66,0.0075,0.0274,0.0274,0.5235
16-DEC-2025,501833,21.91,21.10,0.0377,0.0309,0.0310,0.5923
16-DEC-2025,501848,61.14,61.39,-0.0041,0.0321,0.0320,0.6114
16-DEC-2025,501945,6.20,6.15,0.0081,0.0121,0.0121,0.2312
16-DEC-2025,502015,28.87,28.80,0.0024,0.0321,0.0320,0.6114
16-DEC-2025,502250,532.25,555.50,-0.0428,0.0295,0.0296,0.5655
16-DEC-2025,502281,9.59,9.62,-0.0031,0.0291,0.0290,0.5540
16-DEC-2025,502294,41.79,40.52,0.0309,0.0397,0.0397,0.7585
16-DEC-2025,502445,47.94,49.90,-0.0401,0.0362,0.0363,0.6935
16-DEC-2025,502587,66.15,65.66,0.0074,0.0257,0.0257,0.4910
16-DEC-2025,502589,121.00,121.00,0.0000,0.0295,0.0295,0.5636
16-DEC-2025,502850,14.32,14.32,0.0000,0.0049,0.0049,0.0936
16-DEC-2025,502865,320.25,322.95,-0.0084,0.0266,0.0265,0.5063
16-DEC-2025,502873,107.00,107.50,-0.0047,0.0295,0.0295,0.5636
16-DEC-2025,502893,82.90,82.90,0.0000,0.0440,0.0439,0.8387
16-DEC-2025,502901,99.13,98.00,0.0115,0.0253,0.0252,0.4814
16-DEC-2025,502933,100.00,99.80,0.0020,0.0304,0.0303,0.5789
16-DEC-2025,502958,7933.00,8000.00,-0.0084,0.0214,0.0213,0.4069
16-DEC-2025,503092,35.80,35.80,0.0000,0.0489,0.0488,0.9323
16-DEC-2025,503127,4664.95,4664.95,0.0000,0.0276,0.0275,0.5254
16-DEC-2025,503229,169.00,165.35,0.0218,0.0330,0.0329,0.6286
16-DEC-2025,503349,6420.00,6621.00,-0.0308,0.0279,0.0280,0.5349
16-DEC-2025,503622,7.71,7.71,0.0000,0.0025,0.0025,0.0478
16-DEC-2025,503624,7.66,7.73,-0.0091,0.0337,0.0336,0.6419
16-DEC-2025,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
16-DEC-2025,503635,51.59,49.14,0.0487,0.0164,0.0167,0.3191
16-DEC-2025,503639,7.24,7.24,0.0000,0.0367,0.0366,0.6992
16-DEC-2025,503641,2.50,2.46,0.0161,0.0414,0.0413,0.7890
16-DEC-2025,503657,14.39,14.26,0.0091,0.0290,0.0290,0.5540
16-DEC-2025,503659,96.53,96.53,0.0000,0.0287,0.0286,0.5464
16-DEC-2025,503663,2.28,1.93,0.1667,0.0225,0.0253,0.4834
16-DEC-2025,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
16-DEC-2025,503675,1.07,1.05,0.0189,0.0424,0.0423,0.8081
16-DEC-2025,503681,128444.00,127631.50,0.0063,0.3960,0.3950,7.5465
16-DEC-2025,503685,17.42,17.50,-0.0046,0.0354,0.0353,0.6744
16-DEC-2025,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
16-DEC-2025,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
16-DEC-2025,503772,66.03,66.03,0.0000,0.0297,0.0296,0.5655
16-DEC-2025,503776,40.00,36.80,0.0834,0.0390,0.0393,0.7508
16-DEC-2025,503804,236.05,239.85,-0.0160,0.0167,0.0167,0.3191
16-DEC-2025,503816,50.62,52.18,-0.0304,0.0289,0.0289,0.5521
16-DEC-2025,503837,14.65,13.97,0.0475,0.0355,0.0355,0.6782
16-DEC-2025,504000,80.85,81.01,-0.0020,0.0268,0.0267,0.5101
16-DEC-2025,504028,79.15,78.43,0.0091,0.0264,0.0264,0.5044
16-DEC-2025,504076,90.80,92.64,-0.0201,0.0335,0.0334,0.6381
16-DEC-2025,504080,1089.65,1089.65,0.0000,0.0346,0.0345,0.6591
16-DEC-2025,504084,923.75,900.20,0.0258,0.0271,0.0271,0.5177
16-DEC-2025,504092,792.85,780.35,0.0159,0.0313,0.0313,0.5980
16-DEC-2025,504093,320.90,322.00,-0.0034,0.0206,0.0206,0.3936
16-DEC-2025,504132,852.00,855.00,-0.0035,0.0305,0.0304,0.5808
16-DEC-2025,504176,536.75,541.00,-0.0079,0.0314,0.0313,0.5980
16-DEC-2025,504180,47.18,46.65,0.0113,0.0253,0.0252,0.4814
16-DEC-2025,504240,618.20,635.45,-0.0275,0.0302,0.0302,0.5770
16-DEC-2025,504258,766.00,766.25,-0.0003,0.0276,0.0275,0.5254
16-DEC-2025,504273,22.81,21.73,0.0485,0.0280,0.0281,0.5368
16-DEC-2025,504340,9.05,9.23,-0.0197,0.0171,0.0171,0.3267
16-DEC-2025,504351,1.76,1.79,-0.0169,0.0316,0.0315,0.6018
16-DEC-2025,504356,10.99,10.47,0.0485,0.0387,0.0388,0.7413
16-DEC-2025,504365,4.11,4.11,0.0000,0.0006,0.0006,0.0115
16-DEC-2025,504369,0.49,0.49,0.0000,0.0100,0.0099,0.1891
16-DEC-2025,504375,225.10,225.10,0.0000,0.0124,0.0124,0.2369
16-DEC-2025,504378,2.71,3.01,-0.1050,0.0314,0.0322,0.6152
16-DEC-2025,504380,57.20,60.31,-0.0529,0.0302,0.0303,0.5789
16-DEC-2025,504392,14.56,14.23,0.0229,0.0343,0.0343,0.6553
