MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,TATSILV,TATAAML-TATSILV,        18.76,        18.76,        18.88,        18.33,        18.74,                879117091.87,47064928,54968,        19.00,         8.40,TATA SILVER EXCHANGE TRADED FUND
N,EQ,TECH,BIRLASLAMC - TECH,        41.29,        41.20,        41.20,        40.77,        41.01,                   587339.78,14345,157,        49.77,        33.41,NIFTY IT TRI INDEX
N,EQ,TNIDETF,TATAAML - TNIDETF,        99.60,       101.09,       101.09,        97.82,        98.07,                  4237974.03,43087,736,       104.78,        76.95,NIFTY INDIA DIGITAL INDEX
N,EQ,TOP100CASE,ZERODHAAMC - TOP100CASE,        11.08,        11.23,        11.23,        11.01,        11.02,                  5912803.32,535982,1436,        11.46,         8.01,ZERODHA NIFTY 100 ETF
N,EQ,TOP10ADD,DSPAMC - TOP10ADD,       101.88,       101.87,       101.87,       101.03,       101.20,                 64913895.40,641309,425,       103.43,        86.50,NIFTY TOP 10 EQUAL WEIGHT INDEX
N,EQ,TOP15IETF,ICICIPRAMC - TOP15IETF,        11.08,        11.05,        11.06,        11.00,        11.01,                   524420.81,47571,191,        11.33,        10.00,NIFTY TOP 15 EQUAL WEIGHT INDEX
N,EQ,UNIONGOLD,UNIONAMC - UNIONGOLD,       130.60,       133.00,       133.00,       129.15,       129.65,                 49157107.40,380248,139,       134.40,        82.00,COMMODITY GOLD
N,EQ,UTIBANKETF,UTIAMC - UTIBANKETF,        61.42,        61.11,        61.17,        60.80,        60.95,                  1709970.93,28055,483,        63.10,        48.71,NIFTY BANK
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,        73.67,        73.31,        73.65,        73.00,        73.30,                  3258621.15,44504,740,        79.10,        59.90,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,       286.80,       286.04,       286.04,       284.50,       284.72,                  2784078.45,9759,292,       297.48,       235.00,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       937.77,       937.00,       938.00,       930.60,       932.97,                   879413.71,941,76,       952.48,       779.95,SENSEX
N,EQ,UTISXN50,UTIAMC - UTISXN50,        93.35,        91.01,        93.90,        91.01,        92.85,                   315298.66,3397,107,       102.25,        66.72,BSE SENSEX NEXT 50
N,EQ,VAL30IETF,ICICIPRAMC - VAL30IETF,        14.33,        14.32,        14.32,        14.17,        14.25,                   529902.36,37244,206,        14.68,        10.96,NIFTY200 VALUE 30 INDEX
