SECURITY,NEW,PREVIOUS,NEW_STATUS
360ONEAMC - SILVER360         ,194.28,191.80,H
ASL INDUSTRIES LIMITED        ,107.55,105.45,H
EDELAMC - ESILVER             ,196.70,194.47,H
FLYWINGS SIMULAT T C LTD      ,225.65,214.95,H
KNOWLEDGE MARINE & EN W L     ,3758.50,3628.60,H
MEESHO LIMITED                ,193.44,177.49,H
MIRAEAMC - MASILVER           ,188.65,188.50,H
NEPTUNE PETROCHEMICALS L      ,231.90,229.95,H
PAUSHAK LIMITED               ,633.05,625.00,H
SILVER TOUCH TECHNO LTD       ,886.00,866.00,H
SUSTAINABLE ENERGY INFRA      ,118.00,116.17,H
TATA MOTORS LIMITED           ,390.00,382.95,H
WELSPUN INV & COMM LTD        ,1549.00,1479.90,H
ZERODHAAMC - GOLDCASE         ,21.67,21.45,H
BRIGADE HOTEL VENTURE LTD     ,71.71,72.05,L
CHEMPLAST SANMAR LIMITED      ,255.00,255.85,L
CHETANA EDUCATION LIMITED     ,51.05,52.50,L
CORONA REMEDIES LIMITED       ,1380.10,1413.00,L
CRAYONS ADVERTISING LTD       ,37.00,38.50,L
DHANLAXMI CROP SCIENCE L      ,25.05,26.10,L
EMMVEE PHOTOVOLTAIC PWR L     ,184.45,185.05,L
ENCOMPASS DESIGN INDIA L      ,174.35,183.50,L
ESCONET TECHNOLOGIES LTD      ,138.05,140.65,L
HIGHWAY INFRASTRUCTURE L      ,59.35,59.58,L
HINDUSTAN CONSTRUCTION CO     ,3.58,4.01,L
INSPIRE FILMS LIMITED         ,10.80,11.00,L
KONSTELEC ENGINEERS LTD       ,44.90,46.00,L
MONEYBOXX FINANCE LIMITED     ,66.00,67.16,L
NEOCHEM BIO SOLUTIONS LTD     ,94.00,98.90,L
NOVA AGRITECH LIMITED         ,39.19,39.36,L
OPTIVALUE TEK CONSULT LTD     ,71.00,72.00,L
PATEL ENGINEERING LTD         ,0.81,1.35,L
PINE LABS LIMITED             ,225.00,230.28,L
PRESSTONIC ENGINEERING L      ,59.00,59.20,L
QUADPRO ITES LIMITED          ,2.50,2.60,L
RAJSHREE POLYPACK LTD         ,16.50,16.56,L
REXPRO ENTERPRISES LTD        ,44.15,46.55,L
SAPPHIRE FOODS INDIA LTD      ,226.79,231.69,L
SATI POLY PLAST LIMITED       ,59.50,60.00,L
SESHAASAI TECHNOLOGIES L      ,284.00,288.80,L
SHEEL BIOTECH LIMITED         ,73.20,73.30,L
SHEELA FOAM LIMITED           ,565.00,573.60,L
SHRI KANHA STAINLESS LTD      ,71.75,75.50,L
SIKKO INDUSTRIES LIMITED      ,4.76,5.00,L
STANLEY LIFESTYLES LTD        ,217.10,221.00,L
SUKHJIT STARCH & CHEM LTD     ,144.12,144.51,L
SULA VINEYARDS LIMITED        ,212.25,213.00,L
SWASTIK PIPE LIMITED          ,22.70,22.85,L
TENNECO CLEAN AIR INDIA L     ,447.45,454.70,L
URBAN COMPANY LIMITED         ,120.97,121.40,L
VIDYA WIRES LIMITED           ,48.65,48.78,L
VIKRAN ENGINEERING LTD        ,90.30,90.38,L
VRAJ IRON AND STEEL LTD       ,121.01,121.41,L
YASHO INDUSTRIES LIMITED      ,1479.90,1515.00,L
ZEAL GLOBAL SERVICES LTD      ,92.35,95.00,L
