Confirmed list of securities to be auctioned in A 2025238 to be held on Dec 16 2025.

Sr No,Symbol,Series,Total Qty
1,21STCENMGM,EQ,1721
2,AARTIIND,EQ,906
3,ABB,EQ,1
4,ABSMARINE,SM,500
5,ACC,EQ,444
6,ADANIENSOL,EQ,5
7,ADANIPOWER,EQ,638
8,AFCONS,EQ,1
9,ALIVUS,EQ,1
10,AMBER,EQ,1
11,AMBUJACEM,EQ,200
12,ANGELONE,EQ,197
13,APOLLO,EQ,2
14,ARVEE,EQ,11
15,ASIANPAINT,EQ,524
16,AURIGROW,EQ,25164350
17,AVG,EQ,3
18,BAJAJ-AUTO,EQ,1
19,BAJAJHFL,EQ,300
20,BAJFINANCE,EQ,150
21,BALKRISIND,EQ,6
22,BALRAMCHIN,EQ,10
23,BANKA,EQ,12
24,BECTORFOOD,EQ,100
25,BELRISE,EQ,50
26,BHARTIARTL,EQ,1
27,BIOCON,EQ,32
28,BPCL,EQ,18
29,CANBK,EQ,300
30,CAPILLARY,EQ,2
31,CESC,EQ,171
32,CHEVIOT,EQ,6
33,COCHINSHIP,EQ,100
34,COFORGE,EQ,1
35,CONCORDBIO,EQ,4
36,CORONA,EQ,594
37,CUPID,EQ,20
38,DIXON,EQ,1
39,DWARKESH,EQ,1
40,EDELWEISS,EQ,69
41,EICHERMOT,EQ,1
42,EKC,EQ,2
43,ELGIRUBCO,EQ,1
44,EMMVEE,EQ,98693
45,EVEREADY,EQ,1
46,EXCEL,EQ,8772
47,GAIL,EQ,200
48,GANESHIN,SM,800
49,GEOJITFSL,EQ,1000
50,GESHIP,EQ,80
51,GKENERGY,EQ,28030
52,GMRAIRPORT,EQ,420
53,GMRP&UI,EQ,45
54,GODAVARIB,EQ,39
55,GOLDADD,EQ,460
56,GOLDBEES,EQ,2075
57,GPTINFRA,EQ,4
58,GRAPHITE,EQ,3
59,GROWW,EQ,500
60,GUFICBIO,EQ,1
61,GVT&D,EQ,104
62,HCC,EQ,11679
63,HDFCBANK,EQ,120
64,HGM,EQ,335
65,HINDCOPPER,EQ,105
66,HINDZINC,EQ,251
67,HLVLTD,EQ,3
68,HUDCO,EQ,1
69,IBULLSLTD,EQ,20064
70,IDEA,EQ,7711
71,IDEAFORGE,EQ,10
72,IDFCFIRSTB,EQ,552
73,IDFNIFTYET,EQ,688
74,IMPAL,EQ,2
75,INDIGO,EQ,85
76,IOC,EQ,625
77,ITC,EQ,2
78,JIOFIN,EQ,10
79,JMA,EQ,755
80,JSWENERGY,EQ,1
81,JUNIORBEES,EQ,1
82,KAPSTON,EQ,43
83,KAYNES,EQ,1
84,KIRLOSENG,EQ,1
85,KOTHARIPRO,EQ,5
86,KPIGREEN,EQ,22
87,LATENTVIEW,EQ,2
88,LAXMICOT,EQ,41
89,LINCOLN,EQ,1
90,LIQUIDBEES,EQ,1
91,LODHA,EQ,1
92,LUMAXIND,EQ,1
93,M&MFIN,EQ,13
94,MAHABANK,EQ,1000
95,MAHAPEXLTD,EQ,214
96,MAHKTECH,EQ,7
97,MAHLOG,EQ,1
98,MANAKSTEEL,EQ,14
99,MASPTOP50,EQ,139
100,MAZDOCK,EQ,20
101,MEESHO,EQ,7665
102,MIDWESTLTD,EQ,2
103,MINDSPACE,RR,10
104,MOGOLD,EQ,2
105,MOTHERSON,EQ,112
106,MOTOGENFIN,EQ,506
