Date, ISIN, Scrip Name, NSE Symbol, MWPL, NCL Open Interest ,NCL FutEq OI
18-DEC-2025,INE775A01035,SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,542522848,288631800,182612639.662845
18-DEC-2025,INE028A01039,BANK OF BARODA,BANKBARODA,257509827,171568800,83888109.89912925
18-DEC-2025,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,38133766,12885000,8082009.996565
18-DEC-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,27232196,9607150,7314097.590177
18-DEC-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,119762774,69513150,44645400.3459765
18-DEC-2025,INE0DK501011,PIRAMAL PHARMA LIMITED,PPLPHARMA,120138597,53587625,22176999.8975575
18-DEC-2025,INE031A01017,HSG & URBAN DEV CORPN LTD,HUDCO,75071250,91699875,31617981.82290675
18-DEC-2025,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,62490435,23160875,13044121.93283825
18-DEC-2025,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,134225816,118087500,54492028.0847625
18-DEC-2025,INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,3401732,2791050,1380269.8861515
18-DEC-2025,INE138Y01010,KFIN TECHNOLOGIES LIMITED,KFINTECH,19911179,7769050,3106323.1319865
18-DEC-2025,INE0J1Y01017,LIFE INSURA CORP OF INDIA,LICI,32057152,25907700,10446338.895251
18-DEC-2025,INE758T01015,ETERNAL LIMITED,ETERNAL,1361988292,446413400,300646376.17726925
18-DEC-2025,INE465A01025,BHARAT FORGE LTD,BHARATFORG,35155737,13632000,7320293.16754
18-DEC-2025,INE745G01035,MULTI COMMODITY EXCHANGE,MCX,7635422,7390375,3045106.80317375
18-DEC-2025,INE018A01030,LARSEN & TOUBRO LTD.,LT,136007303,22387050,13826802.33037775
18-DEC-2025,INE494B01023,TVS MOTOR COMPANY  LTD,TVSMOTOR,35369445,10905825,7670313.64499575
18-DEC-2025,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,68856800,52097400,26036404.383726
18-DEC-2025,INE155A01022,TATA MOTORS PASS VEH LTD,TMPV,284575867,201442400,88059182.776048
18-DEC-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,61877951,43305000,22365655.300074
18-DEC-2025,INE878B01027,KEI INDUSTRIES LTD.,KEI,9313740,2240525,1133097.4684225
18-DEC-2025,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,281577339,58736500,28666409.76301275
18-DEC-2025,INE020B01018,REC LIMITED,RECLTD,187084550,180284775,92179352.9141615
18-DEC-2025,INE398R01022,SYNGENE INTERNATIONAL LTD,SYNGENE,28408333,13472000,8360932.66303
18-DEC-2025,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,6445442,7284400,2133127.917953
18-DEC-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,9647634,11476750,3586427.06273
18-DEC-2025,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,48653643,23382150,16679524.180858
18-DEC-2025,INE242A01010,INDIAN OIL CORP LTD,IOC,684903861,199182750,97236652.93187625
18-DEC-2025,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,16353614,4656700,2877845.893727
18-DEC-2025,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,89517840,21486900,10560211.101111
18-DEC-2025,INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,100261459,28496800,18577525.392928
18-DEC-2025,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,19990944,12132675,6271291.776672
18-DEC-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,73799006,37560625,23521682.07652925
18-DEC-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,6130387,2022625,1554669.1857575
18-DEC-2025,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,133166619,78928425,47190050.694018
18-DEC-2025,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19584741,3612375,2019429.162439
18-DEC-2025,INE059A01026,CIPLA LTD,CIPLA,57073940,23439375,13418388.7985175
18-DEC-2025,INE498L01015,L&T FINANCE LIMITED,LTF,126777205,97969184,40914005.69986166
18-DEC-2025,INE196A01026,MARICO LIMITED,MARICO,79408529,43094400,34008969.74958
18-DEC-2025,INE073K01018,SONA BLW PRECISION FRGS L,SONACOMS,67126548,23282875,14072821.2650235
18-DEC-2025,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37106075,19167750,8841713.3556825
18-DEC-2025,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,100245792,27500900,13838205.185954
18-DEC-2025,INE081A01020,TATA STEEL LIMITED,TATASTEEL,833987639,505593000,261243162.11917
18-DEC-2025,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,20374200,5006600,3062037.1852
18-DEC-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,30942206,43951851,19717399.64913204
18-DEC-2025,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,143933168,61606575,36790419.90744675
18-DEC-2025,INE388Y01029,FSN E COMMERCE VENTURES,NYKAA,205324177,87259375,50608696.608625
18-DEC-2025,INE530B01024,IIFL FINANCE LIMITED,IIFL,47888370,23486100,11364870.895818
18-DEC-2025,INE669C01036,TECH MAHINDRA LIMITED,TECHM,76137451,34188600,23252274.273378
