""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Dec 18, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,54323,56049,311940,330934,11251747,10808265,11327616,10793511,1481033,695633,1529982,672926,24602941,24711018
DII,94,263,169132,168025,0,947,0,1747,364,0,9295,0,170537,179330
FII,10610,11442,393607,362542,2583128,2576975,2577538,2590969,334956,170087,337700,172635,6069363,6052826
Pro,43944,41217,426416,439594,17339100,15047143,17268821,15047103,2902565,1566488,2841941,1586647,37325656,37225323
TOTAL,108971,108971,1301095,1301095,31173975,28433330,31173975,28433330,4718918,2432208,4718918,2432208,68168497,68168497
