""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Dec 18, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,187049,81375,2988065,358522,2735715,1904307,2649256,2319578,2671999,937076,1563945,1268218,11424211,8240895
DII,78344,33257,229052,4752763,5877,20156,0,0,475,17460,287013,833,351364,5073866
FII,16149,181631,3671498,2322714,543918,656757,585386,385525,115498,139193,186885,139147,5143013,3801288
Pro,46791,32070,903311,357927,932038,888349,982905,764465,1008248,1158016,1758377,843547,4936753,4739292
TOTAL,328333,328333,7791926,7791926,4217547,3469569,4217547,3469569,3796220,2251745,3796220,2251745,21855340,21855340
