"Volume and Turnover data of top 10 Clearing Members (no. of contracts) in Equity Derivatives as on Dec 18, 2025 (Amounts in Rs. Crore)",,,,,,,,,,
Serial Number,Indx Futures Vol(Contracts),Index Futures Trnvr(Crores),Stock Futures Vol(Contracts),Stock Futures Trnvr(Crores),Index Options Vol(Contracts),Index Options Trnvr(Crores),Indx Opt Trnvr(prm)(Crores),Stock Options Vol(Contracts),Stock Options Trnvr(Crores),Stock Opt Trnvr(prm)(Crores)
1,1814,307.62,6,0.42,424368961,71804103.38,44009.16,3,0.22,0.00
2,13151,2579.59,148621,10183.00,213636105,36514820.75,25135.46,2642814,186984.10,1924.36
3,2127,406.21,10001,653.53,71370746,12233956.44,11276.20,553315,38429.84,420.86
4,24428,4680.66,99120,6614.66,69836834,12092957.09,16336.26,957764,67201.22,806.50
5,6224,1181.14,33226,2248.09,52707966,9076013.37,9893.37,557793,39485.58,467.08
6,19263,3772.41,57537,3974.08,39733546,6801880.63,3831.93,233674,15237.61,159.21
7,6259,1222.20,108920,7091.05,35854672,6201927.78,4608.53,487902,33771.78,446.13
8,1927,369.07,4607,311.97,23980010,4106493.95,4522.20,113163,7821.93,100.55
9,47,9.12,505,37.05,19685792,3476817.02,7671.54,1126232,77460.64,927.45
10,8371,1636.14,38118,2610.20,14944401,2576198.99,2935.01,178717,12622.13,156.63
TOTAL,83611,16164.16,500661,33724.06,966119033,164885169.41,130219.66,6851377,479015.05,5408.77
Note: Turnover = traded quantity * (strike price + premium),,,,,,,,,,
Turnover in terms of premium = traded quantity * premium,,,,,,,,,,
