Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
18-Dec-25,MOTHERSON,117.15,119.55, -0.02027953,  0.02032227,  0.02032194,  0.38825017,117.39,119.73, -0.01973748,  0.02042167,  0.02041819,  0.39008905,  0.02041819,  0.39008905
18-Dec-25,MPHASIS,2887.9,2865.35,  0.00783909,  0.01884089,  0.01880192,  0.35921026,2891.1,2868.4,  0.00788267,  0.01868414,  0.01864578,  0.35622716,  0.01880192,  0.35921026
18-Dec-25,MUTHOOTFIN,3749.9,3766.4, -0.00439047,  0.01900121,  0.01895630,  0.36215951,3750.9,3769.2, -0.00486697,  0.01903032,  0.01898572,  0.36272173,  0.01898572,  0.36272173
18-Dec-25,NATIONALUM,279.25,279.45, -0.00071595,  0.02417051,  0.02410999,  0.46062067,279.55,279.7, -0.00053643,  0.02389892,  0.02383916,  0.45544655,  0.02410999,  0.46062067
18-Dec-25,NAUKRI,1333.7,1338.2, -0.00336839,  0.01907753,  0.01903121,  0.36359077,1336.5,1343.2, -0.00500057,  0.01893327,  0.01888922,  0.36087806,  0.01903121,  0.36359077
18-Dec-25,NBCC,108.25,109.55, -0.01193770,  0.02641650,  0.02636387,  0.50368094,108.37,109.71, -0.01228922,  0.02673277,  0.02667999,  0.50972051,  0.02667999,  0.50972051
18-Dec-25,NCC,153.05,155.3, -0.01459406,  0.02328814,  0.02325281,  0.44424434,153.3,155.97, -0.01726690,  0.02356745,  0.02354004,  0.44973189,  0.02354004,  0.44973189
18-Dec-25,NESTLEIND,1233.5,1234.6, -0.00089137,  0.01203289,  0.01200292,  0.22931541,1236.8,1235.9,  0.00072795,  0.01201460,  0.01198461,  0.22896567,  0.01200292,  0.22931541
18-Dec-25,NHPC,75.04,75.39, -0.00465334,  0.01891347,  0.01886901,  0.36049200,75.24,75.57, -0.00437637,  0.01921781,  0.01917209,  0.36628233,  0.01917209,  0.36628233
18-Dec-25,NIFTY,25815.55,25818.55, -0.00011620,  0.00739784,  0.00737946,  0.14098437,25880.6,25897.8, -0.00066437,  0.00738443,  0.00736611,  0.14072931,  0.00737946,  0.14098437
18-Dec-25,NIFTYNXT50,67830.25,68076.85, -0.00362895,  0.01043675,  0.01041399,  0.19895901,67881,68220, -0.00498160,  0.01036291,  0.01034298,  0.19760226,  0.01041399,  0.19895901
18-Dec-25,NMDC,76.51,77.28, -0.01001374,  0.01925464,  0.01921946,  0.36718728,76.72,77.35, -0.00817815,  0.01948674,  0.01944648,  0.37152457,  0.01944648,  0.37152457
18-Dec-25,NTPC,318.5,321.25, -0.00859716,  0.01397432,  0.01395253,  0.26656275,319.1,321.5, -0.00749301,  0.01390970,  0.01388500,  0.26527262,  0.01395253,  0.26656275
18-Dec-25,NUVAMA,7301.4,7171.05,  0.01801402,  0.02556560,  0.02553340,  0.48781493,7331.5,7201.5,  0.01789080,  0.02562140,  0.02558863,  0.48887013,  0.02558863,  0.48887013
18-Dec-25,NYKAA,244.1,245.1, -0.00408831,  0.01888331,  0.01883828,  0.35990477,245.05,246.05, -0.00407250,  0.01871074,  0.01866608,  0.35661492,  0.01883828,  0.35990477
