Date, ISIN, Scrip Name, NSE Symbol, MWPL, NCL Open Interest ,NCL FutEq OI
12-DEC-2025,INE615H01020,TITAGARH RAIL SYSTEMS LTD,TITAGARH,12028036,10639375,5206705.15722675
12-DEC-2025,INE07Y701011,HITACHI ENERGY INDIA LTD,POWERINDIA,1917916,1005600,300166.9115295
12-DEC-2025,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,338654719,145505000,68273885.7552
12-DEC-2025,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,176136372,106306200,75228803.718894
12-DEC-2025,INE417T01026,PB FINTECH LIMITED,POLICYBZR,51720057,10685150,6434856.65963
12-DEC-2025,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,22585180,21150000,12351893.52583125
12-DEC-2025,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,111956321,40130000,25658942.66955
12-DEC-2025,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,16915220,3768300,2374088.42530575
12-DEC-2025,INE211B01039,THE PHOENIX MILLS LTD,PHOENIXLTD,28283155,4878650,3045655.2564445
12-DEC-2025,INE584A01023,NMDC LTD.,NMDC,517037525,484346250,278948124.3865725
12-DEC-2025,INE733E01010,NTPC LTD,NTPC,572782298,147289500,94419313.902645
12-DEC-2025,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,955549,417435,242295.34880025
12-DEC-2025,INE457L01029,PG ELECTROPLAST LTD,PGEL,23897684,24041300,8148295.0953795
12-DEC-2025,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,12460000,4320184.69296725
12-DEC-2025,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,34712157,10536400,7931328.718344
12-DEC-2025,INE205A01025,VEDANTA LIMITED,VEDL,255091106,180976650,109121458.3284675
12-DEC-2025,INE018E01016,SBI CARDS & PAY SER LTD,SBICARD,39583537,24622400,14863609.207608
12-DEC-2025,INE522F01014,COAL INDIA LTD,COALINDIA,227199238,92165850,53946822.8505285
12-DEC-2025,INE066A01021,EICHER MOTORS LTD,EICHERMOT,20353850,7519025,3435202.52769125
12-DEC-2025,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,145993539,27448400,17361995.641312
12-DEC-2025,INE010B01027,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,32617803,17811900,10375623.982764
12-DEC-2025,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,446457456,258208600,147939193.159315
12-DEC-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,13082978,4096000,2688942.002935
12-DEC-2025,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,54776702,20403750,12028463.496425
