""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Dec 17, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,43616,39758,260485,266841,9929961,10522380,9922778,10551382,1282049,595787,1214155,594861,22634278,22589775
DII,1081,0,101405,94126,2927,976,0,4326,0,64,5164,0,106453,103616
FII,6986,14791,249684,261582,2000904,1882646,2020578,1888634,281666,152447,283198,146593,4574333,4615376
Pro,28855,25989,385971,374996,13484156,12509238,13474592,12470898,2324216,1347359,2385414,1354203,30079795,30086092
TOTAL,80538,80538,997545,997545,25417948,24915240,25417948,24915240,3887931,2095657,3887931,2095657,57394859,57394859
