Date, ISIN, Scrip Name, NSE Symbol, MWPL, NCL Open Interest ,NCL FutEq OI
17-DEC-2025,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,22585180,21459750,12557236.0507875
17-DEC-2025,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,14804525,4535877.26127925
17-DEC-2025,INE522F01014,COAL INDIA LTD,COALINDIA,227199238,93789900,53920156.327866
17-DEC-2025,INE417T01026,PB FINTECH LIMITED,POLICYBZR,51720057,11937100,6298786.664821
17-DEC-2025,INE205A01025,VEDANTA LIMITED,VEDL,255091106,207294400,104006613.4344375
17-DEC-2025,INE136B01020,CYIENT LIMITED,CYIENT,12039544,5557725,3012985.028191
17-DEC-2025,INE195A01028,SUPREME INDUSTRIES LTD,SUPREMEIND,7242074,4270000,1969025.52442575
17-DEC-2025,INE010B01027,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,32617803,18611100,10571121.992952
17-DEC-2025,INE584A01023,NMDC LTD.,NMDC,517037525,511386750,286791165.0378675
17-DEC-2025,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,488832949,136915900,80545414.832628
17-DEC-2025,INE07Y701011,HITACHI ENERGY INDIA LTD,POWERINDIA,1917916,951550,277054.378267
17-DEC-2025,INE457L01029,PG ELECTROPLAST LTD,PGEL,23897684,24139900,7805195.8870045
17-DEC-2025,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,338654719,151355000,68362179.00335
17-DEC-2025,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,955549,449805,248887.12384125
17-DEC-2025,INE066A01021,EICHER MOTORS LTD,EICHERMOT,20353850,7769975,3366113.37779
17-DEC-2025,INE733E01010,NTPC LTD,NTPC,572782298,146761500,91735849.07016
17-DEC-2025,INE018E01016,SBI CARDS & PAY SER LTD,SBICARD,39583537,27200000,15487340.791152
17-DEC-2025,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,446457456,269263000,151641796.05455
17-DEC-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,13082978,4667250,2804530.7779325
17-DEC-2025,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,111956321,43956000,26888176.53781
17-DEC-2025,INE211B01039,THE PHOENIX MILLS LTD,PHOENIXLTD,28283155,5328050,2908117.865408
17-DEC-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,409181558,282170000,137807357.30205
17-DEC-2025,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,16915220,4284675,2698323.1801245
17-DEC-2025,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,145993539,27993700,17105618.563334
17-DEC-2025,INE615H01020,TITAGARH RAIL SYSTEMS LTD,TITAGARH,12028036,10531350,5070448.04355775
17-DEC-2025,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,176136372,103743500,73358529.896491
17-DEC-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,52357280,24834000,12071813.926995
17-DEC-2025,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,54776702,21713125,12389860.5340375
17-DEC-2025,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,34712157,10737600,7998358.140368
17-DEC-2025,INE562A01011,INDIAN BANK,INDIANB,52862157,28579000,11772539.15048
17-DEC-2025,INE202E01016,INDIAN RENEWABLE ENERGY,IREDA,119011160,109554750,45977020.017567
17-DEC-2025,INE982J01020,ONE 97 COMMUNICATIONS LTD,PAYTM,95715382,34789125,18030534.21076075
17-DEC-2025,INE117A01022,ABB INDIA LIMITED,ABB,7946564,3977750,2274396.0533625
17-DEC-2025,INE134E01011,POWER FIN CORP LTD.,PFC,203602113,162879600,80203557.1311
17-DEC-2025,INE376G01013,BIOCON LIMITED.,BIOCON,90981174,95562500,43419324.268825
17-DEC-2025,INE002A01018,RELIANCE INDUSTRIES LTD,RELIANCE,662701060,175161000,102927124.17725
17-DEC-2025,INE070A01015,SHREE CEMENT LIMITED,SHREECEM,1548028,516975,305684.00083425
17-DEC-2025,INE531F01015,NUVAMA WEALTH MANAGE LTD,NUVAMA,2444664,853450,389818.263394
17-DEC-2025,INE160A01022,PUNJAB NATIONAL BANK,PNB,447910372,519992000,233281164.07824
17-DEC-2025,INE044A01036,SUN PHARMACEUTICAL IND L,SUNPHARMA,109220043,23720200,15749719.247206
17-DEC-2025,INE04I401011,KPIT TECHNOLOGIES LIMITED,KPITTECH,24568295,7960225,3579101.00417075
17-DEC-2025,INE548A01028,HFCL LIMITED,HFCL,147979599,209683050,90690177.113781
17-DEC-2025,INE040H01021,SUZLON ENERGY LIMITED,SUZLON,1813533848,565496200,250044138.53975775
17-DEC-2025,INE476A01022,CANARA BANK,CANBK,504315430,340179750,136330824.9004425
17-DEC-2025,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,81400589,92061000,52537087.998306
17-DEC-2025,INE148I01020,SAMMAAN CAPITAL LIMITED,SAMMAANCAP,122326971,213925000,92998609.406642
17-DEC-2025,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,63212268,23518750,12840226.52838125
17-DEC-2025,INE813H01021,TORRENT POWER LTD,TORNTPOWER,24646022,4809600,2741325.3686665
17-DEC-2025,INE095N01031,NBCC (INDIA) LIMITED,NBCC,154894704,165347000,87652378.231275
17-DEC-2025,INE062A01020,STATE BANK OF INDIA,SBIN,407307212,152499000,76922214.27945
17-DEC-2025,INE142M01025,TATA TECHNOLOGIES LIMITED,TATATECH,27246569,22888000,10526641.54584
17-DEC-2025,INE271C01023,DLF LIMITED,DLF,83667734,86074725,48951882.89449425
17-DEC-2025,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,8350688,3905000,2292170.1922125
17-DEC-2025,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,38514157,20370750,12722127.0647075
17-DEC-2025,INE249Z01020,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,11364224,10230625,4448225.91829425
17-DEC-2025,INE849A01020,TRENT LTD,TRENT,33590487,17030700,8797824.931476
17-DEC-2025,INE263A01024,BHARAT ELECTRONICS LTD,BEL,535778534,249714150,118280445.46853775
17-DEC-2025,INE093I01010,OBEROI REALTY LIMITED,OBEROIRLTY,17614093,8066450,4376302.434504
17-DEC-2025,INE669E01016,VODAFONE IDEA LIMITED,IDEA,8713529091,10488884775,6018799008.3146625
17-DEC-2025,INE016A01026,DABUR INDIA LTD,DABUR,89873278,42256250,19150769.9464375
17-DEC-2025,INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,48884739,43123750,21408415.455775
17-DEC-2025,INE343H01029,SOLAR INDUSTRIES (I) LTD,SOLARINDS,3644817,2114825,961667.35677975
17-DEC-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,316147681,125820000,76792409.6132125
17-DEC-2025,INE127D01025,HDFC AMC LIMITED,HDFCAMC,30518916,8800200,5013116.674374
17-DEC-2025,INE009A01021,INFOSYS LIMITED,INFY,341789333,114920400,71776610.558996
17-DEC-2025,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,61006521,23270000,12617045.88104375
17-DEC-2025,INE075A01022,WIPRO LTD,WIPRO,292948819,200052000,109096402.91985
17-DEC-2025,INE280A01028,TITAN COMPANY LIMITED,TITAN,41744334,15018675,9399499.894085
17-DEC-2025,INE663F01032,INFO EDGE (I) LTD,NAUKRI,60530911,13451625,8038502.4239175
17-DEC-2025,INE303R01014,KALYAN JEWELLERS IND LTD,KALYANKJIL,57552009,51023200,30220802.8457865
17-DEC-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12547731,6751500,3306176.36400525
17-DEC-2025,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,48077012,63166250,35904070.7239
17-DEC-2025,INE647A01010,SRF LTD,SRF,21205300,6823200,3510854.124334
17-DEC-2025,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,80203755,72561000,43721855.29862
17-DEC-2025,INE572E01012,PNB HOUSING FIN LTD.,PNBHOUSING,28062406,28301000,15583890.282012
17-DEC-2025,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,761294821,573751500,340164295.83621975
17-DEC-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,51907388,24133275,16245542.359944
17-DEC-2025,INE414G01012,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,16050690,8199400,3364101.5181125
17-DEC-2025,INE481G01011,ULTRATECH CEMENT LIMITED,ULTRACEMCO,11962066,4430100,2909581.608059
17-DEC-2025,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,281116345,136718250,88194358.4131425
17-DEC-2025,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,119296253,58867600,30952763.61771
17-DEC-2025,INE118H01025,BSE LIMITED,BSE,48385387,32716875,11853983.3584425
17-DEC-2025,INE356A01018,MPHASIS LIMITED,MPHASIS,14652855,8738675,6228436.0053355
17-DEC-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15240043,6821125,3354660.10072875
17-DEC-2025,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65659712,27511750,18404737.6190225
17-DEC-2025,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,133395043,134021250,53757385.7881125
17-DEC-2025,INE066P01011,INOX WIND LIMITED,INOXWIND,144708707,154002216,76266083.47452319
17-DEC-2025,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,32732860,36082950,12558110.900658
17-DEC-2025,INE323A01026,BOSCH LIMITED,BOSCHLTD,982526,340050,207943.32216975
17-DEC-2025,INE237A01028,KOTAK MAHINDRA BANK LTD,KOTAKBANK,215751979,56377200,39534094.603144
