INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,ANGELONE  ,24/02/2026,00002448.00,00002454.00,00002415.00,00002428.00,000000000042750,       26225775.00,            10750,              043,              041
FUTSTK    ,APLAPOLLO ,30/12/2025,00001731.10,00001782.00,00001726.50,00001769.50,000000007560000,     1916051620.00,          1087800,             3108,             2536
FUTSTK    ,APLAPOLLO ,27/01/2026,00001746.80,00001791.80,00001735.10,00001778.50,000000000255150,      354369610.00,           200900,              574,              524
FUTSTK    ,APLAPOLLO ,24/02/2026,00001748.00,00001797.00,00001748.00,00001791.00,000000000042000,        6841625.00,             3850,              011,              011
FUTSTK    ,APOLLOHOSP,30/12/2025,00007081.00,00007095.00,00006919.00,00006927.50,000000003238625,     3014137750.00,           432375,             3459,             2840
FUTSTK    ,APOLLOHOSP,27/01/2026,00007124.50,00007136.00,00006965.50,00006971.00,000000000229375,      620039250.00,            88375,              707,              493
FUTSTK    ,APOLLOHOSP,24/02/2026,00007097.00,00007098.00,00007000.00,00007003.50,000000000016625,       48406812.50,             6875,              055,              052
FUTSTK    ,ASHOKLEY  ,30/12/2025,00000166.03,00000166.50,00000164.75,00000166.15,000000140945000,     2805878300.00,         16930000,             3386,             2915
FUTSTK    ,ASHOKLEY  ,27/01/2026,00000164.23,00000165.37,00000163.66,00000165.16,000000018185000,      831883250.00,          5050000,             1010,              735
FUTSTK    ,ASHOKLEY  ,24/02/2026,00000164.02,00000164.50,00000163.25,00000164.30,000000000740000,       16385050.00,           100000,              020,              019
FUTSTK    ,ASIANPAINT,30/12/2025,00002797.50,00002806.70,00002772.30,00002785.60,000000011719000,     2643119950.00,           947500,             3790,             3412
FUTSTK    ,ASIANPAINT,27/01/2026,00002815.00,00002822.00,00002790.20,00002803.30,000000000521000,      668744500.00,           238500,              954,              866
FUTSTK    ,ASIANPAINT,24/02/2026,00002829.00,00002839.00,00002807.00,00002818.20,000000000066750,       19082675.00,             6750,              027,              024
FUTSTK    ,ASTRAL    ,30/12/2025,00001466.00,00001466.00,00001426.50,00001430.90,000000006908375,     1541879515.00,          1068875,             2515,             2180
FUTSTK    ,ASTRAL    ,27/01/2026,00001467.00,00001467.40,00001430.00,00001433.60,000000000661725,      249251577.50,           172550,              406,              337
FUTSTK    ,ASTRAL    ,24/02/2026,00001473.60,00001473.60,00001436.00,00001436.30,000000000050575,       14165420.00,             9775,              023,              023
FUTSTK    ,AUBANK    ,30/12/2025,00000984.50,00000998.40,00000983.85,00000988.70,000000019154000,     4802388500.00,          4843000,             4843,             4100
FUTSTK    ,AUBANK    ,27/01/2026,00000990.30,00001003.80,00000990.30,00000991.95,000000002466000,     1466567550.00,          1473000,             1473,             1041
FUTSTK    ,AUBANK    ,24/02/2026,00000999.95,00001004.75,00000994.60,00000994.85,000000000210000,       61937300.00,            62000,              062,              061
FUTSTK    ,AUROPHARMA,30/12/2025,00001172.90,00001197.80,00001172.90,00001195.30,000000021812450,     1628588170.00,          1369500,             2490,             2118
FUTSTK    ,AUROPHARMA,27/01/2026,00001186.90,00001204.10,00001185.00,00001202.20,000000000715000,      309992980.00,           259050,              471,              330
FUTSTK    ,AUROPHARMA,24/02/2026,00001198.10,00001209.50,00001198.10,00001209.50,000000000022550,        4643320.00,             3850,              007,              007
FUTSTK    ,AXISBANK  ,30/12/2025,00001224.80,00001238.00,00001222.40,00001228.60,000000069348750,     8765752312.50,          7115625,            11385,             9705
FUTSTK    ,AXISBANK  ,27/01/2026,00001234.00,00001245.00,00001233.50,00001236.10,000000008872500,     2376751187.50,          1917500,             3068,             2657
FUTSTK    ,AXISBANK  ,24/02/2026,00001244.10,00001251.90,00001240.90,00001242.60,000000000325625,       56106812.50,            45000,              072,              067
FUTSTK    ,BAJAJ-AUTO,30/12/2025,00009013.00,00009035.00,00008891.00,00008924.50,000000003272325,     3800817525.00,           424425,             5659,             3919
FUTSTK    ,BAJAJ-AUTO,27/01/2026,00009043.00,00009070.50,00008926.00,00008968.00,000000000283275,     1368358800.00,           152250,             2030,              727
FUTSTK    ,BAJAJ-AUTO,24/02/2026,00009071.00,00009071.00,00008988.00,00008997.50,000000000012825,       20316787.50,             2250,              030,              030
FUTSTK    ,BAJAJFINSV,30/12/2025,00002035.40,00002049.30,00002016.40,00002025.90,000000016246250,     2181490675.00,          1075750,             4303,             3011
FUTSTK    ,BAJAJFINSV,27/01/2026,00002051.10,00002060.90,00002029.80,00002039.10,000000002585500,      801228650.00,           393250,             1573,              608
FUTSTK    ,BAJAJFINSV,24/02/2026,00002066.60,00002066.60,00002042.00,00002050.90,000000000069000,       31861550.00,            15500,              062,              057
FUTSTK    ,BAJFINANCE,30/12/2025,00001001.00,00001012.80,00000996.90,00001003.10,000000079091250,     6993309375.00,          6960750,             9281,             5436
FUTSTK    ,BAJFINANCE,27/01/2026,00001007.90,00001018.60,00001003.00,00001009.00,000000010260000,     2654627400.00,          2631000,             3508,             1649
FUTSTK    ,BAJFINANCE,24/02/2026,00001015.00,00001023.20,00001009.00,00001014.60,000000000606750,       42614250.00,            42000,              056,              054
FUTSTK    ,BANDHANBNK,30/12/2025,00000150.00,00000150.50,00000148.25,00000148.63,000000106257600,       46171044.00,           309600,              086,              085
FUTSTK    ,BANDHANBNK,27/01/2026,00000150.74,00000150.74,00000149.92,00000149.92,000000006368400,        2704212.00,            18000,              005,              005
FUTSTK    ,BANDHANBNK,24/02/2026,00000149.30,00000149.30,00000149.30,00000149.30,000000000712800,         537480.00,             3600,              001,              001
FUTSTK    ,BANKBARODA,30/12/2025,00000283.60,00000289.20,00000283.05,00000288.15,000000079747200,     4613623121.25,         16061175,             5491,             4524
FUTSTK    ,BANKBARODA,27/01/2026,00000285.25,00000290.70,00000285.25,00000289.85,000000007520175,      903882183.75,          3132675,             1071,              987
FUTSTK    ,BANKBARODA,24/02/2026,00000287.00,00000292.20,00000287.00,00000291.20,000000000631800,       40758705.00,           140400,              048,              042
FUTSTK    ,BANKINDIA ,30/12/2025,00000139.94,00000143.09,00000139.83,00000142.44,000000047335600,     1340264120.00,          9422400,             1812,             1630
FUTSTK    ,BANKINDIA ,27/01/2026,00000140.18,00000143.90,00000140.18,00000143.27,000000002761200,      212137588.00,          1482000,              285,              271
FUTSTK    ,BANKINDIA ,24/02/2026,00000142.60,00000144.30,00000142.60,00000143.90,000000000306800,       14955460.00,           104000,              020,              019
FUTSTK    ,BDL       ,30/12/2025,00001351.70,00001358.00,00001323.20,00001328.00,000000004182425,     1519969652.50,          1135875,             3495,             2986
