INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00054900.00,PE      ,00000008.10,00000011.25,00000008.10,00000010.30,000000000010325,             7595,              217,              104,      417034597.00,          69097.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00055100.00,PE      ,00000011.20,00000011.20,00000009.00,00000010.35,000000000009905,             4200,              120,              051,      231463568.00,          43568.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00055300.00,PE      ,00000010.50,00000012.85,00000009.70,00000011.70,000000000018480,             9590,              274,              125,      530432992.25,         105992.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00055500.00,CE      ,00003650.00,00003719.80,00003550.00,00003670.00,000000000082320,              805,              023,              023,       47609609.25,        2932109.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00055500.00,PE      ,00000012.05,00000013.50,00000011.05,00000013.00,000000000282375,           544250,            15550,             6531,    30212490087.50,        6615087.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00055700.00,PE      ,00000012.70,00000018.00,00000011.50,00000014.20,000000000021735,            31780,              908,              401,     1770579889.75,         433889.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00055900.00,CE      ,00003407.80,00003407.80,00003196.55,00003216.60,000000000000560,              140,              004,              004,        8286085.50,         460085.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00055900.00,PE      ,00000015.15,00000017.20,00000014.05,00000016.20,000000000015225,            23625,              675,              520,     1321003036.50,         365536.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00056100.00,PE      ,00000017.05,00000019.45,00000015.85,00000018.00,000000000022890,            41545,             1187,              762,     2331413183.75,         738683.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00056300.00,CE      ,00002860.00,00002860.00,00002819.45,00002825.00,000000000000245,              175,              005,              005,       10347578.50,         495078.50
