Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
17-Dec-25,360ONE,1126.1,1133.4, -0.00646163,  0.02277844,  0.02272607,  0.43418104,1130.1,1133.2, -0.00273936,  0.02273281,  0.02267672,  0.43323812,  0.02272607,  0.43418104
17-Dec-25,ABB,5170.9,5241.9, -0.01363727,  0.01804884,  0.01802945,  0.34445216,5190,5262, -0.01377749,  0.01797919,  0.01796059,  0.34313662,  0.01802945,  0.34445216
17-Dec-25,ABCAPITAL,346.8,348.05, -0.00359790,  0.02037281,  0.02032337,  0.38827749,347.7,348.75, -0.00301529,  0.02043881,  0.02038889,  0.38952914,  0.02038889,  0.38952914
17-Dec-25,ADANIENSOL,977.55,994.3, -0.01698953,  0.02718484,  0.02714347,  0.51857532,981.3,995.95, -0.01481883,  0.02719222,  0.02714444,  0.51859389,  0.02714444,  0.51859389
17-Dec-25,ADANIENT,2232.5,2247.85, -0.00685217,  0.02413851,  0.02408301,  0.46010528,2241.8,2256.2, -0.00640287,  0.02449288,  0.02443574,  0.46684419,  0.02443574,  0.46684419
17-Dec-25,ADANIGREEN,1020.75,1028.2, -0.00727205,  0.02894833,  0.02888052,  0.55176154,1023.6,1030.8, -0.00700937,  0.02925257,  0.02918351,  0.55755013,  0.02918351,  0.55755013
17-Dec-25,ADANIPORTS,1486.3,1499, -0.00850841,  0.01893432,  0.01889655,  0.36101799,1491.8,1503.9, -0.00807829,  0.01893510,  0.01889639,  0.36101504,  0.01889655,  0.36101799
17-Dec-25,ALKEM,5628.5,5663.5, -0.00619910,  0.01363368,  0.01360672,  0.25995596,5635.5,5671.5, -0.00636776,  0.01364936,  0.01362245,  0.26025661,  0.01362245,  0.26025661
17-Dec-25,AMBER,6580.5,6779.35, -0.02977050,  0.02741054,  0.02742289,  0.52391351,6600,6793.5, -0.02889662,  0.02763642,  0.02764283,  0.52811559,  0.02764283,  0.52811559
17-Dec-25,AMBUJACEM,541.3,548.7, -0.01357819,  0.01648477,  0.01647158,  0.31468917,541.9,549.5, -0.01392729,  0.01663743,  0.01662486,  0.31761743,  0.01662486,  0.31761743
