Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            21972,           751215,           4447.85,000000002096460
FINNIFTY  ,              426,            27430,             75.15,000000000043730
MIDCPNIFTY,             3061,           422180,            580.05,000000002546640
NIFTY     ,            54857,          4046945,          10495.31,000000018569835
NIFTYNXT50,              222,             5550,             37.98,000000000029600
