""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Dec 17, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,187955,80555,3001628,353091,2648148,1641941,2485821,2071966,2721382,906961,1564379,1260810,11108015,7816623
DII,78593,33337,222592,4747410,5877,20956,0,0,475,17460,278082,833,345953,5059662
FII,16062,180712,3626053,2308334,508459,645027,555516,359801,113359,134950,182002,132356,5043909,3718721
Pro,50708,38714,891565,333003,900804,821522,1021951,697678,967043,1154989,1777796,820361,4786631,4689503
TOTAL,333318,333318,7741838,7741838,4063288,3129445,4063288,3129445,3802259,2214360,3802259,2214360,21284508,21284508
