CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKADANIPORTS27-JAN-2026,1512.1000000,1514.5000000,1514.5000000,1493.1000000,1500.1000000,1500.1000000,-0.7900000,4303.0000000,378100.0000000,796.0000000,567884017.5000000
FUTSTKADANIPORTS24-FEB-2026,1521.0000000,1523.3000000,1523.3000000,1504.8000000,1509.8000000,1509.8000000,-0.7300000,556.0000000,27075.0000000,57.0000000,40899020.0000000
FUTSTKADANIPORTS30-DEC-2025,1503.9000000,1504.9000000,1505.2000000,1484.4000000,1491.8000000,1491.8000000,-0.8000000,45195.0000000,1244025.0000000,2619.0000000,1858913972.5000000
FUTSTKAMBER24-FEB-2026,6678.5000000,6670.0000000,6670.0000000,6450.0000000,6460.5000000,6649.5000000,-0.4300000,90.0000000,1600.0000000,16.0000000,10424500.0000000
FUTSTKAMBER27-JAN-2026,6705.5000000,6685.0000000,6734.5000000,6493.5000000,6528.5000000,6528.5000000,-2.6300000,1613.0000000,49500.0000000,495.0000000,326173400.0000000
FUTSTKAMBER30-DEC-2025,6793.5000000,6824.5000000,6825.0000000,6565.0000000,6600.0000000,6600.0000000,-2.8400000,10054.0000000,285000.0000000,2850.0000000,1900265300.0000000
FUTSTKASHOKLEY24-FEB-2026,164.3700000,164.0200000,164.5000000,163.2500000,164.3000000,167.8900000,2.1400000,148.0000000,100000.0000000,20.0000000,16385050.0000000
FUTSTKASHOKLEY27-JAN-2026,165.2500000,164.2300000,165.3700000,163.6600000,165.1600000,165.1600000,-0.0500000,3637.0000000,5050000.0000000,1010.0000000,831883250.0000000
FUTSTKASHOKLEY30-DEC-2025,166.2500000,166.0300000,166.5000000,164.7500000,166.1500000,166.1500000,-0.0600000,28185.0000000,16930000.0000000,3386.0000000,2805878300.0000000
FUTSTKBHEL24-FEB-2026,283.6000000,283.1000000,283.6000000,279.7500000,280.6500000,280.7500000,-1.0000000,198.0000000,55125.0000000,21.0000000,15524250.0000000
FUTSTKBHEL30-DEC-2025,280.1500000,279.3500000,281.2000000,276.3500000,278.7500000,278.7500000,-0.4900000,22668.0000000,6974625.0000000,2657.0000000,1940648325.0000000
FUTSTKBHEL27-JAN-2026,281.9500000,280.5500000,282.9000000,278.1000000,280.5500000,280.5500000,-0.4900000,1370.0000000,950250.0000000,362.0000000,266167518.7500000
FUTSTKCUMMINSIND27-JAN-2026,4535.2000000,4525.7000000,4571.0000000,4525.7000000,4550.4000000,4550.4000000,0.3300000,373.0000000,23400.0000000,117.0000000,106504540.0000000
FUTSTKCUMMINSIND24-FEB-2026,4535.8000000,4545.0000000,4563.7000000,4545.0000000,4563.7000000,4559.9000000,0.5300000,44.0000000,800.0000000,4.0000000,3646600.0000000
