SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
MEESHO LIMITED,       180.29,       216.34,181034283,              36605726780.79
AKZO NOBEL INDIA LIMITED,      3624.00,      3132.70,10227719,              32255189274.20
HDFC BANK LTD,       994.30,       984.00,19080922,              18798880243.80
EPACK DURABLE LIMITED,       300.80,       302.70,56148747,              17815029736.70
AEQUS LIMITED,       139.99,       158.80,110460336,              17377113134.04
VEDANTA LIMITED,       569.50,       569.80,30344596,              17352391429.80
BHARTI AIRTEL LIMITED,      2102.00,      2108.00,6412516,              13507842168.00
ICICI BANK LTD.,      1366.00,      1352.40,9440391,              12750064577.50
POLYCAB INDIA LIMITED,      7361.50,      7079.50,1779522,              12671540492.00
NIPPONAMC - NETFSILVER,       184.69,       192.16,63395449,              12169057200.92
BSE LIMITED,      2605.90,      2630.50,4201851,              11102572457.90
KAYNES TECHNOLOGY IND LTD,      4186.50,      4093.50,2653164,              11081237040.00
RELIANCE INDUSTRIES LTD,      1542.30,      1544.40,7116649,              10989103491.90
HINDUSTAN ZINC LIMITED,       567.70,       578.30,18632926,              10826090633.35
SHRIRAM FINANCE LIMITED,       848.40,       864.20,11621162,              10039310521.05
SHAKTI PUMPS (I) LTD,       780.45,       707.40,12420617,               9086260615.35
INTERGLOBE AVIATION LTD,      4974.00,      4980.50,1600991,               7963275657.50
STATE BANK OF INDIA,       961.15,       975.85,8013382,               7811301076.05
ETERNAL LIMITED,       284.45,       284.45,27154430,               7764264865.70
INFOSYS LIMITED,      1592.90,      1602.00,4817628,               7709207454.90
NEPHROCARE HEALTH SERV L,       460.00,       471.25,15351924,               7424985845.10
VODAFONE IDEA LIMITED,        11.25,        11.13,627013751,               7033628800.10
INDRAPRASTHA GAS LTD,       183.42,       192.74,36312289,               7007742009.22
PARK MEDI WORLD LIMITED,       162.00,       147.95,41035070,               6523535075.25
AXIS BANK LIMITED,      1219.60,      1224.70,5147181,               6326524607.90
