MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AI,948SCL26D,SEC RE NCD 9.48% SR.V,       400.00,       333.00,       333.00,       333.00,       333.00,                    21645.00,65, ,4,       930.00,       333.00
N,N0,1075WCA28,WCAPL 10.75% 2028,      9257.62,      9601.00,      9700.00,      9263.47,      9700.00,                   153277.47,16, ,7,      9800.00,      9256.73
N,N0,118VCCL27B,VCCL 11.8% 2027 SR B,    100323.29,    100355.62,    100355.62,    100355.62,    100355.62,                   401422.48,4, ,3,    100452.60,     99600.00
N,N0,119VCCL26,VEDIKA CREDIT 11.9% 2026,     99950.00,     99950.00,     99950.00,     99950.00,     99950.00,                    99950.00,1, ,1,     99999.00,     90000.00
N,N0,12AFIL27A,AFIL 12% 2027,      9749.02,      9554.05,      9670.00,      8958.13,      9000.00,                   199607.95,22, ,11,     10000.00,      8958.13
N,N0,12AFIL28,AFIL 12% 2028,      9899.00,      9780.00,      9780.00,      9780.00,      9780.00,                     9780.00,1, ,1,      9900.00,      9400.00
N,N0,12VCCL29B,VCCL 12% 2029,     99999.00,     99999.00,    102000.00,     99999.00,    102000.00,                   201999.00,2, ,2,    103900.00,     96900.00
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,      1040.00,      1051.00,      1051.00,      1051.00,      1051.00,                    10510.00,10, ,2,      1065.00,       940.00
N,N0,930APMD31,APMD 9.30% 2031 STRPP E,    103363.00,    103001.00,    103001.00,    102500.00,    102500.00,                  1025501.00,10, ,6,    103620.00,    100100.00
N,N0,930APMD33,APMD 9.30% 2033 STRPP G,    104110.00,    104799.00,    105000.00,    104799.00,    105000.00,                   943995.00,9, ,3,    105000.00,    100561.00
N,N0,930APMD34,APMDC 9.30% 2034 STRPP H,    104787.18,    104501.00,    105400.00,    104501.00,    105400.00,                  1151309.00,11, ,2,    106868.00,    100663.00
N,N0,930APMD35,APMD 9.30% 2035 STRPP I,    105999.00,    105000.00,    105999.00,    105000.00,    105999.00,                   633987.00,6, ,5,    105999.00,    100000.00
N,N0,935TSI29,TSI 9.35% 29 SR I-C,    101988.30,    101650.00,    101650.00,    101600.00,    101600.00,                   203250.00,2, ,2,    104307.28,    101193.63
N,N0,935TSI30,TSI 9.35% 30 SR I-D,    102049.77,    102073.89,    102073.89,    102073.89,    102073.89,                  1020738.90,10, ,6,    112000.00,    101156.00
N,N0,935TSI32,TSI 9.35% 32 SR I-F,    102819.37,    102843.59,    102843.59,    102843.59,    102843.59,                   102843.59,1, ,1,    105709.00,    101760.72
N,N0,935TSIIC33,TSIIC 9.35% 2033 SR 1- G,    105000.00,    104000.00,    104100.00,    104000.00,    104100.00,                  1145000.00,11, ,2,    105778.60,    101107.72
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       251.00,       253.00,       253.00,       253.00,       253.00,                     5060.00,20, ,1,       261.00,       240.50
N,N1,0MOFSL26,SEC RE NCD SR II,      1144.90,      1144.90,      1144.90,      1144.90,      1144.90,                   148837.00,130, ,1,      1171.50,      1015.20
N,N1,1015UCL26,SEC RE NCD 10.15% SR I,      1038.88,       950.01,       950.01,       950.01,       950.01,                     1900.02,2, ,1,      1038.88,       855.00
N,N1,1025SCL34B,SEC RE NCD 10.25% SR XII,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                   300000.00,300, ,3,      1020.00,       781.00
N,N1,1025SCL34Z,SCL 10.25% 2034 SR XII,      1011.00,      1010.00,      1010.00,      1010.00,      1010.00,                    24240.00,24, ,1,      1170.00,       650.00
N,N1,1025UCL26A,SEC RE NCD 10.25% SR II,       980.14,       999.99,      1000.00,       991.01,       999.90,                    29954.40,30, ,4,      1196.00,       963.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,       996.00,       996.00,      1001.00,       995.00,      1001.00,                   157517.00,158, ,5,      1048.00,       850.00
N,N1,1075SCL34T,SCL 10.75% 2034 SR XI,       955.20,      1119.00,      1119.00,       959.98,       959.98,                    20789.80,20, ,2,      1119.00,       926.25
N,N1,740IIFCL33,7.40% TAX FREETRI SRIII,      1183.00,      1180.00,      1180.00,      1180.00,      1180.00,                  1180000.00,1000, ,1,      1600.00,      1094.10
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       310.00,       311.00,       311.10,       311.00,       311.05,                   270306.10,869, ,5,       342.10,       300.08
N,N1,865IHFL27,SEC RE NCD 8.65% SR III,       980.00,       985.00,       985.00,       985.00,       985.00,                     9850.00,10,XI,1,      1001.65,       825.20
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1020.00,      1006.10,      1015.00,      1006.10,      1015.00,                   211370.00,210, ,6,      1045.00,       990.25
N,N1,925SCL26F,SEC RE NCD 9.25% SR II,       986.10,       930.40,       990.00,       930.40,       990.00,                    34567.20,36, ,5,       990.00,       910.20
N,N1,948SCL27D,SEC RE NCD 9.48% SR V,       934.20,       984.00,       984.00,       984.00,       984.00,                    34440.00,35, ,2,      1000.00,       901.20
N,N1,948SCL28,SCL 9.48% SR V,       971.00,      1030.00,      1030.00,      1030.00,      1030.00,                     5150.00,5, ,1,      1030.00,       910.00
N,N1,971SCL29T,SCL 9.71% 2029 SR VIII,       901.20,       905.20,       905.20,       901.20,       901.20,                   180380.00,200, ,3,       979.90,       901.20
N,N1,990SCL27B,SEC RE NCD 9.90% SR IV,      1006.00,       990.00,       990.00,       990.00,       990.00,                    14850.00,15, ,1,      1006.25,       950.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       246.50,       258.00,       258.00,       258.00,       258.00,                    25800.00,100, ,1,       260.55,       240.00
N,N2,1075SCL33A,SEC RE NCD 10.75% SR XI,       945.00,       930.01,       930.01,       930.01,       930.01,                    33480.36,36, ,1,      1020.00,       801.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1145.12,      1144.01,      1152.75,      1144.00,      1152.75,                  2800019.19,2437, ,28,      1174.00,      1085.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       310.01,       312.93,       313.50,       312.00,       313.20,                   146998.35,471, ,7,       333.71,       301.03
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1041.37,      1041.50,      1045.00,      1041.50,      1042.80,                  1162610.95,1115, ,9,      1120.70,      1028.60
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1094.90,      1092.60,      1092.60,      1092.10,      1092.10,                  1092237.50,1000, ,4,      1149.00,      1040.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1044.25,      1046.00,      1046.00,      1044.25,      1046.00,                   556432.20,532, ,6,      1198.79,      1029.00
