MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,SPUNWEB,SPUNWEB NONWOVEN LIMITED,       140.00,       138.00,       140.00,       137.00,       140.00,                  1170000.00,8400, ,       173.55,       130.50
N,SM,SSFL,SRIVARI SPICES N FOODS L,       133.60,       134.50,       135.90,       133.60,       135.50,                   607000.00,4500, ,       248.30,       124.00
N,SM,SRIVASAVI,SRIVASAVI ADHESIVE TAPE L,        47.25,        47.25,        47.25,        45.10,        45.50,                   968550.00,21000, ,       110.50,        45.10
N,SM,STUDIOLSD,STUDIO LSD LIMITED,        13.85,        13.85,        14.00,        13.80,        14.00,                   111000.00,8000, ,        43.20,        13.00
N,SM,SUBAHOTELS,SUBA HOTELS LIMITED,       153.20,       150.00,       151.95,       148.75,       150.00,                  2519340.00,16800, ,       200.00,       132.00
N,SM,SEL,SUNGARNER ENERGIES LTD,       220.00,       215.00,       215.00,       212.00,       212.00,                    85400.00,400, ,       610.00,       181.10
N,ST,SUNLITE,SUNLITE RECYCLING IND LTD,       284.20,       284.20,       284.20,       271.15,       271.75,                  3308160.00,12000, ,       328.00,        91.00
N,SM,SUNTECH,SUNTECH INFRA SOLUTIONS L,        44.10,        44.10,        44.10,        43.00,        43.00,                   346720.00,8000, ,       110.00,        37.30
N,SM,SFML,SUPREME FACILITY MGMT LTD,        31.55,        32.00,        32.00,        30.60,        30.60,                   100160.00,3200, ,        75.00,        27.40
N,SM,SUPREMEPWR,SUPREME POWER EQUIPMENT L,       202.85,       203.85,       203.85,       193.60,       194.30,                  7667050.00,39000, ,       248.75,       100.00
N,SM,SURANI,SURANI STEEL TUBES LTD.,        64.00,        64.00,        64.00,        60.00,        60.15,                  1463980.00,24200, ,       211.10,        59.35
N,SM,SWARAJ,SWARAJ SUITING LIMITED,       254.60,       257.95,       258.00,       251.55,       251.80,                 14806950.00,58500, ,       287.45,       138.50
N,SM,SWASTIK,SWASTIK PIPE LIMITED,        23.65,        22.70,        23.65,        22.70,        23.45,                   138240.00,6000, ,        64.90,        22.70
N,SM,SYLVANPLY,SYLVAN PLYBOARD (INDIA) L,        63.00,        63.00,        63.00,        63.00,        63.00,                   252000.00,4000, ,        95.95,        55.00
N,ST,SYSTANGO,SYSTANGO TECHNOLOGIES LTD,       337.05,       337.05,       351.65,       331.00,       350.00,                  8084180.00,23600, ,       411.00,       192.25
