SECURITY,NEW,PREVIOUS,NEW_STATUS
360ONEAMC - SILVER360         ,198.00,194.28,H
AEQUS LIMITED                 ,164.39,160.65,H
ASL INDUSTRIES LIMITED        ,109.70,107.55,H
AXISAMC - AXISILVER           ,200.50,196.13,H
BANDHANAMC - SILVERBND        ,203.45,199.70,H
BIRLASLAMC - SILVER           ,201.39,193.80,H
CHOICEAMC - CHOICEGOLD        ,133.21,133.14,H
DSPAMC - DSPSILVETF           ,194.85,187.79,H
EDELAMC - EGOLD               ,143.00,134.20,H
EDELAMC - ESILVER             ,201.47,196.70,H
FLYWINGS SIMULAT T C LTD      ,236.90,225.65,H
GROWWAMC - GROWWSLVR          ,198.28,194.21,H
HDFCAMC - HDFCSILVER          ,193.88,187.10,H
HINDUSTAN CONSTRUCTION CO     ,5.12,4.82,H
ICICIPRAMC - ICICISILVE       ,201.40,196.92,H
KANDARP DG SMART BPO LTD      ,129.95,128.75,H
KOTAKMAMC - KOTAKSILVE        ,198.10,188.95,H
MEESHO LIMITED                ,216.34,193.44,H
MIRAEAMC - MASILVER           ,196.85,188.65,H
MOTILALAMC - MOSILVER         ,199.00,193.33,H
NEPHROCARE HEALTH SERV L      ,499.00,460.00,H
NEPTUNE PETROCHEMICALS L      ,239.00,231.90,H
NIKITA GRENTEC RECYCL LTD     ,156.00,155.00,H
NIPPONAMC - NETFSILVER        ,193.45,185.35,H
PARK MEDI WORLD LIMITED       ,165.87,162.00,H
SBIAMC - SBISILVER            ,197.85,190.00,H
TATA MOTORS LIMITED           ,397.50,390.00,H
TATAAML-TATSILV               ,19.73,19.00,H
THANGAMAYIL JEWELLERY LTD     ,3536.30,3470.00,H
THE INDIA CEMENTS LIMITED     ,445.00,430.45,H
UTIAMC - SILVERETF            ,195.59,187.77,H
ZERODHAAMC - SILVERCASE       ,20.88,20.68,H
AFFORD ROBO & AUTO LTD        ,203.58,204.00,L
ARUNAYA ORGANICS LIMITED      ,17.50,17.55,L
BRIGADE HOTEL VENTURE LTD     ,70.95,71.71,L
CHEMPLAST SANMAR LIMITED      ,250.50,255.00,L
CORONA REMEDIES LIMITED       ,1380.00,1380.10,L
DEEPAK BUILDERS & ENG I L     ,117.00,117.10,L
DEV ACCELERATOR LIMITED       ,40.11,40.37,L
DEV INFO TECHNOLOGY LTD       ,35.45,36.75,L
DIVYADHAN RECYCLING IND L     ,27.00,27.80,L
