Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
17-DEC-2025,20MICRONS,191.15,195.90,-0.0245,0.0288,0.0287,0.5483
17-DEC-2025,21STCENMGM,47.60,46.68,0.0195,0.0174,0.0174,0.3324
17-DEC-2025,360ONE,1126.10,1133.40,-0.0065,0.0228,0.0227,0.4337
17-DEC-2025,3IINFOLTD,15.93,16.09,-0.0100,0.0270,0.0269,0.5139
17-DEC-2025,3MINDIA,35127.90,35373.00,-0.0070,0.0177,0.0177,0.3382
17-DEC-2025,3PLAND,38.69,37.47,0.0320,0.0300,0.0300,0.5731
17-DEC-2025,500009,27.70,29.16,-0.0514,0.0289,0.0291,0.5560
17-DEC-2025,500012,48.19,49.21,-0.0209,0.0246,0.0246,0.4700
17-DEC-2025,500014,4.89,4.81,0.0165,0.0268,0.0267,0.5101
17-DEC-2025,500016,8.86,8.71,0.0171,0.0315,0.0315,0.6018
17-DEC-2025,500028,37.51,37.68,-0.0045,0.0306,0.0305,0.5827
17-DEC-2025,500058,11.02,11.17,-0.0135,0.0279,0.0278,0.5311
17-DEC-2025,500068,12106.05,12236.55,-0.0107,0.0154,0.0154,0.2942
17-DEC-2025,500069,307.60,301.35,0.0205,0.0252,0.0252,0.4814
17-DEC-2025,500123,9418.25,9752.50,-0.0349,0.0229,0.0229,0.4375
17-DEC-2025,500142,10.23,10.75,-0.0496,0.0370,0.0370,0.7069
17-DEC-2025,500143,196.00,197.60,-0.0081,0.0336,0.0335,0.6400
17-DEC-2025,500147,4865.45,4989.65,-0.0252,0.0354,0.0353,0.6744
17-DEC-2025,500159,121.35,119.95,0.0116,0.0230,0.0230,0.4394
17-DEC-2025,500166,174.75,175.30,-0.0031,0.0234,0.0234,0.4471
17-DEC-2025,500168,838.25,843.70,-0.0065,0.0117,0.0117,0.2235
17-DEC-2025,500170,21.95,22.88,-0.0415,0.0305,0.0306,0.5846
17-DEC-2025,500192,1.97,1.94,0.0153,0.0296,0.0296,0.5655
17-DEC-2025,500202,9.90,9.48,0.0434,0.0371,0.0371,0.7088
17-DEC-2025,500206,72.35,75.33,-0.0404,0.0304,0.0305,0.5827
