SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,51.40,51.40
WHEELS,18.75,18.75
RIIL,123.78,123.78
PREMIERPOL,16.58,16.58
RAYMOND,14.02,14.02
SHREDIGCEM,48.17,48.17
SESHAPAPER,18.55,18.55
SMLMAH,37.35,37.35
SUNDRMFAST,36.11,36.11
FACT,616.02,745.43
EXIDEIND,36.47,36.47
ELECON,21.13,24.37
CRISIL,44.53,44.53
LMW,157.58,156.58
NELCO,265.00,265.00
MASTEK,17.03,17.24
MAHSCOOTER,66.73,83.13
LUMAXIND,71.00,71.00
TRENT,95.60,95.60
KECL,305.77,
CUMMINSIND,66.39,66.73
KCP,8.08,7.46
JAYBARMARU,18.86,18.86
JBCHEPHARM,40.80,40.80
INFY,24.24,24.24
INDIAGLYCO,34.93,34.93
IONEXCHANG,27.59,27.59
IFBIND,52.14,52.14
IGPL,20.34,20.34
HIMATSEIDE,22.17,8.34
GNFC,13.19,13.19
BPCL,10.49,10.33
BHARATFORG,65.77,65.56
BASF,42.60,43.28
FORCEMOT,26.08,37.03
ATUL,33.30,33.30
ARVIND,21.92,21.92
ACC,13.78,14.27
TMPV,5.97,5.82
SCI,11.60,11.60
LINDEINDIA,116.79,116.79
HINDPETRO,9.14,9.14
ESCORTS,32.81,34.48
RELINFRA,0.69,0.80
BAJAJHLDNG,60.68,186.53
ASHOKLEY,28.52,28.65
VOLTAS,60.51,60.51
TITAN,93.98,93.98
TATASTEEL,51.90,48.24
SUNDARMFIN,29.05,29.05
SPIC,12.94,12.94
VEDL,11.19,12.38
SBIN,10.96,10.96
RELIANCE,22.20,22.20
PFIZER,28.41,33.98
NOCIL,27.88,27.88
BOSCHLTD,40.13,48.23
DRREDDY,18.61,18.61
BATAINDIA,58.47,55.66
DEEPAKFERT,15.59,15.59
CHAMBLFERT,11.04,11.04
CARBORUNIV,81.02,112.21
MAHSEAMLES,8.53,8.51
HINDOILEXP,13.88,17.72
DICIND,28.23,29.17
COROMANDEL,29.87,34.01
BALMLAWRIE,14.90,14.90
WILLAMAGOR,1.22,1.22
VINDHYATEL,21.68,21.68
MOTOGENFIN,123.32,123.32
ASIANPAINT,76.49,71.35
RAMCOCEM,78.06,216.93
INDIACEM,,547.15
PGHL,31.39,31.39
BEML,47.57,47.57
ADOR,49.93,41.99
CENTENKA,16.39,16.39
TATACHEM,54.55,39.53
TORNTPHARM,63.65,63.10
VTL,15.96,15.96
SUNDROP,,65.35
FEDERALBNK,15.72,15.72
EPL,17.46,17.31
VLSFINANCE,38.84,38.84
SUPREMEIND,55.32,55.32
SRF,62.47,62.47
BIRLACABLE,65.69,65.69
BALRAMCHIN,23.54,23.54
AEGISLOG,32.33,32.33
WEIZMANIND,18.12,18.12
UNICHEMLAB,25.01,25.01
BBOX,40.44,31.67
HONAUT,58.77,58.77
JTEKTINDIA,54.99,55.42
SAURASHCEM,66.81,171.81
RANEHOLDIN,8.85,54.33
PRECOT,11.39,11.39
TATAELXSI,41.78,41.78
SUNPHARMA,41.05,37.13
KOHINOOR,0.27,
SHREYANIND,4.50,4.50
SANDESH,9.67,9.75
HCC,13.72,
APOLLOHOSP,63.55,63.55
ARE&M,19.61,21.51
ADANIENT,62.96,74.40
IVP,17.11,17.11
BALKRISIND,31.62,31.62
INDBANK,19.67,19.67
GINNIFILA,17.42,14.19
EICHERMOT,46.61,46.61
GVT&D,100.85,100.85
NEULANDLAB,117.44,157.60
ONGC,7.30,7.28
ZENSARTECH,24.65,24.65
TAINWALCHM,28.82,28.82
BERGEPAINT,56.87,55.48
BANARISUG,39.78,39.78
JINDALPOLY,,38.79
ANIKINDS,65.93,65.93
KPIL,28.37,28.37
JYOTISTRUC,29.24,29.24
IGARASHI,75.23,75.23
BSL,25.39,25.39
BLUEDART,51.54,51.54
JAYNECOIND,29.73,29.73
MUNJALSHOW,19.33,19.33
APCOTEXIND,33.48,33.48
SOTL,19.49,19.49
HSCL,38.00,38.00
RCF,27.50,27.76
RANASUG,5.53,5.53
KARURVYSYA,11.82,11.82
DECCANCE,53.81,53.81
ARENTERP,182.11,182.11
UFLEX,11.18,8.68
TATAPOWER,28.79,27.88
ADVANIHOTR,21.07,21.07
THOMASCOOK,26.89,26.28
SUNFLAG,23.62,23.62
SUBROS,35.49,35.49
SPMLINFRA,28.16,28.16
SIMPLEXINF,85.42,198.21
SIEMENS,55.33,55.33
BHARATRAS,28.16,26.18
WIPRO,20.16,20.16
VSTIND,14.68,20.43
JUBLPHARMA,36.95,34.97
UNIVCABLES,48.86,48.86
TATACOMM,36.33,56.08
TOKYOPLAST,104.66,104.66
SOMANYCERA,32.12,31.40
MURUDCERA,20.87,20.87
IFCI,25.86,25.66
HLVLTD,29.37,30.55
SANOFI,26.49,26.95
M&M,34.08,34.08
LIBERTSHOE,38.68,34.57
KAJARIACER,49.94,49.94
KABRAEXTRU,35.85,52.17
HEIDELBERG,33.70,33.70
MODTHREAD,48.71,48.71
MANGLMCEM,34.66,34.66
PRSMJOHNSN,161.91,
POLYPLEX,12.62,12.62
PIDILITIND,67.98,67.41
PCBL,29.77,29.74
3PLAND,32.37,32.37
OSWALAGRO,6.43,6.43
EIHAHOTELS,22.99,21.98
HONDAPOWER,32.27,32.27
JINDALSAW,7.31,7.31
SAIL,20.75,20.62
