SYMBOL,SYMBOL P/E,ADJUSTED P/E
RUBYMILLS,16.37,16.37
STYRENIX,15.89,15.89
ABB,61.76,61.76
IDBI,13.59,13.59
GRAPHITE,29.56,29.56
CANFINHOME,13.85,13.85
BRITANNIA,66.17,66.17
BBL,23.04,23.04
ELECTCAST,8.03,8.03
DHAMPURSUG,16.41,16.41
DCMSHRIRAM,31.24,31.24
DABUR,50.28,50.28
COSMOFIRST,12.57,12.57
CIPLA,22.40,22.40
HEROMOTOCO,26.28,26.28
HDFCBANK,21.22,20.94
HARRMALAYA,11.42,11.42
GMBREW,17.15,17.15
GIPCL,11.46,11.46
ITC,24.94,24.93
INDIANHUME,3.88,24.92
HINDCOMPOS,18.21,13.35
IOC,16.29,18.61
OSWALGREEN,81.74,81.74
HUHTAMAKI,21.33,22.01
RICOAUTO,51.12,49.28
KAMATHOTEL,13.90,13.88
IFBAGRO,36.60,36.60
BANCOINDIA,23.38,23.38
MANINDS,19.71,19.71
APOLLOTYRE,39.03,41.32
SIYSIL,15.26,15.26
SHANTIGEAR,37.36,37.36
PRECWIRE,45.28,45.28
ONWARDTEC,18.97,18.97
NILKAMAL,21.88,21.88
NCC,11.81,11.81
ICIL,26.75,26.75
SEAMECLTD,21.85,21.88
ELGIEQUIP,42.78,42.78
AUROPHARMA,20.02,20.02
BBTC,6.25,6.32
EIHOTEL,35.71,30.98
LICHSGFIN,5.26,5.26
GICHSGFIN,7.10,6.63
BEPL,12.85,12.85
BANARBEADS,27.17,27.17
MOREPENLAB,24.03,24.03
WSTCSTPAPR,9.83,9.83
VENKEYS,35.42,35.42
GHCL,8.79,8.79
S&SPOWER,2392.95,236.23
PRUDMOULI,12.49,12.49
PRAJIND,45.29,45.29
BPL,,4.58
TRANSWORLD,18.12,11.89
KEEPLEARN,78.11,78.11
PGHH,50.69,50.69
VESUVIUS,37.27,37.27
TFCILTD,27.46,27.46
BOMDYEING,5.47,157.04
NAVNETEDUL,14.59,16.24
GUJALKALI,76.71,76.71
AGI,13.42,13.42
GLAXO,46.09,46.26
TATACONSUM,81.95,82.63
ZEEL,12.63,11.64
CHOLAFIN,32.53,32.53
INDHOTEL,50.45,57.67
FMGOETZE,14.17,14.17
KOTAKBANK,22.87,22.87
LYKALABS,34.78,34.78
ORIENTHOT,37.03,37.03
JAYSREETEA,3.33,6.87
GILLETTE,46.67,46.67
GOLDENTOBC,8.15,9.25
KANSAINER,16.50,30.56
FOSECOIND,46.66,46.66
ESABINDIA,54.16,54.16
3MINDIA,80.23,80.23
ANDHRAPAP,16.30,16.30
GABRIEL,56.16,56.16
SCHAEFFLER,59.27,59.27
AARTIIND,56.89,57.66
RALLIS,30.52,30.63
AMJLAND,10.26,10.26
PRAKASH,6.68,6.68
MFSL,171.31,171.31
KSB,53.11,53.11
KOPRAN,18.03,18.03
HEG,56.13,56.13
GREAVESCOT,285.74,
GODFRYPHLP,45.07,45.07
VARDMNPOLY,10.73,10.73
SURYAROSNI,20.25,20.25
TATAINVEST,167.92,167.92
TIMKEN,50.96,50.96
SUDARSCHEM,99.77,
SHREECEM,62.98,62.98
SAKHTISUG,10.83,17.49
IPCALAB,44.12,41.01
INGERRAND,42.08,42.08
AKZOINDIA,40.66,40.66
HINDALCO,11.11,10.86
HINDZINC,23.42,23.28
HINDUNILVR,49.47,50.21
GSFC,10.85,10.93
GRASIM,22.81,22.43
AMBUJACEM,25.44,25.50
FINPIPE,29.38,29.38
FINCABLES,20.88,22.63
EIDPARRY,8.92,10.31
DCW,50.79,50.79
DCM,63.55,63.55
CGPOWER,100.64,100.64
HEUBACHIND,16.67,14.91
CESC,15.59,15.59
BIRLACORPN,21.69,20.14
BHEL,420.49,420.49
BHARATGEAR,24.17,
BEL,51.88,51.88
BAJFINANCE,35.26,35.26
ASHAPURMIN,22.57,22.57
PVP,,3235.00
NAVA,11.59,11.59
CORALFINAC,10.43,10.43
GREENPLY,27.31,28.16
PARASPETRO,1371.16,1371.16
AUTOAXLES,17.47,17.47
REMSONSIND,21.32,20.50
DALMIASUG,6.65,6.65
NATCOPHARM,9.74,9.74
KHAITANLTD,7.42,7.42
SWARAJENG,25.98,25.98
MRF,35.99,35.99
GARFIBRES,28.06,28.06
ANDHRSUGAR,20.59,14.81
TNPETRO,12.12,13.29
TTKPRESTIG,92.97,43.14
STARPAPER,6.27,6.27
SKFINDIA,16.87,16.87
AUSOMENT,8.64,8.64
EIMCOELECO,18.62,18.62
PANACEABIO,193.53,
JAYAGROGN,11.23,11.23
CUBEXTUB,19.55,19.55
MARICO,56.51,56.51
SILINV,15.34,15.34
SAMBHAAV,1311.42,1311.42
REGENCERAM,38.92,38.92
BIOFILCHEM,20.02,20.02
KEYFINSERV,18.82,18.82
ZENITHEXPO,42.67,
SUNDRMBRAK,83.53,83.53
SANGAMIND,112.68,84.57
MOTHERSON,40.57,39.85
VISAKAIND,14.52,58.41
AARTIDRUGS,18.74,18.74
STERTOOLS,20.02,20.02
CREST,14.94,14.94
INDIANCARD,5.35,8.15
HITECHGEAR,38.51,38.51
WENDT,45.98,45.98
DENORA,186.81,186.81
TVSSRICHAK,120.84,181.38
SHRIRAMFIN,16.63,18.76
PUNJABCHEM,33.92,32.20
MIRZAINT,40.97,
ELECTHERM,2.99,4.48
DYNAMATECH,141.27,141.27
GANESHHOU,11.71,11.71
MMFL,15.83,15.84
JAGSNPHARM,21.72,30.97
ALKYLAMINE,43.54,43.54
JCHAC,108.09,99.67
MPHASIS,31.37,31.37
RUCHINFRA,19.90,19.90
ATLASCYCLE,7.20,7.20
RAMCOIND,26.19,26.19
KOTHARIPET,11.60,11.60
HERITGFOOD,25.05,23.80
INDRAMEDCO,26.74,26.74
BANKBARODA,7.61,7.61
MADRASFERT,17.98,17.98
GAIL,10.85,13.31
INDNIPPON,20.54,20.54
SKMEGGPROD,28.73,28.73
TCIFINANCE,3.93,4.15
BANKINDIA,6.77,6.51
CONCOR,30.23,29.61
ICICIBANK,17.32,17.32
HUDCO,15.19,15.19
INDSWFTLAB,3.37,40.19
SAREGAMA,35.91,36.61
FDC,25.46,25.46
ENGINERSIN,22.47,22.47
ADROITINFO,61.19,
JAICORPLTD,14.35,14.35
ANTGRAPHIC,12.77,12.77
GMDCLTD,24.87,24.87
MAHAPEXLTD,11.07,23.45
INDUSINDBK,65.27,65.27
ASAHIINDIA,73.32,78.65
J&KBANK,5.11,5.11
CUB,17.23,17.23
SOUTHBANK,7.70,7.70
ASTRAZEN,122.93,106.59
CEMPRO,34.69,34.69
AXISBANK,13.56,13.56
CYIENT,19.20,19.20
SONATSOFTW,22.56,22.56
CYBERTECH,12.75,12.75
DHANBANK,11.37,11.37
SANGHVIMOV,16.41,16.41
STCINDIA,99.96,20.68
RSSOFTWARE,160.84,160.84
VIPCLOTHNG,40.26,40.26
NATIONALUM,8.79,8.79
IVC,14.25,14.25
JINDALSTEL,34.24,2699.09
ALEMBICLTD,18.13,18.13
ICDSLTD,27.39,27.39
BSOFT,25.09,25.09
HCLTECH,26.39,26.39
ACCELYA,15.18,15.18
STAR,20.98,19.04
ZYDUSLIFE,19.84,19.46
GLENMARK,73.61,44.61
RAJESHEXPO,160.39,160.39
SHREERAMA,15.08,15.08
BLUECOAST,0.79,
NRBBEARING,30.85,137.87
IOB,18.25,18.25
GVPIL,112.87,112.87
BIL,51.49,51.49
KTKBANK,6.44,6.44
BLBLIMITED,11.90,11.90
AJANTPHARM,34.88,34.88
BLUESTARCO,68.35,69.57
CALSOFT,32.55,32.55
TVSMOTOR,331.46,331.46
PNBGILTS,4.25,4.28
TAJGVK,19.96,19.96
NLCINDIA,11.17,11.17
KRBL,16.63,16.63
HAVELLS,62.80,62.80
GAEL,22.31,22.31
USHAMART,36.06,36.06
AXISCADES,67.54,64.79
BALAJITELE,15.75,15.75
UMIYA-MRO,4.45,4.45
TIPSMUSIC,41.89,41.89
HIKAL,47.29,47.29
TRIDENT,31.51,31.51
MARKSANS,31.37,31.37
NEXTMEDIA,0.70,
GOLDTECH,16.81,
SMARTLINK,14.33,14.33
GODREJCP,65.26,63.45
JISLJALEQS,112.85,112.85
LUPIN,25.66,25.66
UNITDSPR,69.18,66.75
TCI,23.08,23.08
MPSLTD,21.66,22.25
BHARTIARTL,32.12,38.48
ASAL,51.05,51.05
OLECTRA,71.13,70.88
PONNIERODE,15.30,22.20
PNB,8.65,8.65
APTECHT,27.62,27.22
SURANAT&P,11.05,11.10
TEAMGTY,105.95,105.95
OFSS,28.33,28.33
UNIONBANK,6.34,6.34
NUCLEUS,14.62,14.62
CANBK,8.16,8.16
GENESYS,30.35,30.35
OMAXAUTO,8.09,22.13
GODREJIND,22.25,22.25
DIVISLAB,72.93,72.93
RADICO,106.47,105.08
INDORAMA,16.85,16.85
MARUTI,35.93,35.93
VARDHACRLC,32.88,32.88
UCOBANK,14.39,14.39
BAGFILMS,11.97,11.97
JSL,25.68,25.63
NSIL,82.04,82.04
WELSPUNLIV,23.78,23.78
JAIBALAJI,13.66,13.66
IGL,19.67,19.67
TVTODAY,26.20,26.20
UPL,39.70,32.03
MUKANDLTD,23.60,23.60
PETRONET,11.01,11.01
PTC,5.01,6.69
VAIBHAVGBL,24.34,24.34
BIOCON,78.35,84.06
MAHABANK,7.47,7.47
XPROINDIA,125.02,125.02
RKFORGE,22.23,21.90
DATAMATICS,22.95,26.60
CCL,42.11,42.11
EXCELINDUS,13.23,13.23
LT,30.10,30.71
APARINDS,40.71,40.71
AMBICAAGAR,85.75,85.75
CENTEXT,17.31,17.31
NIITLTD,26.45,25.38
ULTRACEMCO,48.45,48.19
TCS,23.42,23.42
COFORGE,57.80,56.90
GULFPETRO,6.89,6.89
GUFICBIO,57.00,57.00
ASTRAMICRO,54.81,54.81
WELENT,18.36,18.39
NTPC,13.77,13.77
KOTARISUG,19.05,32.91
JBMA,50.14,50.14
DWARKESH,30.54,30.54
SUPRAJIT,57.81,57.81
PATELENG,10.76,6.94
XCHANGING,17.29,17.29
JSWSTEEL,50.60,47.86
CONSOFINVT,5.72,5.72
JPPOWER,16.50,16.50
EVEREADY,28.81,26.93
GOKEX,34.88,34.88
SAKSOFT,22.81,22.81
ALLDIGI,19.29,19.22
IIFL,46.87,14.71
SHOPERSTOP,272.63,246.00
WELCORP,15.31,21.38
SSWL,15.00,15.00
CYBERMEDIA,,40.10
SURYALAXMI,23.74,25.76
JKPAPER,17.36,17.36
PRIMESECU,25.19,25.19
GRANULES,29.05,29.18
JSWHL,132.63,132.63
VHL,697.14,697.14
GEOJITFSL,14.77,14.77
GENUSPOWER,23.99,23.99
YESBANK,24.63,24.63
SPLIL,13.23,13.23
GOLDIAM,32.71,32.71
RML,84.44,48.21
HTMEDIA,13.35,11.21
SASKEN,42.82,42.82
FCSSOFT,119.33,119.37
IMPAL,15.43,15.03
SUZLON,34.50,34.50
AURIONPRO,31.72,31.72
BASML,18.44,18.44
TRIVENI,39.02,39.02
AIAENG,32.23,32.23
NAHARINDUS,22.22,20.73
ORIENTCER,43.68,43.68
EKC,10.65,11.17
VIMTALABS,37.38,37.38
KERNEX,32.35,32.35
NITINSPIN,10.28,10.28
ROHLTD,22.99,22.99
ENIL,44.78,44.78
GSPL,9.78,9.78
JAGRAN,12.71,12.71
SAKUMA,32.01,32.01
KEC,30.90,30.90
JKCEMENT,42.96,47.44
INDOTECH,22.08,22.08
M&MFIN,21.33,21.33
BLKASHYAP,66.29,155.78
CENTURYPLY,89.98,89.98
KEI,53.56,53.56
VAKRANGEE,112.75,112.75
SOLARINDS,80.69,80.69
GALLANTT,31.71,31.71
UTTAMSUGAR,10.21,10.21
KKCL,19.75,19.75
SUNTV,13.04,12.72
GPIL,22.25,22.27
RSYSTEMS,25.54,25.54
EMKAY,14.04,14.04
BALPHARMA,16.28,16.28
SWELECTES,34.09,34.09
KAMDHENU,10.38,10.38
RATNAMANI,29.03,29.03
PIONEEREMB,16.67,85.01
JKLAKSHMI,25.04,25.04
PFOCUS,,84.69
ALLCARGO,,29.23
MUNJALAU,16.41,19.34
EMAMILTD,28.58,28.58
TECHM,34.23,34.26
GRINDWELL,46.25,46.25
VOLTAMP,35.41,35.41
ATLANTAA,23.24,23.24
ANTELOPUS,22.06,22.06
ACE,27.47,27.47
ANANTRAJ,42.50,42.50
HGM,17.50,17.50
TALBROAUTO,23.08,23.08
ALICON,37.83,36.23
GEECEE,18.23,18.23
JMFINANCIL,13.15,13.15
FIEMIND,28.21,28.58
DCBBANK,8.39,8.39
INSPIRISYS,11.64,11.64
NAUKRI,57.94,63.40
VGL,20.65,20.65
GESHIP,7.75,7.75
TORNTPOWER,23.03,23.03
MANALIPETC,34.27,31.55
LTFOODS,23.20,23.20
DONEAR,15.92,15.92
RUCHIRA,6.77,6.77
SOBHA,153.53,153.53
VENUSREM,19.63,22.55
JINDRILL,8.54,8.54
HIRECT,57.40,57.40
NFL,50.02,50.02
PLASTIBLEN,13.48,13.48
PARACABLES,13.70,13.70
HBLENGINE,67.61,66.99
TANLA,15.58,15.58
AVTNPL,18.96,18.96
VEEDOL,18.76,18.15
LUMAXTECH,42.29,42.29
SARLAPOLY,10.40,10.40
PTL,12.99,12.99
WANBURY,19.40,19.40
AUTOIND,26.08,32.49
GANDHITUBE,14.09,14.09
PITTIENG,24.00,24.00
UNOMINDA,78.17,78.68
IZMO,25.06,24.05
HUBTOWN,26.26,26.26
TIIL,18.83,18.83
ORIENTBELL,100.72,100.72
PGIL,32.11,31.92
REDINGTON,11.55,16.05
FSL,38.01,38.43
PFC,3.43,3.43
SMSPHARMA,42.46,42.46
INDIANB,9.65,9.21
ORIENTALTL,7.23,14.91
PAGEIND,53.03,53.03
LAOPALA,23.20,23.20
JKTYRE,27.98,27.11
ASTRAL,82.12,82.12
EMBDL,2189.88,298.18
NAHARSPING,32.91,32.91
NAHARPOLY,13.32,13.32
NCLIND,27.65,23.30
BALAMINES,24.00,24.00
BANSWRAS,21.70,21.70
ICRA,32.62,32.62
PHOENIXLTD,48.69,49.13
NDLVENTURE,448.61,448.61
ZENITHSTL,31.23,31.23
BFUTILITIE,13.42,13.42
FORTIS,74.36,69.49
SRHHYPOLTD,10.02,9.40
WEBELSOLAR,18.17,18.17
TGBHOTELS,14.54,14.54
HILTON,16.28,16.28
INSECTICID,13.44,13.46
KMSUGAR,5.87,5.87
NAVINFLUOR,87.11,87.11
TIMETECHNO,22.30,22.30
NAGREEKEXP,31.21,31.21
NELCAST,22.38,23.14
V2RETAIL,100.33,100.33
DLF,62.57,82.48
TARMAT,62.72,62.72
MEGASOFT,9.08,9.08
ADSL,24.31,24.31
ALPA,6.27,6.27
CENTRALBK,7.80,7.91
ASIANTILES,52.90,52.90
TAKE,198.15,198.15
KPRMILL,40.25,40.25
CIEINDIA,19.18,19.18
MOTILALOFS,18.01,18.01
INDOWIND,119.32,119.32
NAGREEKCAP,1.99,1.99
MAGNUM,34.90,30.19
KSCL,15.62,15.62
CENTUM,523.00,155.81
POWERGRID,15.51,15.51
CCCL,5.60,
MAANALU,58.81,58.81
DELTACORP,7.05,20.06
BAJAJELEC,51.57,58.26
CERA,27.80,27.67
RELIGARE,45.82,45.82
BVCL,29.00,29.00
ADANIPORTS,29.74,29.51
EDELWEISS,18.21,18.21
RGL,21.25,18.63
KOLTEPATIL,40.86,40.86
KAUSHALYA,142.40,142.40
COLPAL,42.17,42.17
JYOTHYLAB,28.55,28.26
KALYANIFRG,25.25,25.25
HITECHCORP,30.24,27.17
ECLERX,37.30,37.30
TARIL,33.17,33.47
BRIGADE,27.69,27.69
MANAKSIA,7.21,7.03
DVL,270.52,270.52
PATINTLOG,12.36,12.36
PPAP,93.27,93.27
ARIES,11.77,11.77
AMBIKCO,12.09,12.09
CEATLTD,36.85,34.13
BIRLAMONEY,11.51,11.51
RPOWER,4.63,
JKIL,10.22,10.22
CORDSCABLE,15.77,15.77
KNRCON,4.21,4.10
HERCULES,93.20,93.20
ONMOBILE,,760.16
SEPC,60.45,42.66
BANG,16.89,16.89
IRB,3.78,29.28
NMDC,10.35,10.35
NAHARCAP,25.78,25.78
RECLTD,5.23,5.23
VGUARD,49.37,49.37
NESCO,21.80,21.80
DPSCLTD,139.46,139.46
TITAGARH,39.37,39.37
BAJAJFINSV,17.43,17.43
BAJAJ-AUTO,29.56,29.56
DIGISPICE,,41.12
GOKUL,24.30,24.30
RPGLIFE,21.01,40.46
ALMONDZ,30.34,30.34
LOTUSEYE,407.30,413.03
VINYLINDIA,20.40,20.40
UBL,94.89,92.09
ZFCVINDIA,58.94,58.94
20MICRONS,11.20,11.03
JOCIL,111.07,111.07
COUNCODOS,84.58,84.58
TPHQ,21.14,21.14
MAWANASUG,3.24,7.32
AJMERA,28.63,28.63
MHRIL,47.82,47.82
VINATIORGA,38.31,38.31
EXCEL,1081.79,1081.79
ADANIPOWER,23.08,23.08
NHPC,22.14,22.14
GLOBUSSPR,108.54,108.54
OIL,10.01,10.01
EXPLEOSOL,16.15,16.15
RTNPOWER,43.87,43.87
AMRUTANJAN,36.26,36.26
SUNTECK,36.68,36.68
ZYDUSWELL,41.35,42.11
DEN,7.20,7.20
SHILPAMED,58.02,55.45
SARDAEN,19.65,19.65
REFEX,27.97,28.01
GILLANDERS,7.01,10.53
AHLUCONT,28.69,28.70
DLINKINDIA,14.32,14.32
JSWENERGY,36.96,36.96
GODREJPROP,40.90,39.45
DBCORP,13.65,13.65
HINDCOPPER,73.16,73.16
BEARDSELL,11.33,11.33
MMTC,110.36,175.17
NESTLEIND,76.09,79.51
TRF,14.09,14.09
WHIRLPOOL,32.96,33.47
UNITEDTEA,12.10,12.10
JUBLFOOD,138.35,137.30
VASCONEQ,7.70,13.68
THANGAMAYL,92.64,92.64
EMMBI,30.71,30.71
HATHWAY,24.84,24.64
TEXMOPIPES,8.51,8.51
MANINFRA,16.33,16.33
LGBBROSLTD,19.56,20.83
PERSISTENT,65.06,65.06
ASIANHOTNR,3.13,
ISFT,11.56,11.56
KIRLOSBROS,32.45,31.98
TARAPUR,36.37,
KSL,12.03,12.03
SJVN,41.13,41.13
KIRLOSIND,10.53,10.89
MANAPPURAM,30.77,30.77
UMESLTD,40.89,40.89
TI,33.17,33.17
HMVL,5.52,5.52
IMFA,21.46,21.46
BLISSGVS,13.50,13.50
AHLEAST,20.22,20.22
IITL,49.43,49.43
BAJAJCON,26.42,26.55
PRAKASHSTL,43.77,43.77
GPPL,24.81,24.81
ADFFOODS,34.17,34.17
WELINV,155.02,155.02
WAAREEINDO,10.01,10.01
KILITCH,22.06,22.06
DEEPAKNTR,35.84,35.84
SASTASUNDR,,20.54
CPCAP,4.73,4.73
GREENPOWER,24.37,25.78
RAMKY,17.72,17.72
CANTABIL,28.03,28.03
WABAG,26.63,26.57
ASHOKA,2.73,2.73
BEDMUTHA,29.27,29.27
JWL,33.58,33.58
OBEROIRLTY,28.85,28.85
PRESTIGE,104.95,104.95
SHAH,35.89,35.89
CGCL,30.15,30.15
RESPONIND,25.99,25.99
COALINDIA,7.22,7.22
IOLCP,22.85,22.85
GRAVITA,40.35,40.35
JINDWORLD,39.54,39.54
PENIND,21.37,21.37
RPPINFRA,8.27,8.27
JAMNAAUTO,28.33,28.33
SUMEETINDS,8.33,58.73
MOIL,23.62,23.62
ZEELEARN,20.91,11.11
A2ZINFRA,114.62,62.47
KIRLOSENG,39.32,41.42
RKDL,472.46,472.46
PSB,17.44,17.44
FMNL,,31.83
SHEKHAWATI,10.05,10.05
BFINVEST,62.35,62.35
KICL,33.52,42.90
SUMMITSEC,25.01,25.01
STEL,63.16,63.16
TEXRAIL,26.46,26.46
HFCL,288.23,289.95
DHUNINV,171.24,185.77
LOVABLE,45.42,41.41
PFS,6.85,6.85
MUTHOOTFIN,25.19,25.19
VADILALIND,25.79,25.79
SYMPHONY,36.20,27.48
PIIND,30.78,30.78
RELAXO,57.09,57.09
OMINFRAL,42.90,42.90
VSTTILLERS,43.65,43.40
ESTER,45.31,44.40
DELPHIFX,235.15,29.92
KARMAENG,48.48,98.22
ASHIANA,79.32,69.96
DHANUKA,17.67,17.67
MAITHANALL,3.86,3.86
RUSHIL,32.36,35.40
INVENTURE,88.09,95.80
LTF,28.31,28.31
BODALCHEM,22.80,21.87
ASAHISONG,24.38,24.38
FILATEX,16.41,16.41
BROOKS,48.66,48.66
TDPOWERSYS,56.87,56.87
APLLTD,27.71,28.17
VASWANI,17.66,14.27
PGEL,59.66,59.66
PANAMAPET,9.21,9.21
PAISALO,16.55,16.60
SHAKTIPUMP,23.35,23.35
TRITURBINE,48.93,48.93
INDOTHAI,428.57,428.57
ESSARSHPNG,0.82,4.24
DSSL,17.02,17.02
JISLDVREQS,2.00,2.00
POLYMED,53.40,53.40
RUPA,16.50,16.24
VIKASECO,17.08,17.08
APLAPOLLO,60.06,60.06
KANANIIND,42.42,42.42
MINDACORP,62.40,62.40
THOMASCOTT,36.77,36.77
DBSTOCKBRO,18.31,18.31
IRFC,21.94,21.94
COMPUSOFT,35.97,35.97
RHIM,54.94,54.94
SCHNEIDER,65.00,68.53
NDL,11.63,11.63
NBCC,51.52,45.91
TBZ,14.67,14.67
VSSL,31.95,31.95
SWANCORP,22.78,22.66
SPECIALITY,28.87,28.87
CINELINE,,22.63
SAMPANN,21.26,
THEJO,33.03,33.03
KITEX,29.49,29.49
MAYURUNIQ,13.82,13.82
ROSSELLIND,9.41,9.36
DUCON,8.57,8.57
TVSHLTD,10.79,10.79
ZUARI,11.64,11.64
VETO,10.07,10.07
CARERATING,31.92,31.92
PCJEWELLER,13.21,13.21
INDUSTOWER,11.05,11.05
VMART,89.20,161.86
REPCOHOME,5.61,5.61
NIBL,3.34,
JUSTDIAL,10.00,10.00
ATULAUTO,61.35,61.35
ORIENTCEM,13.08,13.08
ESSENTIA,81.15,81.16
PILITA,47.08,47.08
MITCON,21.89,21.89
ORBTEXP,12.16,12.16
JPOLYINVST,20.49,20.49
SREEL,24.20,24.20
NATHBIOGEN,6.81,7.22
CASTROLIND,18.89,18.89
SDBL,21.01,21.01
IREDA,24.08,24.08
BUTTERFLY,32.56,32.56
WONDERLA,34.30,34.30
AGARIND,11.63,11.63
HATSUN,78.28,78.28
CAPLIPOINT,26.09,26.09
GOCLCORP,8.96,9.50
GULFOILLUB,16.07,16.07
SNOWMAN,105.36,105.36
SHARDACROP,20.09,20.09
SUPERHOUSE,107.69,107.69
CIGNITITEC,19.54,19.54
PDSL,22.01,22.01
INTELLECT,39.92,39.94
MONTECARLO,19.06,19.06
