MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     25860.10,     25902.40,     25929.15,     25770.35,     25818.55,851797545027.05,4075952526,Y, ,28077055,     26325.80,     21743.65
Y, , ,NIFTY50 EQL Wgt,     32747.40,     32784.25,     32872.95,     32633.15,     32710.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     33412.60,     33457.10,     33551.40,     33251.65,     33329.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     20988.35,     21004.45,     21028.15,     20896.85,     20945.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     49901.80,     49994.35,     50227.55,     49454.80,     49588.45,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     21966.15,     21962.45,     22015.60,     21793.45,     21846.25,0.00,0,Y, ,0,     22495.40,     17269.50
Y, , ,NIFTY SMLCAP 50,      8449.60,      8464.40,      8487.00,      8366.30,      8385.40,0.00,0,Y, ,0,      9282.70,      6776.05
Y, , ,NIFTY SMLCAP 250,     16328.25,     16341.85,     16369.30,     16184.65,     16210.70,0.00,0,Y, ,0,     18166.40,     13314.70
Y, , ,NIFTY MIDSML 400,     19884.20,     19887.60,     19929.80,     19721.55,     19763.85,0.00,0,Y, ,0,     20668.15,     15832.85
Y, , ,NIFTY200 QUALTY30,     21166.85,     21163.75,     21222.70,     21047.70,     21084.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     29807.55,     29851.35,     29912.45,     29608.90,     29679.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     26984.10,     26990.70,     27033.95,     26826.35,     26884.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200Momentm30,     31155.35,     31177.95,     31234.05,     30845.40,     30910.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100ESGSecLdr,      4315.95,      4323.30,      4326.75,      4294.75,      4304.25,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 ESG,      5125.20,      5132.80,      5145.35,      5103.30,      5114.45,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY M150 QLTY50,     23889.25,     23882.65,     23911.85,     23670.95,     23708.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY INDIA MFG,     15139.30,     15168.40,     15191.00,     15081.60,     15110.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Alpha 30,     24877.95,     24925.90,     25008.70,     24645.20,     24705.80,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyM150Momntm50,     61583.40,     61608.75,     61820.95,     61013.50,     61171.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty50 USD,      9842.95,      9842.95,     10026.85,      9824.60,      9900.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty IT,     38062.50,     37996.95,     38367.85,     37969.45,     38172.05,0.00,0,Y, ,0,     45647.30,     30918.95
Y, , ,Nifty Next 50,     68337.20,     68419.70,     68646.15,     67915.85,     68076.85,0.00,0,Y, ,0,     70956.25,     56192.45
Y, , ,Nifty Bank,     59034.60,     59072.80,     59127.20,     58801.40,     58926.75,0.00,0,Y, ,0,     60114.30,     47702.90
Y, , ,NIFTY MIDCAP 100,     59710.80,     59698.75,     59889.90,     59242.30,     59388.85,0.00,0,Y, ,0,     61311.25,     46865.70
Y, , ,Nifty 500,     23570.15,     23597.60,     23635.05,     23449.50,     23496.05,0.00,0,Y, ,0,     24035.00,     19519.85
Y, , ,Nifty 100,     26394.50,     26435.85,     26472.30,     26291.65,     26342.65,0.00,0,Y, ,0,     26859.50,     22177.35
Y, , ,Nifty Midcap 50,     17114.50,     17109.50,     17160.80,     16964.70,     17006.85,0.00,0,Y, ,0,     17498.55,     13269.65
Y, , ,Nifty Realty,       874.75,       880.70,       881.65,       863.85,       867.40,0.00,0,Y, ,0,      1109.95,       765.80
Y, , ,Nifty Infra,      9508.90,      9533.10,      9539.50,      9472.00,      9495.55,0.00,0,Y, ,0,      9729.85,      7589.95
Y, , ,Nifty Energy,     34769.25,     34807.85,     34942.60,     34655.05,     34737.00,0.00,0,Y, ,0,     36938.90,     29313.20
Y, , ,Nifty FMCG,     54863.45,     54772.20,     54938.90,     54515.75,     54603.40,0.00,0,Y, ,0,     59302.55,     50199.35
Y, , ,Nifty MNC,     30293.95,     30340.50,     30358.15,     30100.25,     30159.55,0.00,0,Y, ,0,     30697.55,     23981.05
Y, , ,Nifty Pharma,     22591.50,     22585.60,     22650.50,     22515.65,     22612.15,0.00,0,Y, ,0,     23604.45,     19121.10
Y, , ,Nifty PSE,      9482.75,      9483.95,      9521.10,      9452.25,      9474.80,0.00,0,Y, ,0,     10225.55,      7956.45
Y, , ,Nifty PSU Bank,      8212.00,      8216.55,      8342.30,      8213.35,      8318.30,0.00,0,Y, ,0,      8665.70,      5530.35
Y, , ,Nifty Serv Sector,     33521.15,     33562.85,     33613.10,     33374.65,     33436.50,0.00,0,Y, ,0,     34216.65,     29070.85
Y, , ,Nifty Auto,     27542.20,     27620.00,     27689.40,     27438.30,     27489.25,0.00,0,Y, ,0,     28099.65,     19316.65
