,17-Dec-2025
The Nifty witnessed an intraday movement of about 158.8 points.The closing index was 0.16 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 85179.75
, Traded Quantity (in Lakhs), 40759.53
, Number of Trades, 28077055
, Total Market Capitalisation (Rs. Crores), 46381903.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25860.10,     25902.40,     25929.15,     25770.35,     25818.55,-41.55
,NIFTY50 EQL Wgt,     32747.40,     32784.25,     32872.95,     32633.15,     32710.15,-37.25
,NIFTY100 EQL Wgt,     33412.60,     33457.10,     33551.40,     33251.65,     33329.90,-82.70
,NIFTY100 LowVol30,     20988.35,     21004.45,     21028.15,     20896.85,     20945.05,-43.30
,NIFTY Alpha 50,     49901.80,     49994.35,     50227.55,     49454.80,     49588.45,-313.35
,NIFTY MIDCAP 150,     21966.15,     21962.45,     22015.60,     21793.45,     21846.25,-119.90
,NIFTY SMLCAP 50,      8449.60,      8464.40,      8487.00,      8366.30,      8385.40,-64.20
,NIFTY SMLCAP 250,     16328.25,     16341.85,     16369.30,     16184.65,     16210.70,-117.55
,NIFTY MIDSML 400,     19884.20,     19887.60,     19929.80,     19721.55,     19763.85,-120.35
,NIFTY200 QUALTY30,     21166.85,     21163.75,     21222.70,     21047.70,     21084.65,-82.20
,Nifty FinSrv25 50,     29807.55,     29851.35,     29912.45,     29608.90,     29679.10,-128.45
,NIFTY AlphaLowVol,     26984.10,     26990.70,     27033.95,     26826.35,     26884.70,-99.40
,Nifty200Momentm30,     31155.35,     31177.95,     31234.05,     30845.40,     30910.15,-245.20
,Nifty100ESGSecLdr,      4315.95,      4323.30,      4326.75,      4294.75,      4304.25,-11.70
,NIFTY100 ESG,      5125.20,      5132.80,      5145.35,      5103.30,      5114.45,-10.75
,NIFTY M150 QLTY50,     23889.25,     23882.65,     23911.85,     23670.95,     23708.90,-180.35
,NIFTY INDIA MFG,     15139.30,     15168.40,     15191.00,     15081.60,     15110.75,-28.55
,Nifty200 Alpha 30,     24877.95,     24925.90,     25008.70,     24645.20,     24705.80,-172.15
,NiftyM150Momntm50,     61583.40,     61608.75,     61820.95,     61013.50,     61171.10,-412.30
,Nifty50 USD,      9842.95,      9842.95,     10026.85,      9824.60,      9900.50,57.55
,Nifty IT,     38062.50,     37996.95,     38367.85,     37969.45,     38172.05,109.55
,Nifty Next 50,     68337.20,     68419.70,     68646.15,     67915.85,     68076.85,-260.35
,Nifty Bank,     59034.60,     59072.80,     59127.20,     58801.40,     58926.75,-107.85
,NIFTY MIDCAP 100,     59710.80,     59698.75,     59889.90,     59242.30,     59388.85,-321.95
,Nifty 500,     23570.15,     23597.60,     23635.05,     23449.50,     23496.05,-74.10
,Nifty 100,     26394.50,     26435.85,     26472.30,     26291.65,     26342.65,-51.85
,Nifty Midcap 50,     17114.50,     17109.50,     17160.80,     16964.70,     17006.85,-107.65
,Nifty Realty,       874.75,       880.70,       881.65,       863.85,       867.40,-7.35
,Nifty Infra,      9508.90,      9533.10,      9539.50,      9472.00,      9495.55,-13.35
,Nifty Energy,     34769.25,     34807.85,     34942.60,     34655.05,     34737.00,-32.25
,Nifty FMCG,     54863.45,     54772.20,     54938.90,     54515.75,     54603.40,-260.05
,Nifty MNC,     30293.95,     30340.50,     30358.15,     30100.25,     30159.55,-134.40
,Nifty Pharma,     22591.50,     22585.60,     22650.50,     22515.65,     22612.15,20.65
,Nifty PSE,      9482.75,      9483.95,      9521.10,      9452.25,      9474.80,-7.95
,Nifty PSU Bank,      8212.00,      8216.55,      8342.30,      8213.35,      8318.30,106.30
,Nifty Serv Sector,     33521.15,     33562.85,     33613.10,     33374.65,     33436.50,-84.65
