The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,VEDL      ,30/12/2025,00000560.00,CE      ,            35518,    23452011583.00
2         ,VEDL      ,30/12/2025,00000570.00,CE      ,            33490,    22373032995.00
3         ,VEDL      ,30/12/2025,00000550.00,CE      ,            27746,    18100668743.00
4         ,VEDL      ,30/12/2025,00000600.00,CE      ,            26323,    18279144718.00
5         ,BHARTIARTL,30/12/2025,00002100.00,CE      ,            26144,    26420296836.00
6         ,AXISBANK  ,30/12/2025,00001300.00,CE      ,            24516,    19957235313.00
7         ,DIXON     ,30/12/2025,00014000.00,CE      ,            24078,    17089052743.00
8         ,TITAN     ,30/12/2025,00003900.00,CE      ,            23544,    16313220018.00
9         ,SUPREMEIND,30/12/2025,00003400.00,CE      ,            22992,    13943985090.00
10        ,VEDL      ,30/12/2025,00000580.00,CE      ,            22217,    15011273438.00
11        ,AXISBANK  ,30/12/2025,00001230.00,PE      ,            21557,    16764556594.00
12        ,AXISBANK  ,30/12/2025,00001250.00,CE      ,            21090,    16637706375.00
13        ,ETERNAL   ,30/12/2025,00000300.00,CE      ,            19425,    14233509855.00
14        ,ETERNAL   ,30/12/2025,00000290.00,CE      ,            19333,    13831313420.00
15        ,VEDL      ,30/12/2025,00000540.00,PE      ,            19297,    12119838098.00
16        ,DMART     ,30/12/2025,00003900.00,CE      ,            19238,    11436916913.00
17        ,HDFCBANK  ,30/12/2025,00001000.00,CE      ,            19224,    10689115828.00
18        ,INDIGO    ,30/12/2025,00005000.00,CE      ,            18996,    14550210420.00
19        ,AXISBANK  ,30/12/2025,00001280.00,CE      ,            18673,    14994430188.00
20        ,AXISBANK  ,30/12/2025,00001240.00,PE      ,            18508,    14542844938.00
The top twenty contracts contributed to around   8% of the total traded volume in Options on individual securities.VEDL was the most active option contracts on individual securities traded today with 355993 contracts and AXISBANK was the next most active options contracts with 320636 contracts being traded.                                                                                                                                                                                              
