""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Dec 16, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,57050,54385,280756,283135,45586930,47856113,45528137,48214399,1300795,539264,1165376,580718,95620908,95826150
DII,1086,0,89719,77095,0,152,0,0,17,313,1311,0,91287,78406
FII,8571,17491,281981,328207,6622632,6238800,6652956,6154827,261763,138200,267014,143260,13551947,13563755
Pro,38632,33463,416913,380932,79886997,81612775,79915466,81338614,2257625,1300828,2386499,1254627,165513770,165309601
TOTAL,105339,105339,1069369,1069369,132096559,135707840,132096559,135707840,3820200,1978605,3820200,1978605,274777912,274777912
