Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
16-Dec-25,360ONE,1133.4,1144.7, -0.00992063,  0.02282468,  0.02277844,  0.43518145,1133.2,1148.1, -0.01306291,  0.02277113,  0.02273281,  0.43430970,  0.02277844,  0.43518145
16-Dec-25,ABB,5241.9,5285.05, -0.00819805,  0.01808468,  0.01804884,  0.34482266,5262,5309.5, -0.00898649,  0.01801311,  0.01797919,  0.34349203,  0.01804884,  0.34482266
16-Dec-25,ABCAPITAL,348.05,351.8, -0.01071668,  0.02040978,  0.02037281,  0.38922201,348.75,353.3, -0.01296222,  0.02046947,  0.02043881,  0.39048298,  0.02043881,  0.39048298
16-Dec-25,ADANIENSOL,994.3,1016.45, -0.02203247,  0.02720826,  0.02718484,  0.51936570,995.95,1018.15, -0.02204548,  0.02721569,  0.02719222,  0.51950654,  0.02719222,  0.51950654
16-Dec-25,ADANIENT,2247.85,2278.9, -0.01371867,  0.02417962,  0.02413851,  0.46116562,2256.2,2289.3, -0.01456411,  0.02453264,  0.02449288,  0.46793587,  0.02449288,  0.46793587
16-Dec-25,ADANIGREEN,1028.2,1047.55, -0.01864440,  0.02899079,  0.02894833,  0.55305704,1030.8,1050.4, -0.01883584,  0.02929558,  0.02925257,  0.55886955,  0.02925257,  0.55886955
16-Dec-25,ADANIPORTS,1499,1512.6, -0.00903181,  0.01897099,  0.01893432,  0.36173962,1503.9,1517.2, -0.00880480,  0.01897233,  0.01893510,  0.36175451,  0.01893510,  0.36175451
16-Dec-25,ALKEM,5663.5,5624.4,  0.00692780,  0.01365904,  0.01363368,  0.26047101,5671.5,5634,  0.00663396,  0.01367542,  0.01364936,  0.26077060,  0.01364936,  0.26077060
16-Dec-25,AMBER,6779.35,6801.45, -0.00325460,  0.02747835,  0.02741054,  0.52367762,6793.5,6807, -0.00198522,  0.02770543,  0.02763642,  0.52799308,  0.02763642,  0.52799308
16-Dec-25,AMBUJACEM,548.7,553.45, -0.00861957,  0.01651498,  0.01648477,  0.31494117,549.5,555.2, -0.01031964,  0.01666308,  0.01663743,  0.31785771,  0.01663743,  0.31785771
16-Dec-25,ANGELONE,2532.35,2582.5, -0.01961020,  0.02756382,  0.02752969,  0.52595405,2507.6,2547.4, -0.01574711,  0.02778748,  0.02774021,  0.52997594,  0.02774021,  0.52997594
16-Dec-25,APLAPOLLO,1732.9,1739.1, -0.00357143,  0.01691492,  0.01687434,  0.32238374,1737.1,1747.3, -0.00585468,  0.01690222,  0.01686514,  0.32220804,  0.01687434,  0.32238374
16-Dec-25,APOLLOHOSP,7051.5,7086.55, -0.00495826,  0.01306229,  0.01303418,  0.24901764,7067.5,7106, -0.00543269,  0.01276780,  0.01274176,  0.24343100,  0.01303418,  0.24901764
16-Dec-25,ASHOKLEY,167.75,166.8,  0.00567929,  0.01844641,  0.01840462,  0.35161971,166.25,165.72,  0.00319306,  0.01769366,  0.01765094,  0.33722071,  0.01840462,  0.35161971
16-Dec-25,ASIANPAINT,2790.9,2780.2,  0.00384126,  0.01324926,  0.01321878,  0.25254439,2792.4,2782.5,  0.00355164,  0.01313993,  0.01310953,  0.25045721,  0.01321878,  0.25254439
16-Dec-25,ASTRAL,1462.9,1430.5,  0.02239673,  0.01722764,  0.01725729,  0.32970010,1466.6,1435.1,  0.02171226,  0.01759453,  0.01761758,  0.33658347,  0.01761758,  0.33658347
16-Dec-25,AUBANK,980.6,979.05,  0.00158192,  0.01876505,  0.01871849,  0.35761625,982.95,983.45, -0.00050854,  0.01790493,  0.01786024,  0.34121950,  0.01871849,  0.35761625
16-Dec-25,AUROPHARMA,1178.1,1186.3, -0.00693625,  0.01719791,  0.01716193,  0.32787814,1180.2,1189.4, -0.00776506,  0.01740273,  0.01736799,  0.33181504,  0.01736799,  0.33181504
16-Dec-25,AXISBANK,1219.6,1284.8, -0.05208013,  0.01328002,  0.01374918,  0.26267768,1224.4,1287, -0.04986300,  0.01288749,  0.01333008,  0.25467090,  0.01374918,  0.26267768
16-Dec-25,BAJAJ-AUTO,9007.25,8939.95,  0.00749981,  0.01482521,  0.01479771,  0.28270989,9026,8977.5,  0.00538785,  0.01457477,  0.01454314,  0.27784638,  0.01479771,  0.28270989
16-Dec-25,BAJAJFINSV,2035.2,2070.4, -0.01714773,  0.01486770,  0.01488002,  0.28428237,2039.8,2074.6, -0.01691660,  0.01506203,  0.01507171,  0.28794469,  0.01507171,  0.28794469
16-Dec-25,BAJFINANCE,998.4,1012.7, -0.01422131,  0.01659216,  0.01658116,  0.31678254,1001.1,1016.7, -0.01546269,  0.01646304,  0.01645814,  0.31443230,  0.01658116,  0.31678254
16-Dec-25,BANDHANBNK,149.5,151.8, -0.01526747,  0.02202483,  0.02199614,  0.42023560,149.84,152.07, -0.01477288,  0.02212707,  0.02209645,  0.42215210,  0.02209645,  0.42215210
16-Dec-25,BANKBARODA,282.85,285.1, -0.00792327,  0.01775534,  0.01771970,  0.33853432,283.4,285.85, -0.00860787,  0.01785241,  0.01781816,  0.34041552,  0.01781816,  0.34041552
16-Dec-25,BANKEX,66024.8,66710.44, -0.01033103,  0.00863296,  0.00864240,  0.16511274,66234.4,66800.95, -0.00851734,  0.00890459,  0.00890260,  0.17008392,  0.00890260,  0.17008392
16-Dec-25,BANKINDIA,139.4,141.75, -0.01671744,  0.02010609,  0.02009045,  0.38382748,140.01,142.18, -0.01538001,  0.02025366,  0.02023219,  0.38653552,  0.02023219,  0.38653552
16-Dec-25,BANKNIFTY,59034.6,59461.8, -0.00721038,  0.00841082,  0.00840513,  0.16057983,59287.8,59678, -0.00655989,  0.00817099,  0.00816403,  0.15597349,  0.00840513,  0.16057983
16-Dec-25,BDL,1355.6,1402.6, -0.03408350,  0.02667041,  0.02671258,  0.51034310,1356,1409.3, -0.03855394,  0.02685209,  0.02692317,  0.51436637,  0.02692317,  0.51436637
16-Dec-25,BEL,388,390.75, -0.00706263,  0.01901523,  0.01897423,  0.36250221,388.7,391.7, -0.00768840,  0.01885453,  0.01881510,  0.35946204,  0.01897423,  0.36250221
16-Dec-25,BHARATFORG,1417.4,1414,  0.00240164,  0.01906251,  0.01901557,  0.36329197,1419.4,1417.8,  0.00112787,  0.01954123,  0.01949249,  0.37240345,  0.01949249,  0.37240345
16-Dec-25,BHARTIARTL,2102,2069.7,  0.01548560,  0.01288775,  0.01290188,  0.24649012,2105,2077.2,  0.01329463,  0.01246566,  0.01246984,  0.23823586,  0.01290188,  0.24649012
16-Dec-25,BHEL,279.35,282.6, -0.01156699,  0.02325742,  0.02321367,  0.44349652,280.15,283.8, -0.01294459,  0.02330233,  0.02326205,  0.44442078,  0.02326205,  0.44442078
16-Dec-25,BIOCON,384.9,390.65, -0.01482846,  0.02022351,  0.02020011,  0.38592257,386.4,392.45, -0.01553604,  0.02025307,  0.02023230,  0.38653752,  0.02023230,  0.38653752
16-Dec-25,BLUESTARCO,1815.55,1806.2,  0.00516326,  0.02096333,  0.02091401,  0.39956168,1822,1812.4,  0.00528287,  0.02090778,  0.02085890,  0.39850879,  0.02091401,  0.39956168
16-Dec-25,BOSCHLTD,36229.85,36399.7, -0.00467717,  0.01432731,  0.01429521,  0.27310960,36295,36500, -0.00563227,  0.01449530,  0.01446437,  0.27634144,  0.01446437,  0.27634144
16-Dec-25,BPCL,368.15,367,  0.00312862,  0.01709777,  0.01705630,  0.32586011,368.6,367.8,  0.00217273,  0.01709539,  0.01705322,  0.32580133,  0.01705630,  0.32586011
16-Dec-25,BRITANNIA,6065.95,6038.05,  0.00461005,  0.01270323,  0.01267554,  0.24216593,6077,6048,  0.00478351,  0.01252494,  0.01249800,  0.23877400,  0.01267554,  0.24216593
16-Dec-25,BSE,2605.9,2648.9, -0.01636635,  0.03186298,  0.03180429,  0.60762016,2617.9,2650.3, -0.01230037,  0.03166792,  0.03160067,  0.60372991,  0.03180429,  0.60762016
16-Dec-25,CAMS,753.8,755.2, -0.00185553,  0.02116481,  0.02111226,  0.40334914,754.4,756.2, -0.00238316,  0.02127732,  0.02122463,  0.40549593,  0.02122463,  0.40549593
16-Dec-25,CANBK,147.15,148.3, -0.00778477,  0.01891011,  0.01887075,  0.36052510,147.43,148.22, -0.00534417,  0.01895556,  0.01891180,  0.36130947,  0.01891180,  0.36130947
16-Dec-25,CDSL,1501.2,1517.6, -0.01086535,  0.02290840,  0.02286387,  0.43681353,1503.1,1523.7, -0.01361195,  0.02364920,  0.02360953,  0.45105949,  0.02360953,  0.45105949
16-Dec-25,CGPOWER,673.05,670.15,  0.00431805,  0.02058843,  0.02053908,  0.39239858,674.2,671.35,  0.00423619,  0.02064341,  0.02059391,  0.39344603,  0.02059391,  0.39344603
16-Dec-25,CHOLAFIN,1715.35,1733.7, -0.01064071,  0.01935982,  0.01932594,  0.36922165,1718,1741.6, -0.01364341,  0.01849625,  0.01847512,  0.35296673,  0.01932594,  0.36922165
16-Dec-25,CIPLA,1499.6,1508, -0.00558586,  0.01346155,  0.01343354,  0.25664739,1502.3,1511.8, -0.00630373,  0.01349939,  0.01347284,  0.25739833,  0.01347284,  0.25739833
16-Dec-25,COALINDIA,381.6,384.45, -0.00744080,  0.01399632,  0.01397130,  0.26692138,382.25,385.75, -0.00911465,  0.01409452,  0.01407416,  0.26888652,  0.01407416,  0.26888652
16-Dec-25,COFORGE,1866.55,1870, -0.00184662,  0.02161196,  0.02155833,  0.41187134,1869,1877.6, -0.00459084,  0.02139417,  0.02134307,  0.40775887,  0.02155833,  0.41187134
16-Dec-25,COLPAL,2160.4,2164.4, -0.00184980,  0.01398063,  0.01394632,  0.26644405,2164.8,2174.4, -0.00442479,  0.01405085,  0.01401930,  0.26783833,  0.01401930,  0.26783833
16-Dec-25,CONCOR,499.6,502.75, -0.00628525,  0.01772991,  0.01769112,  0.33798840,500.05,504.75, -0.00935516,  0.01791174,  0.01787913,  0.34158038,  0.01787913,  0.34158038
16-Dec-25,CROMPTON,252.45,253.05, -0.00237389,  0.01602361,  0.01598450,  0.30538353,253.35,253.75, -0.00157760,  0.01615826,  0.01611822,  0.30793815,  0.01611822,  0.30793815
16-Dec-25,CUMMINSIND,4494.25,4539.9, -0.01010618,  0.01758973,  0.01756029,  0.33548881,4507.2,4554.4, -0.01041768,  0.01736864,  0.01734083,  0.33129604,  0.01756029,  0.33548881
16-Dec-25,CYIENT,1149.8,1158, -0.00710636,  0.02180688,  0.02175810,  0.41568787,1150.6,1162.6, -0.01037533,  0.02199163,  0.02194881,  0.41933135,  0.02194881,  0.41933135
16-Dec-25,DABUR,497.2,497.2,  0.00000000,  0.01295244,  0.01292018,  0.24683977,499.15,499.75, -0.00120132,  0.01282519,  0.01279354,  0.24442031,  0.01292018,  0.24683977
16-Dec-25,DALBHARAT,2066.5,2103.6, -0.01779381,  0.01507200,  0.01508699,  0.28823653,2070.3,2112.4, -0.02013122,  0.01523032,  0.01525865,  0.29151618,  0.01525865,  0.29151618
16-Dec-25,DELHIVERY,401.8,407.25, -0.01347280,  0.02141469,  0.02138234,  0.40850911,402.95,409.15, -0.01526935,  0.02154538,  0.02151847,  0.41110989,  0.02151847,  0.41110989
16-Dec-25,DIVISLAB,6335.5,6347.45, -0.00188442,  0.01598050,  0.01594117,  0.30455560,6343,6373, -0.00471847,  0.01587179,  0.01583546,  0.30253602,  0.01594117,  0.30455560
16-Dec-25,DIXON,13628.05,13737, -0.00796275,  0.02357048,  0.02351827,  0.44931598,13633,13761, -0.00934518,  0.02356417,  0.02351447,  0.44924332,  0.02351827,  0.44931598
16-Dec-25,DLF,691.95,697.9, -0.00856213,  0.01837678,  0.01834088,  0.35040208,692.6,700.75, -0.01169856,  0.01839730,  0.01836987,  0.35095580,  0.01836987,  0.35095580
16-Dec-25,DMART,3856.8,3825.6,  0.00812251,  0.01614508,  0.01611479,  0.30787270,3860.5,3844.3,  0.00420518,  0.01610916,  0.01607143,  0.30704427,  0.01611479,  0.30787270
16-Dec-25,DRREDDY,1277.1,1280.6, -0.00273684,  0.01263182,  0.01260157,  0.24075272,1277.9,1282.5, -0.00359319,  0.01261681,  0.01258764,  0.24048651,  0.01260157,  0.24075272
16-Dec-25,EICHERMOT,7061.5,7121.5, -0.00846088,  0.01425468,  0.01423172,  0.27189668,7077,7137, -0.00844243,  0.01401943,  0.01399692,  0.26741072,  0.01423172,  0.27189668
16-Dec-25,ETERNAL,284.45,298.45, -0.04804492,  0.02286312,  0.02305749,  0.44051278,284.95,298.95, -0.04796261,  0.02263054,  0.02282721,  0.43611317,  0.02305749,  0.44051278
16-Dec-25,EXIDEIND,366.4,372.45, -0.01637717,  0.01725903,  0.01725461,  0.32964894,366.45,373.3, -0.01852030,  0.01755816,  0.01756313,  0.33554314,  0.01756313,  0.33554314
16-Dec-25,FEDERALBNK,262.25,265.25, -0.01137453,  0.01489656,  0.01488111,  0.28430315,263.1,265.75, -0.01002183,  0.01466889,  0.01464945,  0.27987728,  0.01488111,  0.28430315
