INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,30/12/2025,00059550.00,00059600.00,00059225.00,00059287.80,000000001874075,    51463608273.00,           867055,            24773,            18802
FUTIDX    ,BANKNIFTY ,27/01/2026,00059900.00,00059926.00,00059565.00,00059619.20,000000000189000,     3078254424.00,            51570,             1719,             1342
FUTIDX    ,BANKNIFTY ,24/02/2026,00060306.00,00060306.00,00059925.80,00059982.20,000000000043050,      938640330.00,            15630,              521,              403
FUTIDX    ,FINNIFTY  ,30/12/2025,00027725.10,00027725.10,00027479.40,00027505.10,000000000036270,      650092735.50,            23595,              363,              298
FUTIDX    ,FINNIFTY  ,27/01/2026,00027858.70,00027858.70,00027673.00,00027699.80,000000000001380,       13308600.00,              480,              008,              008
FUTSTK    ,360ONE    ,30/12/2025,00001155.10,00001155.10,00001127.50,00001133.20,000000001750000,      417048600.00,           366500,              733,              698
FUTSTK    ,360ONE    ,27/01/2026,00001147.90,00001148.00,00001130.00,00001134.40,000000000082500,       61021650.00,            53500,              107,              097
FUTSTK    ,ABB       ,30/12/2025,00005301.00,00005301.00,00005246.00,00005262.00,000000002255875,     1377103750.00,           261000,             2088,             1917
FUTSTK    ,ABB       ,27/01/2026,00005307.00,00005311.50,00005260.00,00005273.50,000000000205875,      303203437.50,            57375,              459,              360
FUTSTK    ,ABB       ,24/02/2026,00005322.00,00005322.00,00005276.00,00005289.50,000000000020875,       10595375.00,             2000,              016,              016
FUTSTK    ,ABCAPITAL ,30/12/2025,00000352.70,00000354.70,00000347.45,00000348.75,000000072536900,     2802882360.00,          7982500,             2575,             2273
FUTSTK    ,ABCAPITAL ,27/01/2026,00000355.35,00000356.35,00000349.50,00000350.65,000000002430400,      435832565.00,          1233800,              398,              379
FUTSTK    ,ABCAPITAL ,24/02/2026,00000356.60,00000358.40,00000352.00,00000352.55,000000000430900,       36294645.00,           102300,              033,              033
FUTSTK    ,ADANIENSOL,30/12/2025,00001013.10,00001015.35,00000992.05,00000995.95,000000017913825,      821218196.25,           819450,             1214,             1029
FUTSTK    ,ADANIENSOL,27/01/2026,00001014.95,00001020.00,00000998.25,00001002.95,000000000172800,       84991308.75,            84375,              125,              104
