Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            27013,           934255,           5548.05,000000002106125
FINNIFTY  ,              371,            24075,             66.34,000000000037650
MIDCPNIFTY,             5084,           701480,            967.67,000000002544040
NIFTY     ,            72686,          5372490,          13967.16,000000018261660
NIFTYNXT50,              185,             4625,             31.69,000000000029425
