INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00043500.00,PE      ,00000003.70,00000004.20,00000002.70,00000003.10,000000000020450,             8890,              254,              080,      386744102.50,          29102.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00046500.00,PE      ,00000005.25,00000005.25,00000003.65,00000003.90,000000000020930,             6300,              180,              051,      292977238.75,          27238.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00047500.00,PE      ,00000004.90,00000005.25,00000004.05,00000004.10,000000000019705,             6930,              198,              116,      329206850.00,          31850.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00048500.00,PE      ,00000005.75,00000005.85,00000004.00,00000004.20,000000000010850,            12110,              346,              123,      587392778.00,          57778.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00049500.00,PE      ,00000005.25,00000005.25,00000004.10,00000004.30,000000000007385,             2065,              059,              023,      102227254.50,           9754.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00049700.00,PE      ,00000006.40,00000007.70,00000003.15,00000003.55,000000000000595,             2310,              066,              021,      114819673.50,          12673.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00049900.00,PE      ,00000006.00,00000006.00,00000003.85,00000004.35,000000000001960,              280,              008,              007,       13973457.75,           1457.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00050100.00,PE      ,00000008.00,00000008.00,00000004.90,00000005.40,000000000002030,              175,              005,              004,        8768518.50,           1018.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00050300.00,PE      ,00000006.85,00000007.75,00000003.80,00000004.50,000000000000980,              560,              016,              014,       28171146.50,           3146.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00050500.00,PE      ,00000004.60,00000006.00,00000004.15,00000004.40,000000000014665,             6580,              188,              109,      332322620.00,          32620.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00050900.00,PE      ,00000009.50,00000009.50,00000005.05,00000005.05,000000000000595,              280,              008,              008,       14253876.00,           1876.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00051100.00,PE      ,00000007.50,00000007.50,00000005.10,00000005.40,000000000000595,              735,              021,              013,       37563099.00,           4599.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00051300.00,PE      ,00000007.60,00000010.15,00000005.15,00000005.50,000000000001120,              770,              022,              013,       39506449.50,           5449.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00051500.00,PE      ,00000009.00,00000009.00,00000005.50,00000005.70,000000000016520,             3850,              110,              050,      198300201.75,          25201.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00051900.00,PE      ,00000005.65,00000006.35,00000005.65,00000006.00,000000000000770,              070,              002,              002,        3633420.00,            420.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00052100.00,PE      ,00000009.90,00000010.85,00000005.70,00000006.55,000000000001610,             1645,              047,              024,       85716436.75,          11936.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00052300.00,PE      ,00000008.30,00000008.30,00000006.35,00000006.55,000000000001400,              245,              007,              004,       12815346.25,           1846.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00052500.00,PE      ,00000008.00,00000008.90,00000006.45,00000007.10,000000000036910,             3500,              100,              046,      183778010.50,          28010.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00052700.00,PE      ,00000009.20,00000009.20,00000007.40,00000007.40,000000000001050,              140,              004,              002,        7379162.00,           1162.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053100.00,PE      ,00000012.40,00000012.40,00000007.60,00000008.65,000000000002310,             1855,              053,              020,       98517160.00,          16660.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053300.00,PE      ,00000012.80,00000020.00,00000006.30,00000007.25,000000000001505,             3430,              098,              028,      182849098.25,          30098.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00053500.00,PE      ,00000007.95,00000010.55,00000006.90,00000007.30,000000000050610,            23695,              677,              294,     1267892332.00,         209832.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053700.00,PE      ,00000011.00,00000011.00,00000007.85,00000008.65,000000000003500,             1540,              044,              026,       82712756.00,          14756.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053900.00,CE      ,00005700.00,00005700.00,00005700.00,00005700.00,000000000000140,              035,              001,              001,        2086000.00,         199500.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053900.00,PE      ,00000011.80,00000019.35,00000006.95,00000007.50,000000000007980,             4060,              116,              027,      218869917.00,          35917.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00054100.00,PE      ,00000010.45,00000012.80,00000008.15,00000008.50,000000000006615,             3570,              102,              047,      193171322.75,          34322.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00054300.00,CE      ,00005300.00,00005300.00,00005300.00,00005300.00,000000000000140,              035,              001,              001,        2086000.00,         185500.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00054300.00,PE      ,00000012.10,00000012.55,00000008.60,00000008.60,000000000003290,              245,              007,              007,       13306205.50,           2705.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00054500.00,CE      ,00004800.00,00004800.00,00004800.00,00004800.00,000000000008400,              035,              001,              001,        2075500.00,         168000.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00054500.00,PE      ,00000013.80,00000013.80,00000008.10,00000009.00,000000000090580,           147735,             4221,             2203,     8053093727.00,        1536227.00
