Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1172310,         40909795,         244432.14,000000016951040
BANKNIFTY ,          1371193,         47809310,         285764.64,000000021755895
FINNIFTY  ,             4017,           261105,            725.11,000000000166920
FINNIFTY  ,             3963,           257595,            713.66,000000000122395
FINNIFTY  ,             5585,           363025,           1005.01,000000000132275
FINNIFTY  ,             3945,           256420,            716.10,000000000209740
FINNIFTY  ,             8362,           543530,           1510.31,000000000348010
FINNIFTY  ,             2440,           158600,            441.68,000000000115180
FINNIFTY  ,             6391,           415415,           1160.22,000000000222820
MIDCPNIFTY,            14738,          2063220,           2870.60,000000000512860
MIDCPNIFTY,            39399,          5514720,           7675.50,000000001724980
MIDCPNIFTY,            12131,          1698100,           2363.86,000000000468460
MIDCPNIFTY,           204338,         28596060,          39903.26,000000016100860
NIFTYNXT50,              091,             2275,             15.91,000000000007250
NIFTYNXT50,              155,             3875,             26.16,000000000006900
NIFTYNXT50,              151,             3775,             26.17,000000000002950
NIFTY     ,         72558516,       5441418330,       14112749.37,000000097701910
NIFTY     ,         39960695,       2996518305,        7792714.30,000000096862405
NIFTY     ,         28223043,       2116199075,        5507545.27,000000086813150
NIFTY     ,         18571532,       1392457610,        3612461.13,000000080871695
NIFTY     ,         18744655,       1405339605,        3648147.83,000000081426450
NIFTY     ,         29713364,       2227949780,        5777150.49,000000082397990
NIFTY     ,         57183173,       4288230785,       11105231.33,000000104220835
NIFTYNXT50,              212,             5300,             36.31,000000000008450
