Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           105339,          20580.92
Stock Futures  ,          1069369,          72858.18
Index Options  ,        267804399,       52145386.38
Stock Options  ,          5798805,         411849.82
Vol Futures    ,              000,              0.00
F&O Total      ,        274777912,       52650675.30
