as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence,spot,ltp,iv,dte,theta_per_day,delta,extrinsic,sell_by
2025-12-17,BAJAJ-AUTO,BEARISH,OPTION,BUY,PE,30-DEC-2025,8900.0,107.43,61.59,61.59,,,,,0.95,8894.8,110.75,0.17793054713318124,13,-3.7464784742369996,-0.4706519453266341,105.55,2025-12-29
2025-12-17,HDFCBANK,BEARISH,OPTION,BUY,PE,30-DEC-2025,985.0,9.41,5.39,5.39,,,,,0.95,984.0,9.7,0.1406251605294645,13,-0.30871915932468486,-0.47251932639881655,8.7,2025-12-29
2025-12-17,HDFCLIFE,BEARISH,OPTION,BUY,PE,30-DEC-2025,750.0,7.27,4.17,4.17,,,,,0.95,753.5,7.5,0.1761022903829813,13,-0.3136162674974661,-0.40837642554122355,7.5,2025-12-27
2025-12-17,KOTAKBANK,BEARISH,OPTION,BUY,PE,30-DEC-2025,2180.0,25.9,14.85,14.85,,,,,0.92,2173.2,26.7,0.15891239386424422,13,-0.7855118654196199,-0.5024113855672873,19.9,2025-12-28
2025-12-17,LT,BEARISH,OPTION,BUY,PE,30-DEC-2025,4060.0,38.31,21.96,21.96,,,,,0.89,4062.4,39.5,0.14893553489791234,13,-1.3799188352082754,-0.45074515523338465,39.5,2025-12-29
2025-12-17,RELIANCE,BEARISH,OPTION,BUY,PE,30-DEC-2025,1540.0,12.85,7.37,7.37,,,,,0.77,1544.4,13.25,0.14704521605260668,13,-0.5173370104408019,-0.418189970609535,13.25,2025-12-28
2025-12-17,BANKNIFTY,BEARISH,OPTION,BUY,PE,30-DEC-2025,58900.0,327.91,187.98,187.98,,,,,0.76,58926.75,338.05,0.09459608046239006,13,-10.964336325892495,-0.43092761874796537,338.05,2025-12-29
2025-12-17,JSWSTEEL,BEARISH,OPTION,BUY,PE,30-DEC-2025,1080.0,14.89,8.54,8.54,,,,,0.75,1079.3,15.35,0.20109966179467736,13,-0.5262192718012255,-0.473058221922082,14.65,2025-12-29
2025-12-17,ADANIENT,BEARISH,OPTION,BUY,PE,30-DEC-2025,2200.0,25.32,14.51,14.51,,,,,0.66,2232.5,26.1,0.2545163133408874,13,-1.3745590982475702,-0.35151826101606864,26.1,2025-12-25
2025-12-17,APOLLOHOSP,BEARISH,OPTION,BUY,PE,30-DEC-2025,7000.0,119.46,68.48,68.48,,,,,0.62,6921.45,123.15,0.170582852342911,13,-2.4859692906554884,-0.6014098385037139,44.6,2025-12-25
2025-12-17,HEROMOTOCO,BEARISH,OPTION,BUY,PE,30-DEC-2025,5900.0,128.19,73.49,73.49,,,,,0.62,5816.95,132.15,0.21349636040516196,13,-2.765905470027084,-0.606349774014387,49.1,2025-12-24
2025-12-17,ICICIBANK,BEARISH,OPTION,BUY,PE,30-DEC-2025,1350.0,11.25,6.45,6.45,,,,,0.62,1352.4,11.6,0.14071026308424772,13,-0.42878050331911,-0.43091317489394243,11.6,2025-12-29
2025-12-17,M&M,BEARISH,OPTION,BUY,PE,30-DEC-2025,3600.0,43.94,25.19,25.19,,,,,0.62,3612.8,45.3,0.20468507023863503,13,-1.8017658151550406,-0.43025048113265263,45.3,2025-12-28
