as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence,spot,ltp,iv,dte,theta_per_day,delta,extrinsic,sell_by
2025-12-18,BAJAJ-AUTO,BEARISH,OPTION,BUY,PE,30-DEC-2025,8800.0,76.82,44.04,44.04,,,,,0.95,8830.85,79.2,0.16128473700704055,12,-3.4773502202486406,-0.4156695307236753,79.2,2025-12-28
2025-12-18,BRITANNIA,BEARISH,OPTION,BUY,PE,30-DEC-2025,6000.0,50.0,28.67,28.67,,,,,0.95,6040.5,51.55,0.17384346853494642,12,-2.5721897124488264,-0.38125245737401203,51.55,2025-12-27
2025-12-18,EICHERMOT,BEARISH,OPTION,BUY,PE,30-DEC-2025,7100.0,85.8,49.18,49.18,,,,,0.95,7106.5,88.45,0.19377118446137756,12,-3.4865486201835845,-0.45655606841359275,88.45,2025-12-29
2025-12-18,MARUTI,BEARISH,OPTION,BUY,PE,30-DEC-2025,16300.0,136.24,78.1,78.1,,,,,0.95,16329.55,140.45,0.14581867711157537,12,-5.692383058104654,-0.4329901825706799,140.45,2025-12-29
2025-12-18,TATACONSUM,BEARISH,OPTION,BUY,PE,30-DEC-2025,1170.0,12.76,7.31,7.31,,,,,0.72,1171.5,13.15,0.1791386951494962,12,-0.5239309367083337,-0.4496530680264125,13.15,2025-12-29
2025-12-18,HDFCLIFE,BEARISH,OPTION,BUY,PE,30-DEC-2025,760.0,9.41,5.39,5.39,,,,,0.7,757.0,9.7,0.16531875921934838,12,-0.3001102594344095,-0.5160269124047981,6.7,2025-12-28
2025-12-18,KOTAKBANK,BEARISH,OPTION,BUY,PE,30-DEC-2025,2160.0,16.97,9.73,9.73,,,,,0.7,2164.7,17.5,0.1407878779552877,12,-0.7224901687627813,-0.4254141067828294,17.5,2025-12-28
2025-12-18,ADANIENT,BEARISH,OPTION,BUY,PE,30-DEC-2025,2200.0,23.86,13.68,13.68,,,,,0.66,2229.25,24.6,0.24625382196493445,12,-1.3884523705754763,-0.35581360475871815,24.6,2025-12-25
2025-12-18,HEROMOTOCO,BEARISH,OPTION,BUY,PE,30-DEC-2025,5700.0,58.54,33.56,33.56,,,,,0.62,5748.5,60.35,0.21213437960268933,12,-3.0813137848613894,-0.3823397874215244,60.35,2025-12-26
2025-12-18,M&M,BEARISH,OPTION,BUY,PE,30-DEC-2025,3600.0,50.63,29.03,29.03,,,,,0.62,3586.7,52.2,0.19123331601135435,12,-1.7064805640556802,-0.5091892788949504,38.9,2025-12-28
