as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence,spot,ltp,iv,dte,theta_per_day,delta,extrinsic,sell_by
2025-12-15,NIFTY,BULLISH,OPTION,BUY,CE,30-DEC-2025,26000.0,245.89,140.97,25905.09,26190.24,377.06,26353.18,481.99,0.41,26027.3,253.5,9.44,15,-9.35,0.58,226.2,2025-12-25
2025-12-15,NIFTY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,BANKNIFTY,BULLISH,OPTION,BUY,CE,30-DEC-2025,59500.0,567.84,325.53,59146.4,59882.33,870.73,60302.87,1113.04,0.53,59461.8,585.4,10.75,15,-23.22,0.55,585.4,2025-12-26
2025-12-15,BANKNIFTY,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,ADANIENT,BULLISH,OPTION,BUY,CE,30-DEC-2025,2280.0,53.74,30.81,2242.94,2326.84,82.4,2374.79,105.33,0.52,2278.9,55.4,28.59,15,-1.97,0.53,55.4,2025-12-27
2025-12-15,ADANIENT.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,ADANIPORTS,BEARISH,OPTION,BUY,PE,30-DEC-2025,1520.0,24.78,14.21,1528.58,1491.29,38.0,1469.98,48.58,0.65,1512.6,25.55,19.6,15,-0.65,-0.51,18.15,2025-12-27
2025-12-15,ADANIPORTS.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,APOLLOHOSP,BEARISH,OPTION,BUY,PE,30-DEC-2025,7100.0,79.15,45.38,7143.87,7010.12,121.37,6933.69,155.15,0.7,7086.55,81.6,14.84,15,-2.16,-0.48,68.15,2025-12-29
2025-12-15,APOLLOHOSP.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,ASIANPAINT,BULLISH,OPTION,BUY,CE,30-DEC-2025,2780.0,41.61,23.86,2748.18,2822.89,63.81,2865.58,81.57,0.67,2780.2,42.9,17.22,15,-1.56,0.54,42.7,2025-12-27
2025-12-15,ASIANPAINT.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,AXISBANK.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,BAJAJ-AUTO,BEARISH,OPTION,BUY,PE,30-DEC-2025,8900.0,94.43,54.13,9028.24,8822.24,144.8,8704.52,185.09,0.92,8939.95,97.35,17.69,15,-3.43,-0.41,97.35,2025-12-27
2025-12-15,BAJAJ-AUTO.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,BAJAJFINSV,BEARISH,OPTION,BUY,PE,30-DEC-2025,2080.0,31.23,17.91,2093.51,2039.58,47.89,2008.77,61.22,0.62,2070.4,32.2,18.11,15,-0.8,-0.51,22.6,2025-12-27
2025-12-15,BAJAJFINSV.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,BAJFINANCE,BEARISH,OPTION,BUY,PE,30-DEC-2025,1010.0,12.56,7.2,1025.16,996.08,19.26,979.47,24.62,0.54,1012.7,12.95,19.09,15,-0.43,-0.44,12.95,2025-12-28
2025-12-15,BAJFINANCE.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,BHARTIARTL,BULLISH,OPTION,BUY,CE,30-DEC-2025,2080.0,24.49,14.04,2050.06,2095.89,37.56,2122.08,48.01,0.48,2069.7,25.25,16.33,15,-1.1,0.48,25.25,2025-12-25
2025-12-15,BHARTIARTL.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,BPCL,BULLISH,OPTION,BUY,CE,30-DEC-2025,367.5,7.03,4.03,361.96,373.72,10.78,380.45,13.78,0.65,367.0,7.25,23.5,15,-0.27,0.52,7.25,2025-12-27
2025-12-15,BPCL.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,BRITANNIA,BULLISH,OPTION,BUY,CE,30-DEC-2025,6050.0,83.52,47.88,5975.78,6121.08,128.07,6204.11,163.7,0.94,6038.05,86.1,17.08,15,-3.36,0.52,86.1,2025-12-26
2025-12-15,BRITANNIA.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,CIPLA,BULLISH,OPTION,BUY,CE,30-DEC-2025,1510.0,19.21,11.01,1496.49,1523.35,29.45,1538.7,37.65,0.66,1508.0,19.8,15.27,15,-0.77,0.53,19.8,2025-12-26
2025-12-15,CIPLA.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,COALINDIA,BEARISH,OPTION,BUY,PE,30-DEC-2025,385.0,3.3,1.89,387.46,380.44,5.06,376.43,6.46,0.8,384.45,3.4,11.82,15,-0.09,-0.47,2.85,2025-12-29
2025-12-15,COALINDIA.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,DIVISLAB,BEARISH,OPTION,BUY,PE,30-DEC-2025,6350.0,85.75,49.16,6419.96,6250.76,131.49,6154.08,168.08,0.74,6347.45,88.4,18.73,15,-2.61,-0.47,85.85,2025-12-29
2025-12-15,DIVISLAB.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,DRREDDY,BEARISH,OPTION,BUY,PE,30-DEC-2025,1280.0,13.77,7.9,1291.53,1266.03,21.12,1251.46,27.0,0.7,1280.6,14.2,15.72,15,-0.42,-0.45,14.2,2025-12-29
2025-12-15,DRREDDY.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-15,EICHERMOT,BEARISH,OPTION,BUY,PE,30-DEC-2025,7100.0,91.42,52.41,7200.49,7016.19,140.19,6910.87,179.2,0.81,7121.5,94.25,19.85,15,-3.15,-0.43,94.25,2025-12-28
