as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence
2025-12-12,NESTLEIND.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1240.0,75.375,48.99375,,1247.3928606305803,94.21875,1256.4857212611607,113.0625,0.25
2025-12-12,NTPC.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,335.0,15.600000000000001,10.14,,327.1249991280692,19.5,329.19999825613843,23.400000000000002,0.25
2025-12-12,ONGC.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,230.0,9.225000000000001,5.996250000000001,,236.33964320591517,11.531250000000002,234.67928641183036,13.837500000000002,0.3
2025-12-12,POWERGRID.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,255.0,9.075,5.89875,,261.64464067731586,11.34375,259.6892813546317,13.612499999999999,0.3
2025-12-12,RELIANCE.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1560.0,93.67500000000001,60.88875000000001,,1568.2464381626673,117.09375000000001,1579.992876325335,140.51250000000002,0.3
2025-12-12,SBILIFE.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,2040.0,118.27499999999999,76.87875,,2044.5928580147881,147.84375,2063.285716029576,177.4125,0.25
2025-12-12,SBIN.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,950.0,26.849999999999998,17.4525,,955.2321446010044,33.5625,947.3142892020089,40.275,0.25
2025-12-12,SUNPHARMA.NS,BEARISH,OPTION,BUY,PE,24-FEB-2026,1800.0,81.525,52.99125000000001,,1779.9357125418526,101.90625,1766.3714250837054,122.28750000000001,0.25
2025-12-12,TATACONSUM.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1140.0,86.17500000000001,56.01375000000001,,1160.442857142857,107.71875000000001,1171.5857142857142,129.26250000000002,0.3
2025-12-12,TATASTEEL.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,180.0,8.82,5.7330000000000005,,173.49714344569617,11.025,175.0942868913923,13.23,0.25
2025-12-12,TECHM.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,1560.0,130.64999999999998,84.92249999999999,,1591.0892961774555,163.31249999999997,1603.7785923549109,195.97499999999997,0.3
2025-12-12,TITAN.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,3880.0,251.17499999999998,163.26375,,3911.389278738839,313.96875,3942.5785574776783,376.7625,0.25
2025-12-12,ULTRACEMCO.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,11800.0,678.1500000000001,440.79750000000007,,11813.871428571429,847.6875000000001,11904.692857142856,1017.2250000000001,0.25
2025-12-12,WIPRO.NS,BULLISH,OPTION,BUY,CE,24-FEB-2026,270.0,13.77,8.9505,,262.50107400076735,17.2125,264.4021480015346,20.655,0.3
