target_date,as_of,mode,ticker,ret_oc,exp_oh,dd_ol,buy_win,sell_win,opt_style,atr_points,atr_pct,buy_thr,sell_thr,buy_soft,sell_soft,direction_score,strength,volatility_annualized,delivery_per,delivery_spike,has_bulk_deal,fii_sentiment
2025-12-18,2025-12-18,aggressive,NIFTY,0.0019736912924251523,0.0053425964516917905,-0.0014903506993807995,1,0,both,195.01088169642858,0.007568917457204833,0.003406012855742175,0.003406012855742175,0.6971457279909807,0.1944731616314923,0.5026725663594884,0.6971457279909807,0.0,0.0,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,BANKNIFTY,0.003409012810061388,0.008487103946514979,0.0,1,0,both,518.91796875,0.00883825774755528,0.003977215986399876,0.003977215986399876,0.9484137173715599,0.0,0.9484137173715599,0.9484137173715599,0.0,0.0,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,ADANIENT.NS,-0.0031746797646451086,0.003845509762022922,-0.011312737342273076,0,1,both,53.285714285714285,0.023826559029031788,0.010721951563064306,0.010721951563064306,0.15940339216562405,0.4689335923278059,-0.30953020016218186,0.4689335923278059,0.4585,17.06,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,ADANIPORTS.NS,0.006256678286505358,0.007804073866663316,-0.006996787031244957,1,0,both,25.057146344866073,0.01685760625222243,0.007585922813500094,0.007585922813500094,0.4572254898112063,0.4099281262740626,0.0472973635371437,0.4572254898112063,0.3611,41.67,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,APOLLOHOSP.NS,-0.0004334320595246695,0.004045365888896916,-0.0058513328035830385,0,0,both,106.28571428571429,0.015355878680302578,0.006910145406136161,0.006910145406136161,0.26018850391610243,0.3763440860215053,-0.11615558210540289,0.3763440860215053,0.2484,67.94,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,ASIANPAINT.NS,-0.007302175837455036,0.0049640463410521585,-0.008884874522257195,0,1,both,52.58571079799107,0.01891572330862988,0.008512075488883447,0.008512075488883447,0.25918976178332775,0.4639095513380107,-0.20471978955468295,0.4639095513380107,0.2522,49.91,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,AXISBANK.NS,0.003017758189269421,0.010113387701632313,-0.0048120255538239886,1,0,both,21.092878069196427,0.017203228520672968,0.007741452834302835,0.007741452834302835,0.5806195651785608,0.27626313428471255,0.3043564308938483,0.5806195651785608,0.2617,56.26,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,BAJAJ-AUTO.NS,-0.0067483972556517825,0.0,-0.017545832864694636,0,1,both,136.60714285714286,0.015364654465992899,0.006914094509696805,0.006914094509696805,0.0,1.0,-1.0,1.0,0.2828,52.57,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,BAJAJFINSV.NS,0.0031188360535272276,0.00891089108910891,-0.003663378422803218,1,0,both,36.52854701450893,0.01808343911609353,0.00813754760224209,0.00813754760224209,0.4866817662010082,0.20008094176480662,0.2866008244362016,0.4866817662010082,0.2828,53.07,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,BAJFINANCE.NS,-0.001796215783675955,0.007584110174885431,-0.007085097055097797,0,0,both,18.52858625139509,0.01848975821056302,0.00832039119475336,0.00832039119475336,0.40511504259654363,0.37845961214823065,0.026655430448312978,0.40511504259654363,0.3152,52.24,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,BHARTIARTL.NS,-0.0033349213911386373,0.008384991737136731,-0.005192902498213435,0,0,both,30.357107979910715,0.014462652682187096,0.006508193706984193,0.006508193706984193,0.5726109519886856,0.35462322877634705,0.21798772321233856,0.5726109519886856,0.2445,57.98,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,BPCL.NS,-0.012635852979577106,0.003260902736497962,-0.017663043478260868,0,1,both,7.967860630580357,0.021651795191794446,0.0097433078363075,0.0097433078363075,0.14874723548296043,0.8057059961341413,-0.6569587606511809,0.8057059961341413,0.3248,50.67,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,BRITANNIA.NS,-0.014921722113502935,0.00040769732550554466,-0.019487932159165035,0,1,both,110.71428571428571,0.018055167272388407,0.008124825272574784,0.008124825272574784,0.02230187176423735,1.0,-0.9776981282357626,1.0,0.2407,44.81,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,CIPLA.NS,0.0027428254294959036,0.010837537224176063,-0.0007359497058569412,1,0,both,18.992876325334823,0.012705964480148784,0.005717684016066953,0.005717684016066953,0.8424185731862441,0.05720651180434354,0.7852120613819006,0.8424185731862441,0.256,51.81,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,COALINDIA.NS,0.002341295293378011,0.005463075277990609,-0.004032226372475304,0,0,both,5.007143293108259,0.013025867254453285,0.005861640264503978,0.005861640264503978,0.4142242354222977,0.30573363924111,0.10849059618118767,0.4142242354222977,0.2656,59.71,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,DIVISLAB.NS,0.012698412698412698,0.021746031746031746,-0.003015873015873016,1,0,both,120.78571428571429,0.01917233560090703,0.008627551020408164,0.008627551020408164,1.0,0.15536135386322653,0.8446386461367734,1.0,0.3038,68.6,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,DRREDDY.NS,0.0023492560689115116,0.005403308076791308,-0.011746280344557557,0,0,both,18.414306640625,0.014419973876761942,0.006488988244542874,0.006488988244542874,0.37008392770187043,0.804527430977547,-0.43444350327567655,0.804527430977547,0.2388,59.03,1,0,0.1500089274723648
